embedded_id_public_date,embedded_id_party_short_code,embedded_id_document_type,distinct_documents,distinct_people,total
2002-06-13,V,mot,1,7,7
2015-12-16,C,mot,1,1,1
2005-10-01,S,mot,11,7,16
2015-08-17,S,prop,1,1,1
2001-04-06,v,mot,1,1,1
2012-06-15,,bet,3,0,3
2019-02-12,S,prop,1,1,1
2016-12-05,,bet,2,0,2
2024-03-20,,bet,1,0,1
2024-10-17,,bet,6,0,6
2011-04-11,,bet,1,0,1
2009-09-30,,bet,3,0,3
2004-06-14,M,mot,1,2,2
2017-03-15,KD,mot,1,1,1
2025-05-30,M,prop,1,1,1
2015-09-23,MP,prop,1,1,1
2014-11-14,-,mot,1,1,1
2004-10-20,C,mot,1,1,1
2004-09-17,L,mot,4,19,26
2009-09-29,KD,mot,26,12,30
2009-06-10,,prop,1,0,1
2009-01-16,S,mot,3,17,17
2005-11-09,KD,mot,2,15,17
2008-06-10,,prop,1,0,1
2005-04-01,,prop,3,0,3
2012-06-25,,prop,1,0,1
2004-10-29,V,mot,1,7,7
2010-03-02,,prop,1,0,1
2010-06-02,MP,mot,1,1,1
2013-10-07,S,mot,151,100,476
2009-01-13,V,mot,1,1,1
2014-05-13,SD,mot,1,1,1
2025-09-25,KD,mot,1,1,1
2017-03-30,S,prop,1,2,2
2008-12-16,S,mot,2,13,13
2009-10-16,V,mot,2,9,16
2006-04-18,MP,mot,4,8,11
2013-10-18,M,mot,4,2,5
2009-10-27,MP,mot,1,1,1
2008-04-10,S,mot,1,8,8
2008-03-07,,bet,1,0,1
2018-02-21,S,prop,2,3,4
2011-02-02,V,mot,1,6,6
2018-11-15,S,prop,2,2,4
2015-05-29,S,prop,2,2,3
2025-01-28,KD,prop,2,2,2
2013-04-24,,bet,3,0,3
2017-04-05,SD,mot,8,16,20
2018-01-18,S,prop,1,2,2
2002-05-02,V,mot,1,11,11
2017-08-29,,bet,2,0,2
2002-01-31,,prop,1,0,1
2011-06-13,SD,mot,1,4,4
2013-03-06,S,mot,1,7,7
2007-04-18,,bet,5,0,5
2007-04-23,S,mot,7,15,27
2010-10-15,L,mot,3,2,4
2013-09-27,SD,mot,2,4,4
2005-11-30,,bet,5,0,5
2014-04-10,MP,mot,1,4,4
2020-03-11,S,prop,1,2,2
2024-03-21,MP,mot,1,5,5
2003-03-24,L,mot,1,5,5
2015-05-13,,bet,2,0,2
2006-12-05,,prop,3,0,3
2012-09-28,V,mot,3,14,19
2009-10-09,KD,mot,3,5,6
2010-03-15,,bet,2,0,2
2010-10-26,KD,mot,53,13,67
2001-03-29,,bet,4,0,4
2001-12-05,,prop,4,0,4
2022-01-14,C,mot,2,7,7
2024-11-06,,bet,5,0,5
2010-04-07,MP,mot,12,14,21
2007-04-24,,bet,1,0,1
2007-03-22,M,mot,1,1,1
2024-11-13,,bet,12,0,12
2013-01-03,L,mot,8,2,9
2000-05-18,,bet,5,0,5
2022-06-08,M,mot,1,5,5
2016-10-03,M,mot,147,55,218
2011-03-22,V,mot,1,6,6
2014-04-01,S,mot,1,7,7
2016-10-13,M,mot,1,1,1
2000-04-26,,bet,4,0,4
2009-09-18,MP,mot,2,1,2
2025-06-17,MP,mot,2,6,12
2011-10-05,M,mot,301,89,458
2013-05-24,,bet,3,0,3
2008-10-30,S,mot,1,8,8
2006-03-20,,prop,14,0,14
2010-10-14,KD,mot,3,3,3
2006-01-31,M,mot,4,12,14
2011-04-14,S,mot,1,7,7
2012-03-07,MP,mot,1,1,1
2018-11-28,,bet,2,0,2
2017-02-08,C,mot,1,1,1
2012-01-26,,bet,2,0,2
2013-10-01,V,mot,2,5,10
2017-05-11,,bet,4,0,4
2005-10-05,,prop,1,0,1
2007-11-08,,prop,1,0,1
2012-12-17,S,mot,21,51,93
2007-01-19,MP,mot,1,3,3
2017-11-07,V,mot,1,6,6
2014-10-30,SD,mot,10,14,19
2009-06-23,,prop,1,0,1
2009-04-02,,bet,3,0,3
2006-11-17,KD,mot,2,2,2
2009-11-10,MP,mot,3,1,3
2006-04-06,C,mot,11,13,35
2007-10-05,KD,mot,114,21,141
2011-09-28,SD,mot,5,2,7
2009-03-18,,prop,2,0,2
2010-04-23,,bet,1,0,1
2012-12-14,KD,mot,2,2,2
2005-10-10,,prop,1,0,1
2000-02-09,S,mot,2,10,10
2008-02-13,S,mot,1,8,8
2017-11-21,SD,mot,1,3,3
2004-06-10,,prop,3,0,3
2011-11-03,S,mot,1,1,1
2005-10-06,-,mot,7,1,7
2012-12-04,,bet,4,0,4
2025-04-11,MP,mot,2,12,12
2008-04-09,,bet,2,0,2
2013-10-08,,prop,2,0,2
2017-10-12,V,mot,1,7,7
2007-10-04,,prop,1,0,1
2009-03-31,,prop,2,0,2
2005-04-19,M,mot,7,25,28
2007-02-15,S,mot,2,9,9
2024-11-26,,bet,1,0,1
2014-05-07,S,mot,4,14,28
2014-11-07,C,mot,42,18,63
2017-10-31,,bet,1,0,1
2000-11-02,M,mot,4,16,16
2013-06-03,,prop,3,0,3
2008-02-12,,bet,3,0,3
2012-02-09,,bet,1,0,1
2010-03-18,,prop,2,0,2
2023-05-25,M,prop,1,2,2
2025-10-01,C,mot,75,9,92
2007-06-04,,bet,1,0,1
2016-04-27,S,mot,1,2,2
2013-05-08,,bet,3,0,3
2025-04-24,M,prop,1,2,2
2014-04-01,SD,mot,4,4,4
2009-02-06,V,mot,1,10,10
2002-04-03,L,mot,4,5,7
2011-11-08,,prop,1,0,1
2008-09-23,,prop,1,0,1
2013-11-21,KD,mot,6,4,7
2023-02-21,,bet,1,0,1
2005-12-21,,prop,3,0,3
2009-03-16,,prop,7,0,7
2005-09-20,S,mot,1,1,1
2025-09-10,SD,mot,32,2,33
2011-04-08,S,mot,1,2,2
2002-05-29,,prop,4,0,4
2018-03-06,,bet,6,0,6
2007-03-21,,prop,6,0,6
2004-02-04,V,mot,2,12,12
2010-10-27,L,mot,50,15,68
2000-12-06,KD,mot,2,13,13
2014-02-26,M,mot,1,1,1
2018-01-25,,bet,5,0,5
