party,total_contributing_members,total_party_documents,avg_documents_per_member,total_party_motions,total_individual_motions,total_committee_motions,total_collaborative_motions,very_high_activity_members,high_activity_members,medium_activity_members,low_activity_members,party_focused_members,committee_focused_members,individual_focused_members,first_party_document,last_party_document,total_documents_last_year,active_members_last_year,avg_docs_per_year,avg_collaboration_pct,total_propositions,total_government_communications
KD,105,22442,213.7,998,7521,11931,1208,45,16,13,31,8,52,40,2000-02-09,2025-11-18,457,26,39.1,3.6,123,32
SD,108,11720,108.5,730,6239,4683,0,18,18,23,49,5,42,61,2010-10-19,2025-10-29,1013,67,21.4,0.0,0,0
C,89,16543,185.9,1517,8498,5050,1194,31,20,19,19,5,25,59,2000-02-09,2025-11-26,931,25,30.7,4.7,0,0
L,63,9237,146.6,1441,4288,2914,493,20,11,4,28,9,14,36,2000-02-09,2025-11-25,286,21,25.6,2.9,47,14
-,20,2524,126.2,351,962,1140,40,4,4,7,5,3,5,12,2000-02-09,2025-10-29,109,4,31.2,2.5,0,0
S,412,64143,155.7,851,54191,6315,1021,111,87,89,125,6,5,383,2000-02-09,2025-11-26,2684,110,24.7,1.4,1480,413
M,309,42413,137.3,1620,27544,10333,1395,73,71,55,110,17,54,232,2000-02-09,2025-11-25,1954,76,25.6,2.4,454,118
MP,100,17418,174.2,3241,5826,7322,660,33,30,14,23,28,24,44,2000-02-09,2025-11-26,1201,21,42.8,2.4,169,43
V,99,23645,238.8,5983,1159,15627,663,43,20,22,14,67,31,1,2000-02-09,2025-11-26,960,22,45.0,2.3,0,0
FP,39,7373,189.1,1224,3000,2199,788,16,15,4,4,8,9,22,2000-02-09,2014-04-28,0,0,40.9,11.0,0,0
