election_cycle_id,cycle_year,calendar_year,semester,party,ballots_participated,win_rate,yes_rate,approval_rate,participation_rate,seat_count_proxy,documents_produced,avg_rebel_rate,rank_by_seats,rank_by_win_rate,rank_by_productivity,rank_by_engagement,rank_by_effectiveness,percentile_seats,percentile_win_rate,percentile_productivity,quartile_by_size,quartile_by_performance,prev_semester_seats,prev_semester_win_rate,prev_semester_documents,prev_semester_participation,next_semester_seats,next_semester_win_rate,stddev_seats_sector,stddev_win_rate_sector,stddev_seats_party,stddev_win_rate_party,ma_3semester_seats,ma_3semester_win_rate,seat_change_absolute,seat_change_pct,win_rate_change_absolute,win_rate_change_pct,documents_change,electoral_trend,party_size_category,volatility_classification,seat_forecast,performance_forecast,seat_deviation_from_ma,trend_position_seats,electoral_tier,momentum_z_score_seats,momentum_z_score_win_rate,composite_electoral_score,legislative_effectiveness_index,election_readiness_score,projected_seat_change,electoral_warning_flag,is_pre_election_period,is_election_period,is_post_election_period
2026-2029,1,2026,autumn,L,40,100.00,86.09,100.00,86.09,0,200,0.00,1,1,7,3,1,0,0,0.75,1,1,0,99.07,200,80.97,,,0,26.0282372780499513,0,19.3913899821544510,0.00000000000000000000,99.5266666666666667,0,,0.93,0.94,0,STABLE,MINOR_PARTY,STABLE_PARTY,NO_FORECAST,NO_FORECAST,0.00,ON_TREND,BOTTOM_TIER,,0.05,,96.52,,0.0,NORMAL,f,f,f
2018-2021,2,2019,autumn,M,446,56.28,47.89,99.78,88.61,0,1299,0.00,1,24,1,6,1,0,0.6571428571428571,0,3,3,0,59.96,1299,87.09,0,50.12,0,20.4335644868654497,0,21.4463959340491520,0.00000000000000000000,58.4633333333333333,0,,-3.68,-6.14,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,-0.17,,81.80,,0.0,NORMAL,f,f,f
2010-2013,2,2011,autumn,V,426,22.07,18.58,99.30,89.05,0,126,0.06,1,32,29,10,10,0,0.9117647058823529,0.8235294117647058,4,4,0,11.04,126,86.94,0,31.04,0,32.7517818378026634,0,23.7468687485318788,0.00000000000000000000,12.7000000000000000,0,,11.03,99.91,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.46,,69.80,,0.0,NORMAL,f,f,f
2002-2005,2,2003,autumn,S,485,96.91,87.51,97.53,88.13,0,850,0.06,1,3,5,5,16,0,0.06896551724137931,0.13793103448275862,1,1,0,97.73,850,91.42,0,97.46,0,17.0820064167597778,0,25.3217137303145420,0.00000000000000000000,97.3200000000000000,0,,-0.82,-0.84,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.03,,95.32,,0.0,NORMAL,f,f,f
2022-2025,1,2022,autumn,M,663,59.43,54.35,93.06,84.05,0,1299,0.00,1,19,1,17,28,0,0.5142857142857142,0,3,3,0,55.72,1299,22.85,0,99.48,0,21.3890099130775194,0,21.4463959340491520,0.00000000000000000000,55.0900000000000000,0,,3.71,6.66,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.17,,80.08,,0.0,NORMAL,f,f,f
2018-2021,1,2018,autumn,MP,512,95.12,83.15,98.63,86.71,0,218,0.04,1,4,21,11,11,0,0.08571428571428572,0.5714285714285714,1,1,0,93.70,218,86.23,0,95.96,0,20.4335644868654497,0,24.5096212488075792,0.00000000000000000000,95.2400000000000000,0,,1.42,1.52,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.06,,94.62,,0.0,NORMAL,f,f,f
2022-2025,3,2024,autumn,L,411,99.51,79.26,100.00,79.67,0,200,0.00,1,1,25,31,1,0,0,0.6857142857142857,1,1,0,99.48,200,84.35,0,99.07,0,21.3890099130775194,0,19.3913899821544510,0.00000000000000000000,89.3566666666666667,0,,0.03,0.03,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,0.00,,94.75,,0.0,NORMAL,f,f,f
2014-2017,3,2016,autumn,L,420,66.43,54.49,99.76,83.77,0,200,0.00,1,19,25,27,2,0,0.5294117647058824,0.7058823529411765,3,3,0,68.99,200,82.21,0,67.89,0,24.5353588811855660,0,19.3913899821544510,0.00000000000000000000,77.8600000000000000,0,,-2.56,-3.71,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.13,,84.13,,0.0,NORMAL,f,f,f
2010-2013,4,2013,autumn,S,480,52.29,42.96,99.17,86.81,0,850,0.06,1,23,5,18,18,0,0.6470588235294118,0.11764705882352941,3,3,0,55.43,850,87.19,0,52.37,0,32.7517818378026634,0,25.3217137303145420,0.00000000000000000000,50.1466666666666667,0,,-3.14,-5.66,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.12,,79.79,,0.0,NORMAL,f,t,f
2010-2013,2,2011,autumn,SD,426,69.25,67.47,99.30,97.08,0,687,0.01,1,19,9,2,10,0,0.5294117647058824,0.23529411764705882,3,3,0,78.72,687,96.65,0,52.55,0,32.7517818378026634,0,14.2380952275696822,0.00000000000000000000,73.9850000000000000,0,,-9.47,-12.03,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_DETERIORATION,0.00,ON_TREND,BOTTOM_TIER,,-0.67,,88.33,,0.0,PERFORMANCE_WARNING,f,f,f
2010-2013,2,2011,autumn,S,426,42.72,34.71,99.30,86.17,0,850,0.06,1,27,5,19,10,0,0.7647058823529411,0.11764705882352941,3,3,0,29.87,850,83.97,0,55.43,0,32.7517818378026634,0,25.3217137303145420,0.00000000000000000000,33.8733333333333333,0,,12.85,43.02,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_IMPROVEMENT,0.00,ON_TREND,BOTTOM_TIER,,0.51,,76.31,,0.0,NORMAL,f,f,f
2026-2029,1,2026,autumn,-,40,52.50,42.50,100.00,90.50,0,106,14.15,1,5,9,1,1,0,0.5,1,3,3,0,41.30,106,78.47,,,0,26.0282372780499513,0,24.4867297394595617,0.00000000000000000000,47.0000000000000000,0,,11.20,27.12,0,STABLE,MINOR_PARTY,STABLE_PARTY,NO_FORECAST,NO_FORECAST,0.00,ON_TREND,BOTTOM_TIER,,0.46,,78.88,,0.0,NORMAL,f,f,f
2022-2025,3,2024,autumn,MP,411,38.20,29.45,100.00,81.05,0,218,0.04,1,35,21,27,1,0,0.9714285714285714,0.5714285714285714,4,4,0,47.51,218,80.90,0,35.27,0,21.3890099130775194,0,24.5096212488075792,0.00000000000000000000,53.4066666666666667,0,,-9.31,-19.60,0,STABLE,MINOR_PARTY,STABLE_PARTY,EXPECTED_STABLE,EXPECTED_STABLE,0.00,ON_TREND,BOTTOM_TIER,,-0.38,,73.63,,0.0,PERFORMANCE_WARNING,f,f,f
