election_cycle_id,cycle_year,calendar_year,semester,is_election_year,party,total_ballots,participation_rate,win_rate,yes_rate,no_rate,approval_rate,total_votes,yes_votes,ballots_won,decisions_approved,active_members,documents_last_year,avg_rebel_rate,current_performance_score,rank_by_win_rate,rank_by_participation,rank_by_size,rank_by_approval,rank_by_productivity,rank_by_discipline,percentile_win_rate,percentile_participation,percentile_approval,percentile_productivity,quartile_by_win_rate,quartile_by_overall_performance,prev_semester_win_rate,prev_semester_participation,prev_semester_members,prev_semester_approval,prev_semester_documents,prev_semester_rebel_rate,next_semester_win_rate,next_semester_participation,next_semester_members,stddev_win_rate_sector,stddev_participation_sector,stddev_win_rate_party,stddev_participation_party,ma_3semester_win_rate,ma_3semester_participation,win_rate_change_absolute,win_rate_change_pct,participation_change_absolute,membership_change,approval_rate_change,documents_change,discipline_change,trajectory_win_rate,trajectory_participation,composite_performance_index,discipline_effectiveness_score,legislative_effectiveness_score,volatility_classification,stability_classification,forecast_trend,trend_deviation_from_ma,trend_position,momentum_z_score_win_rate,momentum_z_score_participation,performance_tier,productivity_tier,early_warning_flag,trajectory_confidence_score,is_pre_election_spring,is_election_autumn,is_election_cycle_end
2010-2013,1,2010,autumn,f,SD,98,96.79,76.53,71.33,19.18,98.98,1960,1398,75,97,0,687,0.02,72.27,18,3,1,34,9,13,0.5,0.058823529411764705,0.9705882352941176,0.23529411764705882,2,2,,,,,,,68.55,97.09,0,32.7680893877328310,17.7017957027540236,14.0354404114460404,20.2970597867316529,76.5300000000000000,96.7900000000000000,,,,,,,,BASELINE,BASELINE,,98.39,87.92,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.00,ON_TREND,,,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,,f,f,f
2006-2009,4,2009,autumn,t,C,353,79.74,100.00,79.71,0.01,100.00,10237,8160,353,353,0,391,0.06,67.45,1,16,1,1,9,17,0,0.5357142857142857,0,0.2857142857142857,2,3,100.00,81.23,0,100.00,391,0.06,98.75,80.47,0,32.8882136183457873,4.8684195014738160,19.9550855673434786,15.2555920239104454,100.0000000000000000,80.3866666666666667,0.00,0.00,-1.49,0,0.00,0,0.00,STABLE,STABLE,,89.84,91.88,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.00,ON_TREND,0.00,-0.10,WEAK_PERFORMER,LOW_PRODUCTIVITY,NORMAL,50.00,f,t,t
2006-2009,3,2008,autumn,f,C,389,81.23,100.00,81.00,0.03,100.00,11281,9138,389,389,0,391,0.06,67.45,1,14,1,1,9,17,0,0.4642857142857143,0,0.2857142857142857,1,2,100.00,80.19,0,100.00,391,0.06,100.00,79.74,0,32.8882136183457873,4.8684195014738160,19.9550855673434786,15.2555920239104454,85.0433333333333333,78.8900000000000000,0.00,0.00,1.04,0,0.00,0,0.00,STABLE,STABLE,,90.59,92.40,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,-14.96,OVERPERFORMING_VS_TREND,0.00,0.07,WEAK_PERFORMER,LOW_PRODUCTIVITY,NORMAL,80.00,f,f,f
2022-2025,3,2024,autumn,f,-,423,80.24,47.28,47.03,22.18,100.00,825,388,200,423,0,105,14.38,64.26,31,30,1,1,33,33,0.8571428571428571,0.8285714285714286,0,0.9142857142857143,4,4,56.22,81.62,0,100.00,105,14.38,40.93,78.72,0,21.3830304747468060,3.5790842593884918,24.5892587774056789,30.7451841104855692,53.0300000000000000,77.5533333333333333,-8.94,-15.90,-1.38,0,0.00,0,0.00,DESCENDING,STABLE,,82.93,78.81,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,5.75,UNDERPERFORMING_VS_TREND,-0.36,-0.04,ELITE_PERFORMER,HIGHLY_PRODUCTIVE,MODERATE_DECLINE,85.00,f,f,f
2002-2005,3,2004,autumn,f,-,50,82.00,60.00,62.00,18.00,98.00,50,31,30,49,0,105,14.38,64.26,14,17,1,8,29,29,0.4482758620689655,0.5517241379310345,0.2413793103448276,0.9655172413793104,2,4,,,,,,,54.09,69.12,0,17.0045187621800498,4.4060849843016974,24.5892587774056789,30.7451841104855692,60.0000000000000000,82.0000000000000000,,,,,,,,BASELINE,BASELINE,,83.81,83.60,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,0.00,ON_TREND,,,MODERATE_PERFORMER,HIGHLY_PRODUCTIVE,NORMAL,,f,f,f
2006-2009,2,2007,autumn,f,S,323,81.26,44.58,34.22,44.81,100.00,41990,14367,144,323,0,850,0.06,67.09,21,13,1,1,5,17,0.7142857142857143,0.42857142857142855,0,0.14285714285714285,3,3,85.42,82.22,0,95.67,850,0.06,34.19,82.25,0,32.8882136183457873,4.8684195014738160,25.3026336969098930,16.1100969581191534,75.4533333333333333,82.5100000000000000,-40.84,-47.81,-0.96,0,4.33,0,0.00,DESCENDING,STABLE,,90.60,73.69,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,30.87,UNDERPERFORMING_VS_TREND,-1.61,-0.06,STRONG_PERFORMER,VERY_LOW_PRODUCTIVITY,CRITICAL_DECLINE,85.00,f,f,f
2018-2021,2,2019,autumn,f,SD,466,94.46,44.42,41.03,32.52,99.79,28892,11854,207,465,0,687,0.02,72.27,34,1,1,1,9,13,0.9428571428571428,0,0,0.22857142857142856,4,2,52.69,82.44,0,98.65,687,0.02,46.03,32.70,0,20.4036536061166031,29.6156695925766073,14.0354404114460404,20.2970597867316529,50.4666666666666667,87.1400000000000000,-8.27,-15.70,12.02,0,1.14,0,0.00,DECLINING,IMPROVING,,97.22,76.29,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,6.05,UNDERPERFORMING_VS_TREND,-0.59,0.59,ELITE_PERFORMER,VERY_LOW_PRODUCTIVITY,MODERATE_DECLINE,50.00,f,f,f
2010-2013,1,2010,autumn,f,M,319,88.04,98.75,87.09,0.93,99.69,31709,27615,315,318,0,1300,0.00,77.96,2,15,1,3,1,1,0.029411764705882353,0.4117647058823529,0.058823529411764705,0,1,1,100.00,85.45,0,100.00,1300,0.00,98.19,90.81,0,32.7680893877328310,17.7017957027540236,21.3940577693900789,16.4129798586362739,99.5833333333333333,86.4566666666666667,-1.25,-1.25,2.59,0,-0.31,0,0.00,STABLE,STABLE,,94.02,94.65,HIGH_VOLATILITY,UNSTABLE,EXPECTED_STABLE,0.83,ON_TREND,-0.06,0.16,WEAK_PERFORMER,VERY_LOW_PRODUCTIVITY,NORMAL,85.00,f,f,f
2002-2005,4,2005,autumn,t,KD,440,79.96,42.73,28.45,39.98,96.36,14520,4131,188,424,0,388,0.01,76.81,30,25,1,23,13,9,1,0.8275862068965517,0.7586206896551724,0.41379310344827586,4,1,48.04,82.19,0,98.13,388,0.01,52.62,75.80,0,17.0045187621800498,4.4060849843016974,22.3751826307630392,16.3479230534034506,47.4200000000000000,82.2433333333333333,-5.31,-11.05,-2.23,0,-1.77,0,0.00,DECLINING,STABLE,,89.98,69.20,HIGH_VOLATILITY,UNSTABLE,EXPECTED_IMPROVEMENT,4.69,UNDERPERFORMING_VS_TREND,-0.24,-0.14,ELITE_PERFORMER,LOW_PRODUCTIVITY,MODERATE_DECLINE,50.00,f,t,t
2018-2021,4,2021,autumn,t,MP,557,25.52,90.31,21.51,3.88,95.33,8912,1917,503,531,0,216,0.04,63.75,8,27,1,28,21,17,0.2,0.7428571428571429,0.7714285714285715,0.5714285714285714,1,4,92.29,34.01,0,98.13,216,0.04,74.27,75.90,0,20.4036536061166031,29.6156695925766073,24.4949976084914121,15.0953582481503234,92.8400000000000000,47.6866666666666667,-1.98,-2.15,-8.49,0,-2.80,0,0.00,STABLE,DECLINING,,62.74,65.80,HIGH_VOLATILITY,UNSTABLE,EXPECTED_DECLINE,2.53,ON_TREND,-0.08,-0.56,WEAK_PERFORMER,MODERATELY_PRODUCTIVE,MODERATE_PARTICIPATION_DROP,85.00,f,t,t
