hjid,address,city,co_address,email,fax_number,party_id,party_name,phone_number,post_code,registered_date,short_code,website,parties_sweden_election_regi_0,id,born_year,election_region,first_name,gender,hangar_guid,image_url_192,image_url_80,image_url_max,last_name,party,person_url_xml,place,status,person_assignment_data_perso_0,person_detail_data_person_da_0,total_documents,party_motions,individual_motions,committee_motions,multi_party_motions,documents_last_year,activity_level,activity_profile,collaboration_percentage
40,Box 12660,Stockholm,"",info@vansterpartiet.se,08-653 23 85,5,Vänsterpartiet,08-654 08 20,11293,1990-06-15,V,www.vansterpartiet.se,,0682989845822,1985,Värmlands län,Håkan,MAN,639b237e-2613-4d3e-a649-3d9a7854300f,https://data.riksdagen.se/filarkiv/bilder/ledamot/de1f77c9-338c-4547-a223-9898cd8ed084_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/de1f77c9-338c-4547-a223-9898cd8ed084_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/de1f77c9-338c-4547-a223-9898cd8ed084_max.jpg,Svenneling,V,https://data.riksdagen.se/person/de1f77c9-338c-4547-a223-9898cd8ed084,"",Tjänstgörande riksdagsledamot,48006,48055,183,14,0,169,0,42,High,Party-focused,0.0
40,Box 12660,Stockholm,"",info@vansterpartiet.se,08-653 23 85,5,Vänsterpartiet,08-654 08 20,11293,1990-06-15,V,www.vansterpartiet.se,,0680796436301,1928,"",Oswald,MAN,54bd920e-e5fd-42c8-9e8b-8f20d0b33dd3,https://data.riksdagen.se/filarkiv/bilder/ledamot/04007729-9d65-437b-bc32-061e57d5207c_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/04007729-9d65-437b-bc32-061e57d5207c_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/04007729-9d65-437b-bc32-061e57d5207c_max.jpg,Söderqvist,V,https://data.riksdagen.se/person/04007729-9d65-437b-bc32-061e57d5207c,"",Tidigare riksdagsledamot,32055,32064,0,0,0,0,0,0,Inactive,None,0
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,019430605328,1987,Stockholms län,Josefin,KVINNA,387364da-f052-44a5-8d2f-463c6e252e6b,https://data.riksdagen.se/filarkiv/bilder/ledamot/698a36fb-19f3-48cf-bfda-20a17195fbd5_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/698a36fb-19f3-48cf-bfda-20a17195fbd5_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/698a36fb-19f3-48cf-bfda-20a17195fbd5_max.jpg,Malmqvist,M,https://data.riksdagen.se/person/698a36fb-19f3-48cf-bfda-20a17195fbd5,"",Tjänstledig riksdagsledamot,47785,47815,48,0,46,2,0,12,Low,Individual-focused,0.0
6,Box 2200,Stockholm,"",centerpartiet@centerpartiet.se,08-617 38 10,4,Centerpartiet,08-617 38 00,10315,1995-05-18,C,www.centerpartiet.se,,0611699417309,1935,"",Gösta,MAN,0eaab494-b552-4e8d-919b-c8ec56d74d43,https://data.riksdagen.se/filarkiv/bilder/ledamot/8316eedf-f7f9-4332-b573-dde3d52f39b2_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/8316eedf-f7f9-4332-b573-dde3d52f39b2_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/8316eedf-f7f9-4332-b573-dde3d52f39b2_max.jpg,Andersson,C,https://data.riksdagen.se/person/8316eedf-f7f9-4332-b573-dde3d52f39b2,"",Tidigare riksdagsledamot,28592,28599,0,0,0,0,0,0,Inactive,None,0
24,Box 2080,Stockholm,"",info@moderat.se,08-676 81 30,1,Moderaterna,08-676 80 00,10312,2013-09-06,M,www.moderat.se,,0522460069116,1962,Göteborgs kommun,Cecilia,KVINNA,e173c414-b86e-45ab-9666-73e82df3d723,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c32704-83e4-11d4-ae60-0050040c9b55_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c32704-83e4-11d4-ae60-0050040c9b55_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c32704-83e4-11d4-ae60-0050040c9b55_max.jpg,Magnusson,M,https://data.riksdagen.se/person/d7c32704-83e4-11d4-ae60-0050040c9b55,"",Tidigare riksdagsledamot,29869,29904,455,24,228,160,33,0,Very High,Individual-focused,7.3
6,Box 2200,Stockholm,"",centerpartiet@centerpartiet.se,08-617 38 10,4,Centerpartiet,08-617 38 00,10315,1995-05-18,C,www.centerpartiet.se,,f1c5bb03-6ef1-4721-b366-8f1a37583aa8,1920,Göteborgs kommun,Bengt,MAN,f1c5bb03-6ef1-4721-b366-8f1a37583aa8,https://data.riksdagen.se/filarkiv/bilder/ledamot/f1c5bb03-6ef1-4721-b366-8f1a37583aa8_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/f1c5bb03-6ef1-4721-b366-8f1a37583aa8_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/f1c5bb03-6ef1-4721-b366-8f1a37583aa8_max.jpg,Bengtsson,C,https://data.riksdagen.se/person/f1c5bb03-6ef1-4721-b366-8f1a37583aa8,"",Inga uppdrag,46846,46847,0,0,0,0,0,0,Inactive,None,0
4, ,Stockholm,"",info@sap.se,08-20 42 57,2,Arbetarepartiet-Socialdemokraterna,08-700 26 00,10560,1956-08-02,S,www.socialdemokraterna.se,,085742305813,1968,Dalarnas län,Patrik,MAN,4dfa2046-fa7a-4583-aa8c-54c6172dea22,https://data.riksdagen.se/filarkiv/bilder/ledamot/22fbd180-3870-4f26-a5ee-eeab42b00de8_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/22fbd180-3870-4f26-a5ee-eeab42b00de8_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/22fbd180-3870-4f26-a5ee-eeab42b00de8_max.jpg,Engström,S,https://data.riksdagen.se/person/22fbd180-3870-4f26-a5ee-eeab42b00de8,"",Tidigare riksdagsledamot,22396,22422,81,0,81,0,0,0,Medium,Individual-focused,0.0
23,Pustegränd 1-3,Stockholm,"","",08-545 224 60,55,Miljöpartiet de gröna,08-545 224 50,11820,1985-02-04,MP,www.mp.se,,0161018662505,1932,"",Ragnhild,KVINNA,0cfbcec8-c2f3-43a1-8544-2d3ccf23426a,https://data.riksdagen.se/filarkiv/bilder/ledamot/ac3cf23e-fd94-4beb-8875-c7f68183ff36_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/ac3cf23e-fd94-4beb-8875-c7f68183ff36_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/ac3cf23e-fd94-4beb-8875-c7f68183ff36_max.jpg,Pohanka,MP,https://data.riksdagen.se/person/ac3cf23e-fd94-4beb-8875-c7f68183ff36,"",Avliden  2021-11-18,18005,18017,0,0,0,0,0,0,Inactive,None,0
40,Box 12660,Stockholm,"",info@vansterpartiet.se,08-653 23 85,5,Vänsterpartiet,08-654 08 20,11293,1990-06-15,V,www.vansterpartiet.se,,0995355603410,1950,Västra Götalands läns västra,Wiwi-Anne,KVINNA,d5568ce6-5e0c-4220-9187-d131d6baad44,https://data.riksdagen.se/filarkiv/bilder/ledamot/9fa04b4d-174b-4c86-82fa-1336c4a6a52d_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/9fa04b4d-174b-4c86-82fa-1336c4a6a52d_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/9fa04b4d-174b-4c86-82fa-1336c4a6a52d_max.jpg,Johansson,V,https://data.riksdagen.se/person/9fa04b4d-174b-4c86-82fa-1336c4a6a52d,"",Tidigare riksdagsledamot,31477,31493,617,151,4,437,23,0,Very High,Party-focused,3.7
23,Pustegränd 1-3,Stockholm,"","",08-545 224 60,55,Miljöpartiet de gröna,08-545 224 50,11820,1985-02-04,MP,www.mp.se,,0565457468009,1930,"",Anita,KVINNA,12bf9f29-ecda-46f4-8b8b-181f56a5e4e2,https://data.riksdagen.se/filarkiv/bilder/ledamot/23b4fafa-c7a8-4c66-a605-3e3deac52905_192.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/23b4fafa-c7a8-4c66-a605-3e3deac52905_80.jpg,https://data.riksdagen.se/filarkiv/bilder/ledamot/23b4fafa-c7a8-4c66-a605-3e3deac52905_max.jpg,Stenberg,MP,https://data.riksdagen.se/person/23b4fafa-c7a8-4c66-a605-3e3deac52905,"",Tidigare riksdagsledamot,8759,8764,0,0,0,0,0,0,Inactive,None,0
