party,first_assignment_date,last_assignment_date,total_assignments,current_assignments,total_days_served,total_days_served_parliament,total_days_served_committee,total_days_served_government,total_days_served_eu,total_days_served_speaker,total_days_served_party,total_days_served_committee_substitute,total_days_served_committee_leadership,active,active_parliament,active_government,active_committee,active_eu,active_speaker,active_party,total_active,total_active_parliament,total_active_government,total_active_committee,total_active_eu,total_party_assignments,total_ministry_assignments,total_committee_assignments,total_speaker_assignments,total_committee_substitute_assignments,total_committee_leadership_assignments,current_party_assignments,current_ministry_assignments,current_committee_assignments,current_speaker_assignments,current_committee_substitute_assignments,current_committee_leadership_assignments,total_documents,avg_documents_per_member,total_party_motions,total_individual_motions,total_committee_motions,total_collaborative_motions,total_follow_up_motions,very_high_activity_members,high_activity_members,medium_activity_members,low_activity_members,party_focused_members,committee_focused_members,individual_focused_members,currently_active_members,total_documents_last_year,avg_documents_last_year,first_party_document,last_party_document,avg_collaboration_percentage,highly_collaborative_members
KD,1985-09-30,2029-07-16,1932,119,1557933,313468,967068,18242,8379,1456,39096,715678,29997,t,t,t,t,t,f,t,28,19,6,19,1,26,37,1282,1,964,32,5,6,69,0,53,2,10058,95.79,139,6691,1933,931,0,71,13,10,11,2,70,28,25,414,16.56,2000-01-21,2026-06-30,9.60,2
L,1976-10-04,2029-07-16,2506,111,1889971,458908,1084781,22000,13811,2918,36056,789434,45964,t,t,t,t,t,f,t,22,16,5,16,1,42,46,1558,3,1122,60,6,5,67,0,51,2,8115,78.03,250,5163,1529,954,0,70,10,14,10,9,33,54,21,241,11.48,2000-01-21,2026-06-25,12.08,8
MP,1976-10-04,2029-07-16,2064,123,1328833,254885,817689,14549,16311,2912,49208,599162,17438,t,t,f,t,t,f,t,21,18,0,17,2,67,49,1317,2,1001,22,7,0,74,0,58,2,6149,58.01,194,3355,1656,541,4,67,20,10,9,12,44,43,20,272,13.60,2000-01-21,2026-06-16,9.41,0
SD,2005-05-07,2029-07-16,2404,298,1751134,274812,1209885,0,8886,2890,27174,1000457,11555,t,t,f,t,t,t,t,74,70,0,68,2,23,0,1749,2,1455,21,6,0,143,1,87,8,8991,73.70,88,6372,2500,0,5,63,32,18,9,4,68,47,66,683,10.35,2010-10-19,2026-05-04,0.00,0
M,1976-10-04,2029-07-16,6924,301,5228283,1310804,2860753,61004,31886,10097,37646,1913851,129084,t,t,t,t,t,t,t,91,66,13,64,4,31,95,4139,8,2742,212,7,13,135,1,79,4,27315,85.90,163,23059,2295,852,0,175,49,71,23,13,68,229,76,1371,18.04,2000-01-21,2026-06-30,3.23,4
NYD,1991-09-30,1994-10-03,125,0,75223,24953,41211,0,0,0,0,24402,0,f,f,f,f,f,f,f,0,0,0,0,0,0,0,77,0,52,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,,,0.00,0
-,1979-10-01,2026-09-28,490,9,351686,83368,228234,1099,0,0,3148,188727,1298,t,t,f,f,f,f,f,9,9,0,0,0,4,1,346,0,281,1,0,0,0,0,0,0,801,38.14,60,539,192,9,0,2,4,12,3,1,5,15,5,109,21.80,2001-10-05,2026-05-13,1.13,0
,1973-01-10,2016-04-19,23,0,5655,4533,186,0,0,0,0,186,0,f,f,f,f,f,f,f,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,,,0.00,0
C,1976-10-04,2029-07-16,2498,112,1968899,504519,1128052,11671,8216,4360,44586,855934,38833,t,t,f,t,t,t,t,26,24,0,23,1,41,11,1525,3,1187,49,7,0,55,1,39,2,9806,105.44,157,6951,1611,1000,0,66,11,9,7,2,33,57,27,429,15.89,2000-01-21,2026-07-03,10.29,6
V,1976-10-04,2029-07-16,1818,120,1526633,370862,897051,0,6250,2919,42913,662311,21935,t,t,f,t,t,f,t,24,21,0,21,2,31,0,1195,2,918,20,7,0,67,0,51,2,5321,50.68,923,671,3165,516,2,81,15,5,4,13,91,1,23,164,7.13,2000-02-09,2026-06-12,9.78,1
S,1971-01-11,2029-07-16,10779,382,8405532,2265675,4440044,117007,39940,15210,47790,2922143,209757,t,t,f,t,t,t,t,117,106,0,102,4,37,264,5987,12,4061,302,7,0,171,1,91,10,26400,61.83,53,23244,1021,279,1,240,62,87,38,5,9,390,112,901,8.04,2000-02-09,2026-06-15,1.13,2
PP,2009-07-14,2014-07-01,3,0,2755,0,0,0,2755,0,0,0,0,f,f,f,f,f,f,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,,,0.00,0
