person_id,first_name,last_name,previous_party,new_party,transition_date,next_election,months_until_next_election,total_subsequent_assignments,total_days_served_after_switch,continued_as_active_mp,served_in_next_election,attained_leadership_post_switch,post_switch_roles,current_status
098412828516,Magdalena,Andersson,S,KD,2022-10-11,2026-09-13,47,4,4352,1,1,0,"Förste vice ordförande, Ledamot, Riksdagsledamot",Tjänstgörande riksdagsledamot
0512357753412,Britt,Bohlin Olsson,KD,RS,2000-07-01,2002-09-15,26,7,12835,1,1,1,"Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0946889218011,Jan-Evert,Rådhström,RS,KD,2010-10-19,2014-09-14,46,1,1441,0,1,0,Ledamot,Tidigare riksdagsledamot
0652944607906,Cristina,Husmark Pehrsson,KD,S,2006-10-06,2010-09-19,47,14,8482,1,1,1,"Ledamot, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tidigare riksdagsledamot
0415959965211,Mia,Sydow Mölleby,V,KD,2014-10-14,2018-09-09,46,11,23746,1,1,1,"Gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0667220767927,Erik,Ezelius,S,RS,2019-02-07,2022-09-11,43,20,26624,1,1,1,"Deputerad, Ersättare, Förste vice gruppledare, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tjänstgörande riksdagsledamot
0292756653724,Henrik,von Sydow,KD,RS,2012-11-01,2014-09-14,22,1,697,0,1,0,Ersättare,Tidigare riksdagsledamot
0800956862429,Gulan,Avci,L,KD,2022-11-17,2026-09-13,45,6,3480,0,0,0,"Ledamot, Suppleant",Avgången riksdagsledamot
0552248175312,Berit,Högman,S,RS,2012-03-23,2014-09-14,29,7,10598,1,1,0,"Ersättare, Förste vice gruppledare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0980316377627,Lars,Hjälmered,RS,KD,2018-10-09,2022-09-11,47,7,15393,1,1,1,"Andre vice ordförande, Ledamot, Ordförande, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
014744660015,Mikael,Damberg,S,RS,2012-02-24,2014-09-14,30,20,14972,1,1,1,"Finansminister, Gruppledare, Ledamot, Närings- och innovationsminister, Ordförande, Riksdagsledamot, Statsråd, Suppleant, Vice ordförande",Tjänstgörande riksdagsledamot
0798417016112,Kristina,Zakrisson,RS,KD,2002-10-15,2006-09-17,47,12,11662,1,1,0,"Andre vice ordförande, Ersättare, Ledamot, Riksdagsledamot, Suppleant",Tidigare riksdagsledamot
0607691439013,Karin,Enström,RS,M,2022-10-19,2026-09-13,46,10,8198,0,1,1,"Ledamot, Ordförande, Partisekreterare, Suppleant",Tjänstgörande riksdagsledamot
0789353702707,Mats,Lindberg,KD,RS,2000-07-01,2002-09-15,26,1,242,0,0,0,Ledamot,Tidigare riksdagsledamot
0630022377501,Bengt,Westerberg,S,KD,1994-10-18,2002-09-15,94,2,1535,0,0,1,"Ledamot, Vice ordförande",Tidigare riksdagsledamot
0224712677012,Johan,Pehrson,RS,L,2019-06-28,2022-09-11,38,12,17517,1,1,1,"Arbetsmarknads- och integrationsminister, Gruppledare, Ledamot, Partiledare, Riksdagsledamot, Suppleant, Tillförordnad partiledare, Utbildningsminister",Avgången riksdagsledamot
0388920259006,Inger,René,KD,RS,2000-07-01,2002-09-15,26,12,14600,1,1,1,"Deputerad, Ledamot, Ordförande, Riksdagsledamot, Suppleant, Vice ordförande",Tidigare riksdagsledamot
