person_id,first_name,last_name,previous_party,new_party,transition_date,transition_type,transition_year,next_election,months_until_next_election,previous_election,months_since_last_election
0836001490919,Ulrika,Heie,C,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0956444284814,Per,Bolund,KD,M,2021-02-05,REJOINED_RIKSDAGEN,2021,2022-09-11,19,2018-09-09,28
0744139167426,Rasmus,Ling,MP,RS,2022-01-13,SWITCHED_WHILE_SERVING,2022,2022-09-11,7,2018-09-09,40
0284192765516,Tomas,Eneroth,KD,S,2014-10-04,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0959102638818,Roger,Tiefensee,RS,C,2006-10-11,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,0
0552248175312,Berit,Högman,KD,S,2012-02-29,SWITCHED_WHILE_SERVING,2012,2014-09-14,30,2010-09-19,17
0911916463828,Fredrik,Lundh Sammeli,KD,RS,2025-04-22,SWITCHED_WHILE_SERVING,2025,2026-09-13,16,2022-09-11,31
0512357753412,Britt,Bohlin Olsson,KD,RS,2000-07-01,REJOINED_RIKSDAGEN,2000,2002-09-15,26,,
0522460069116,Cecilia,Magnusson,M,KD,2010-10-19,REJOINED_RIKSDAGEN,2010,2014-09-14,46,2010-09-19,1
0745549193810,Stefan,Attefall,RS,S,2010-10-06,REJOINED_RIKSDAGEN,2010,2014-09-14,47,2010-09-19,0
0545733815610,Patrick,Reslow,M,SD,2018-11-07,REJOINED_RIKSDAGEN,2018,2022-09-11,46,2018-09-09,1
0224712677012,Johan,Pehrson,RS,KD,2006-10-17,REJOINED_RIKSDAGEN,2006,2010-09-19,47,2006-09-17,1
0462699892622,Maria,Ferm,MP,RS,2014-10-07,REJOINED_RIKSDAGEN,2014,2018-09-09,47,2014-09-14,0
0831636664429,Mattias,Karlsson,RS,KD,2014-10-14,REJOINED_RIKSDAGEN,2014,2018-09-09,46,2014-09-14,1
