person_id,person_name,party,total
0698785853314,Agneta Ringman ,S,1
0812087943307,Margareta Viklund ,KD,4
0499755198526,Mattias Jonsson,S,196
0910803550317,Lena Johansson,S,32
0575283695521,Helena Antoni,M,2
0937521536309,Henrik Westman ,M,20
087735695612,Anders Karlsson ,S,4
0271543079118,Heidi Karlsson,SD,21
0980725315516,Lars Leijonborg ,L,9
0926002991620,Pontus Andersson Garpvall,SD,16
0211726202212,Maria Kornevik-Jakobsson,C,8
0474290584024,Azadeh Rojhan,S,49
0551013247907,Barbro Andersson Öhrn ,S,1
0640669898710,Gunvor G Ericson,MP,464
0534056896314,Lars Gustafsson,kd,557
0655028250417,Lena Emilsson,S,29
0590881101608,Åke Sandström ,C,12
0364687971222,Alireza Akhondi,C,82
0150664940102,Eva Lohman,M,167
0567842515701,Monica Öhman ,S,2
0855851906414,Caroline Hagström ,KD,5
0534173087404,Carin Lundberg ,S,4
0613297818326,Mathias Tegnér,S,117
0308885293103,Maj-Britt Wallhorn ,KD,1
0637028706011,Bodil Ceballos,MP,510
0384833975200,Bo Könberg,L,257
0603753860213,Carina Ståhl Herrstedt,SD,202
0523902030928,Aylin Nouri,S,32
019623784404,Viviann Gerdin ,C,10
0372922430808,Mona Berglund Nilsson,s,57
0110600080618,Håkan Juholt ,S,1
0530425150220,Annika Strandhäll,S,94
0574724112206,Rosita Runegrund,kd,683
0875221317013,Gunilla Carlsson,S,94
0596495003124,Max Elger,S,7
0134101155612,Rikard Larsson,S,26
0740457070816,Margot Wallström,S,54
0966063008623,Leonid Yurkovskiy,SD,47
0819601620927,Annika Hirvonen Falk,MP,44
0279488554424,Alexander Christiansson,SD,146
0673622610409,Birgitta Carlsson ,C,25
0924947945722,Maryam Yazdanfar,S,119
0744139167426,Rasmus Ling,MP,119
0313210809828,Emil Källström,C,99
041911485722,Magdalena Schröder,M,6
0782713019602,Holger Gustafsson,KD,356
062367962120,Åsa Lindhagen,MP,16
0534870997412,Åsa Hartzell,M,10
0919710128803,Jan Backman ,M,12
0653578338415,Agneta Nilsson,S,25
0283299919701,Olle Lindström ,M,7
0173946230722,Maria Andersson Willner,S,39
0168348837024,Peter Kullgren,KD,11
0284039893826,Jakop Dalunde,MP,3
0594680769027,Daniel Andersson,S,1
0564126739422,Åsa Coenraads,M,181
0955748436811,Robert Stenkvist,SD,262
0111536149811,Owe Hellberg ,V,7
0495218011521,Johanna Jönsson,C,67
0313390540217,Ingela Nylund Watz,S,157
0482927154110,Leif Jakobsson ,S,1
0502353466300,Anders G Högmark ,M,6
0136310791918,Marie Granlund,S,265
0277100069203,Knut Billing,M,25
0468206532916,Inger Segelström,s,95
0388920259006,Inger René ,M,20
0710863816703,Helena Hillar Rosenqvist,MP,276
0641953830512,Magnus Persson,SD,85
0731809135516,Carina Adolfsson Elgestam,S,768
074310796828,Magnus Resare,M,31
0279360042003,Gabriel Romanus,L,126
0541320528015,Nina Lundström,L,323
012053331219,Anna Kinberg,M,43
0635943298419,Dan Hovskär,KD,37
0497217816024,Markus Selin,S,28
0732677378827,Marta Obminska,M,105
0694273653613,Margareta Fransson,MP,3
0599003208801,Lennart Fremling,L,112
0552248175312,Berit Högman,S,371
0138450838510,Pär Nuder,S,14
0817433088402,Nils Fredrik Aurelius ,M,9
0559652845303,Jarl Lander ,S,2
0558039843819,Göran Pettersson,M,40
0133282248705,Helena Bargholtz ,L,5
0728463811911,Åsa Ågren Wikström,M,1
057390531612,Laila Bäck ,S,3
0782242286018,Gunnar Axén ,M,10
037561614928,Lawen Redar,S,199
045666679112,Annelie Enochson,KD,871
0148424181819,Ann-Christine From Utterstedt,SD,28
035234573112,Anna-Lena Hedberg,SD,29
0992604658114,Cecilia Wigström i Göteborg,L,48
0223175563813,Yvonne Andersson,kd,612
0992604658114,Cecilia Wigström,L,131
0870805820217,Göran Lindblad ,M,10
07012286624,Daniel Riazat,V,187
0641486384014,Jan Lindholm,MP,1101
0241621108903,Bengt Silfverstrand ,S,3
0325462829512,Christina Tapper Östberg,SD,5
075043103804,Per Lager ,MP,3
010343930918,Cecilie Tenfjord Toftby,M,71
0114769874810,Sven Yngve Persson,M,88
0232236105111,Magda Ayoub,kd,204
0747488001814,Hamza Demir,V,14
0449003924218,Kalle Larsson ,V,4
0117203219614,Jörgen Warborn,M,90
0591020192311,Ulf Lindholm,SD,5
0698463786600,Göran Norlander,s,160
0483837558914,Anna-Lena Sörenson,S,194
0469825305127,Anders Forsberg,SD,88
0275724540919,Erik Ullenhag,L,271
0824343942006,Göran Thingwall,M,13
0952789103522,Elin Segerlind,V,20
0890727249707,Lennart Levi,C,6
0932000030511,Maria Stockhaus,M,165
0798417016112,Kristina Zakrisson ,S,2
0354810740804,Carl Erik Hedlund ,M,12
0802091197024,Andrea Andersson Tay,V,149
0479155832315,Kenneth Lantz ,KD,27
0860429409414,Désirée Pethrus,KD,179
0836001490919,Ulrika Heie,C,137
0192918410514,Gunilla Nordgren,M,287
0494242537816,Hans Eklind,KD,54
0812087943307,Margareta Viklund,KD,104
0603490586517,Jan Björklund,L,72
0505931201806,Rolf Kenneryd ,C,16
0146133946627,Andreas Lennkvist Manriquez,V,108
0905312407726,Cassandra Sundin,SD,178
0229627943828,Jytte Guteland,S,57
0321885416125,Rossana Valeria D.,V,101
0277100069203,Knut Billing ,M,1
0706528359123,Linus Sköld,S,94
0199809132302,Karin Falkmer,M,43
0214302391005,Rinaldo Karlsson,S,19
0172220256016,Annika Lillemets,MP,317
0393171737407,Anita Sidén ,M,5
0962854674801,Gudrun Lindvall,MP,164
0904448094023,Linus Lakso,MP,165
0653132951201,Ulf Björklund ,KD,8
0832311880029,Erik Ottoson,M,88
0408672730600,Christel Anderberg,m,78
010392780417,Marie Olsson,S,57
0711876203701,Hans Hjortzberg-Nordlund,M,79
0871076471012,Ann-Marie Fagerström ,S,3
0845133742919,Lili André,KD,40
0681085425612,Per Rosengren,V,249
089057453314,Ulf Sjösten,M,301
0437269990517,Anna SteeleKarlström,L,41
0504851635310,Daniel Helldén,MP,56
0760500234712,Monica Haider,S,123
08188046917,Susanna Haby,M,11
0822010116020,Jim Svensk Larm,S,36
0176437434123,Jenny Petersson,M,154
0900815713419,Olle Sandahl,KD,434
0111536149811,Owe Hellberg,V,381
0367418588113,Liselott Hagberg,L,211
0779781772919,Christina Karlsson,S,111
0699787174310,Lotta N Hedström,MP,95
0463667731519,Yvonne Oscarsson,v,47
0203334943718,Louise Malmström,S,505
0666958447826,Caroline Szyber,KD,224
0505599928316,Carl Fredrik Graf ,M,19
0377384542907,Chatrine Pålsson Ahlgren,KD,88
0254695027922,Momodou Malcolm Jallow,V,16
0338458649710,Anti Avsan,M,122
0781648625615,Peter Rådberg,MP,427
0603753860213,Carina Herrstedt,SD,250
0916608741910,Suzanne Svensson,S,253
0506541436524,Sanne Eriksson,S,6
0462699892622,Maria Ferm,MP,269
0462541496508,Rigmor Stenmark,C,420
0554852839719,Mikael Dahlqvist,S,72
0341628241813,Marianne Fundahn,S,104
0166402877505,Ulla Hoffmann,v,334
0204240926023,Markus Wiechel,SD,914
0502688311316,Anna Vikström,S,65
0181728423812,Walburga Habsburg Douglas,M,59
0395042560705,Kerstin Heinemann,L,213
0987147242812,Johnny Gylling,KD,295
0104804820009,Per Unckel ,M,16
0677738818613,Anders Åkesson,C,334
0736583179204,Roy Hansson ,M,8
037063714405,Anders Björck,m,143
023732429721,Sofie Eriksson,S,20
0333961113904,Marita Aronson,L,291
0281408160607,Gunnar Goude,MP,129
0227802801605,Thomas Hammarberg,S,2
0542160909628,Andreas Carlson,KD,277
0681030112815,Peter Helander,C,142
0478345475910,Chris Heister ,M,20
0973474532717,Ibrahim Baylan,S,118
0137849446315,Anna Ekström,S,12
0929270135300,Carl G Nilsson,M,87
0186426023519,Arhe Hamednaca,S,146
0464765884818,Bengt-Göran Hansson ,S,1
0139948283718,Agneta Börjesson,MP,145
0864542495614,Sten Tolgfors,m,391
0316345926026,Gustaf Hoffstedt,M,48
0114065053815,Rolf Olsson ,V,2
0678712094213,Stefan Jakobsson,SD,157
0938901612810,Fredrik Reinfeldt,m,190
0475634300704,Anna Åkerhielm,M,99
0709911904721,Johanna Rantsi,M,85
07776758016,Ewa Larsson ,MP,8
0710022029620,Magda Rasmusson,MP,11
083953568015,Malin Höglund,M,34
0201207390210,Lars Adaktusson,KD,14
0383111552218,Jonas Sjöstedt,V,263
0526129317828,Veronica Lindholm,S,102
0773497241728,Roger Hedlund,SD,238
0573273704102,Christer Erlandsson,S,23
0186490041606,Kerstin-Maria Stalin ,MP,6
02910042914,Carina Ödebrink,S,74
0926555793514,Anders Wiklund,V,78
0403769921921,Tina Ghasemi,M,52
