person_id,first_name,last_name,party,born_year,gender,status,election_region,total_votes,yes_percentage,no_percentage,absence_rate,rebel_rate,success_rate,voting_days,first_vote_date,last_vote_date,voting_participation_rate,loyalty_rate,voting_consistency_score,analysis_comment
0394601078212,Mahmood,Fahmi,M,1965,MAN,Tidigare ersättare,Stockholms kommun,281643,51.36,28.93,17.43,0.00,97.52,3,2008-01-01,2010-01-01,82.57,100.00,97.52,Often on winning side
0758610200105,Maja,Bäckström,S,1937,KVINNA,Avliden  2017-01-17,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0905755961314,Lars,Elinderson,M,1949,MAN,Tidigare riksdagsledamot,Västra Götalands läns östra,1143324,59.17,22.66,14.38,0.00,85.16,10,2004-01-01,2014-01-01,85.62,100.00,85.16,Often on winning side
0846623992109,Stefan,Kihlberg,NYD,1945,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0480007629014,Michael,Hagberg,S,1954,MAN,Avliden  2022-10-16,Södermanlands län,1106330,56.43,22.38,17.26,0.03,56.44,9,2002-01-01,2010-01-01,82.74,99.97,56.42,Generally aligned
0959236354417,Anders,Sundström,S,1952,MAN,Tidigare riksdagsledamot,"",325268,61.25,18.19,15.29,0.00,55.26,4,2002-01-01,2006-01-01,84.71,100.00,55.26,Generally aligned
0906620634423,Eleonore,Lundkvist,M,1988,KVINNA,Tillgänglig ersättare,Västmanlands län,85505,58.67,16.74,14.49,0.00,99.59,1,2024-01-01,2024-01-01,85.51,100.00,99.59,Often on winning side
075784887694,Hugo,Hegeland,M,1922,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0201502585302,Anne,Wibble,FP,1943,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0308306375022,Roger,Haddad,L,1978,MAN,Tidigare riksdagsledamot,Västmanlands län,1971850,55.19,16.34,23.11,0.02,63.70,13,2010-01-01,2022-01-01,76.89,99.98,63.69,Generally aligned
0673813596104,Alwa,Wennerlund,KD,1944,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
048433771316,Pernilla,Mobeck,S,1969,KVINNA,Tidigare ersättare,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0741225202024,Meeri,Wasberg,S,1973,KVINNA,Tidigare riksdagsledamot,Stockholms län,490345,61.93,21.07,12.64,0.00,44.34,6,2009-01-01,2014-01-01,87.36,100.00,44.34,Generally aligned
0425115010020,Kadir,Kasirga,S,1975,MAN,Tjänstgörande riksdagsledamot,Stockholms kommun,648093,60.47,17.24,13.07,0.11,57.84,8,2018-01-01,2026-01-01,86.93,99.89,57.78,Generally aligned
0859925892507,Evert,Svensson,S,1925,MAN,Avliden  2024-09-01,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
fa6f9cdf-76a5-4399-990b-396635c91db5,Sune G,Johansson,S,1933,MAN,Inga uppdrag,Värmlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
010611244716,Åsa,Regnér,S,1964,KVINNA,Tidigare statsråd,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0581480697617,Thomas,Bodström,S,1962,MAN,Tidigare riksdagsledamot,Stockholms län,452304,53.16,26.81,17.56,0.46,21.06,5,2006-01-01,2010-01-01,82.44,99.54,20.96,Generally aligned
0683297678211,Elisebeht,Markström,S,1955,KVINNA,Tidigare riksdagsledamot,Södermanlands län,1106330,56.43,22.38,17.26,0.32,63.50,9,2002-01-01,2010-01-01,82.74,99.68,63.30,Generally aligned
0136268785826,Nima,Gholam Ali Pour,SD,1981,MAN,Tjänstgörande riksdagsledamot,Malmö kommun,451606,59.15,17.20,14.54,0.00,71.71,5,2022-01-01,2026-01-01,85.46,100.00,71.71,Often on winning side
0557180142229,Fredrik,Lindahl,SD,1987,MAN,Tjänstgörande riksdagsledamot,Stockholms län,1179620,47.79,14.39,30.76,0.00,41.45,9,2018-01-01,2026-01-01,69.24,100.00,41.45,Frequently absent
5d861f30-4f5a-4875-aa83-b2b9109f2ac9,Åke,Persson,L,1930,MAN,Inga uppdrag,"Fyrstadskretsen 1979/80 (till
31.10.1979), Riksd",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0697895317615,Maud,Ekendahl,M,1949,KVINNA,Tidigare riksdagsledamot,Skåne läns norra och östra,328758,56.17,20.42,18.80,0.11,39.70,3,2004-01-01,2006-01-01,81.20,99.89,39.66,Generally aligned
0919710128803,Jan,Backman,M,1939,MAN,Avliden  2025-07-14,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0893605406218,Stig,Bertilsson,M,1950,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0822327872306,Roland,Brännström,S,1930,MAN,Avliden  2019-01-24,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0656432673917,Anna,Hedh,S,1967,KVINNA,Tidigare europaparlamentariker,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0627956939404,Kerstin,Göthberg,C,1927,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0906336297511,Marie,Engström,V,1953,KVINNA,Tidigare riksdagsledamot,Värmlands län,1058517,56.34,22.39,17.24,0.23,39.70,9,2002-01-01,2010-01-01,82.76,99.77,39.61,Generally aligned
0181942435301,Ingela,Thalén,S,1943,KVINNA,Tidigare riksdagsledamot,"",317939,61.32,18.06,15.30,0.00,89.24,4,2002-01-01,2006-01-01,84.70,100.00,89.24,Often on winning side
0114869877121,Sara,Karlsson,S,1985,KVINNA,Tidigare riksdagsledamot,Södermanlands län,1187298,63.64,18.57,12.68,0.03,59.50,9,2010-01-01,2018-01-01,87.32,99.97,59.48,Generally aligned
46ae4730-87c2-4ceb-bd32-f7c0bfe39bc2,Ingvar,Svanberg,S,1915,MAN,Inga uppdrag,Norrbottens län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0895706637124,Abir,Al-Sahlani,C,1976,KVINNA,Europaparlamentariker,Stockholms kommun,767451,63.31,19.47,11.65,0.00,49.21,6,2010-01-01,2019-01-01,88.35,100.00,49.21,Generally aligned
0735009164618,Christian,Engström,PP,1960,MAN,Tidigare europaparlamentariker,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
ed6e522b-a2f4-4a12-aee0-d28ce3c98c60,Yngve,Möller,S,1912,MAN,Inga uppdrag,Gävleborgs län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
027112189005,Leif,Carlson,M,1942,MAN,Tidigare riksdagsledamot,Kalmar län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0731092390302,Sture,Arnesson,V,1943,MAN,Tidigare riksdagsledamot,Värmlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0372922430808,Mona,Berglund Nilsson,S,1942,KVINNA,Tidigare riksdagsledamot,Västra Götalands läns västra,654026,58.70,19.31,17.05,0.00,75.45,5,2002-01-01,2006-01-01,82.95,100.00,75.45,Often on winning side
036360942301,Marianne,Löfstedt,M,1938,KVINNA,Tidigare ersättare,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0168348837024,Peter,Kullgren,KD,1981,MAN,Landsbygdsminister,Värmlands län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0210198640127,Fredrik,Schulte,M,1981,MAN,Tidigare riksdagsledamot,Stockholms län,2238137,54.55,18.21,22.66,0.09,65.30,17,2006-01-01,2022-01-01,77.34,99.91,65.24,Generally aligned
0471642162218,Magnus,Johansson,S,1967,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0440673458216,Ulrika,Liljeberg,C,1969,KVINNA,Tjänstgörande riksdagsledamot,Dalarnas län,451606,59.15,17.20,14.54,0.15,46.83,5,2022-01-01,2026-01-01,85.46,99.85,46.76,Generally aligned
1de9bc34-5e93-41c1-b3bc-bdb3c7aee370,Per-Eric,Ringaby,M,1916,MAN,Inga uppdrag,Örebro län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
f9e505d5-c84a-49a3-b8bb-99d6784df76e,Lilly,Hansson,S,1927,KVINNA,Inga uppdrag,Västerbottens län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0468956880528,Mikael,Eskilandersson,SD,1977,MAN,Tjänstgörande riksdagsledamot,Skåne läns norra och östra,1792813,53.30,15.23,24.89,0.02,47.48,13,2014-01-01,2026-01-01,75.11,99.98,47.47,Generally aligned
