person_id,first_name,last_name,party,election_year,career_cycle_number,total_cycles,career_start_year,career_end_year,ballot_count,attendance_rate,win_rate,leadership_roles,documents_authored,avg_career_attendance,performance_vs_baseline,career_stage,performance_trend,career_pattern
0251564185908,Kerstin,Engle,S,2014,4,4,2002,2014,367,74.66,51.50,2,572,79.6825000000000000,-5.02,LATE_CAREER,STABLE,CONSISTENT
0155487380917,Kerstin,Lundgren,C,2026,7,7,2002,2026,318,80.19,35.85,2,643,75.8600000000000000,4.33,LATE_CAREER,STABLE,CONSISTENT
0468775142013,Christina,Oskarsson,S,2010,3,4,2002,2014,1715,85.48,46.36,0,469,85.9575000000000000,-0.48,LATE_CAREER,STABLE,CONSISTENT
0271495844814,Sonja,Fransson,S,2006,2,2,2002,2006,7,100.00,100.00,0,104,83.2450000000000000,16.76,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0773497241728,Roger,Hedlund,SD,2022,3,4,2014,2026,1948,83.73,65.61,0,407,71.2050000000000000,12.53,LATE_CAREER,IMPROVING,PEAK_PERFORMANCE
0566106045918,Maria,Hassan,S,2006,2,2,2002,2006,376,88.56,93.09,0,62,93.0700000000000000,-4.51,LATE_CAREER,DECLINING,CONSISTENT
0222691314314,Ulf,Kristersson,M,2014,1,3,2014,2022,1336,77.02,64.30,4,618,31.6966666666666667,45.32,EARLY_CAREER,NEW_ENTRY,RISING_STAR
065105536026,Niklas,Karlsson,S,2014,1,4,2014,2026,1336,88.02,95.21,7,206,81.6350000000000000,6.39,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0802826314426,Sofia,Arkelsten,M,2014,3,4,2006,2018,1703,90.66,71.70,3,147,88.0375000000000000,2.62,LATE_CAREER,IMPROVING,CONSISTENT
0952789103522,Elin,Segerlind,V,2018,1,2,2018,2022,1500,39.73,67.73,0,105,57.9200000000000000,-18.19,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0110600080618,Håkan,Juholt,S,2002,1,4,2002,2014,1571,64.29,97.07,2,203,61.4150000000000000,2.88,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
0390912778804,Peter,Althin,KD,2006,2,2,2002,2006,670,67.01,68.96,0,218,75.5800000000000000,-8.57,LATE_CAREER,DECLINING,STRUGGLING_NEWCOMER
0251617324715,Katarina,Köhler,S,2014,3,3,2006,2014,679,75.85,70.99,0,147,87.0966666666666667,-11.25,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0269067253614,Thomas,Strand,S,2002,1,5,2002,2018,56,91.07,100.00,0,460,93.5560000000000000,-2.49,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0934639939611,Ola,Johansson,C,2022,4,4,2010,2022,653,88.51,68.30,0,382,80.7300000000000000,7.78,LATE_CAREER,IMPROVING,CONSISTENT
0938534705001,Gunnar,Hedberg,M,2010,1,2,2010,2014,443,100.00,98.19,0,0,91.3950000000000000,8.61,EARLY_CAREER,NEW_ENTRY,RISING_STAR
0598053101129,David,Lindvall,S,2014,1,2,2014,2018,89,92.13,91.01,0,0,96.0650000000000000,-3.94,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0502490570219,Kristina,Axén Olin,M,2022,2,3,2018,2026,1948,89.37,85.42,0,168,81.4333333333333333,7.94,LATE_CAREER,IMPROVING,RISING_STAR
010392780417,Marie,Olsson,S,2022,3,4,2014,2026,516,76.55,52.71,0,59,88.5850000000000000,-12.04,LATE_CAREER,DECLINING,LATE_CAREER_DECLINE
0469626830920,Karl,Sigfrid,M,2006,1,3,2006,2014,1128,95.30,100.00,0,33,95.7900000000000000,-0.49,EARLY_CAREER,NEW_ENTRY,CONSISTENT
0834510274913,Charlotte,Nordström,M,2026,2,2,2022,2026,318,79.25,85.22,0,16,84.3350000000000000,-5.09,LATE_CAREER,DECLINING,CONSISTENT
0116084827614,Mehmet,Kaplan,MP,2014,3,3,2006,2014,367,87.74,45.78,1,352,82.5366666666666667,5.20,LATE_CAREER,IMPROVING,CONSISTENT
0976656359110,Kaj,Nordquist,S,2006,2,2,2002,2006,369,99.46,92.95,0,41,96.1300000000000000,3.33,LATE_CAREER,IMPROVING,CONSISTENT
0824343942006,Göran,Thingwall,-,2010,2,2,2006,2010,221,90.05,81.00,0,13,89.8450000000000000,0.21,LATE_CAREER,STABLE,CONSISTENT
0522460069116,Cecilia,Magnusson,M,2018,5,5,2002,2018,472,85.81,57.63,0,457,84.6560000000000000,1.15,LATE_CAREER,STABLE,CONSISTENT
023451344303,Patrik,Norinder,M,2006,2,2,2002,2006,376,83.78,53.99,0,226,87.5950000000000000,-3.82,LATE_CAREER,DECLINING,CONSISTENT
0781357446917,Sven-Erik,Bucht,S,2014,2,2,2010,2014,367,85.01,51.50,0,174,84.6050000000000000,0.41,LATE_CAREER,STABLE,CONSISTENT
0526748040023,Ludvig,Aspling,SD,2018,1,3,2018,2026,1443,44.07,46.57,0,134,67.5633333333333333,-23.49,EARLY_CAREER,NEW_ENTRY,STRUGGLING_NEWCOMER
