person_id,first_name,last_name,party,committee,committee_org,decision_month,decision_year,decision_month_num,total_decisions,approved_decisions,rejected_decisions,referred_back_decisions,other_decisions,approval_rate,rejection_rate,earliest_decision_date,latest_decision_date
0548314774911,Veronica,Palm,S, Avslag,SoU,2011-10-01 00:00:00+00,2011,10,1,0,1,0,0,0.00,100.00,2011-10-05,2011-10-05
0316505710324,Janine,Alm Ericson,MP,Avslag,SkU,2023-10-01 00:00:00+00,2023,10,2,0,2,0,0,0.00,100.00,2023-10-03,2023-10-05
0783069490115,Mirja,Räihä,S,Avslag,SkU,2023-10-01 00:00:00+00,2023,10,1,0,1,0,0,0.00,100.00,2023-10-05,2023-10-05
0211757295524,Josef,Fransson,SD, Avslag,JuU,2011-09-01 00:00:00+00,2011,9,1,0,1,0,0,0.00,100.00,2011-09-30,2011-09-30
084624777218,Helena,Lindahl,C,Avslag,FiU,2024-10-01 00:00:00+00,2024,10,1,0,1,0,0,0.00,100.00,2024-10-04,2024-10-04
0125036219125,Nina,Larsson,L, Avslag,NU,2008-09-01 00:00:00+00,2008,9,1,0,1,0,0,0.00,100.00,2008-09-22,2008-09-22
0635943298419,Dan,Hovskär,KD,Avslag,KU,2024-10-01 00:00:00+00,2024,10,1,0,1,0,0,0.00,100.00,2024-10-02,2024-10-02
0584183916016,Ulf,Holm,MP, Avslag,SfU,2004-09-01 00:00:00+00,2004,9,2,0,2,0,0,0.00,100.00,2004-09-29,2004-09-30
0889860537413,Krister,Hammarbergh,M," Avslag,  Avslag",NU,2005-10-01 00:00:00+00,2005,10,1,0,1,0,0,0.00,100.00,2005-10-17,2005-10-17
061124537800,Birgitta,Ahlqvist,S, Avslag,TU,2002-10-01 00:00:00+00,2002,10,3,0,3,0,0,0.00,100.00,2002-10-23,2002-10-23
0864542495614,Sten,Tolgfors,M, Avslag,SoU,2002-10-01 00:00:00+00,2002,10,5,0,5,0,0,0.00,100.00,2002-10-23,2002-10-23
0287864972117,Sofia,Larsen,C, Avslag,AU,2008-10-01 00:00:00+00,2008,10,5,0,5,0,0,0.00,100.00,2008-10-03,2008-10-08
0264838147315,Catharina,Bråkenhielm,S, Avslag,SoU,2010-05-01 00:00:00+00,2010,5,1,0,1,0,0,0.00,100.00,2010-05-05,2010-05-05
0628190530410,Ulla,Andersson,V, Avslag,UbU,2012-09-01 00:00:00+00,2012,9,4,0,4,0,0,0.00,100.00,2012-09-25,2012-09-26
0442872782509,Harald,Nordlund,L, Avslag,SoU,2005-05-01 00:00:00+00,2005,5,1,0,1,0,0,0.00,100.00,2005-05-13,2005-05-13
0996373560505,Runar,Patriksson,L, Avslag,FöU,2004-10-01 00:00:00+00,2004,10,1,0,1,0,0,0.00,100.00,2004-10-01,2004-10-01
0547805254924,Jessica,Thunander,V,Avslag,FöU,2021-09-01 00:00:00+00,2021,9,1,0,1,0,0,0.00,100.00,2021-09-29,2021-09-29
0574724112206,Rosita,Runegrund,KD, Avslag,SkU,2009-10-01 00:00:00+00,2009,10,2,0,2,0,0,0.00,100.00,2009-10-01,2009-10-02
0238588409223,Gustav,Fridolin,MP, Avslag,KrU,2005-09-01 00:00:00+00,2005,9,1,0,1,0,0,0.00,100.00,2005-09-30,2005-09-30
0132818093422,Rickard,Nordin,C,Avslag,NU,2025-04-01 00:00:00+00,2025,4,1,0,1,0,0,0.00,100.00,2025-04-10,2025-04-10
0499755198526,Mattias,Jonsson,S,Avslag,AU,2021-10-01 00:00:00+00,2021,10,1,0,1,0,0,0.00,100.00,2021-10-01,2021-10-01
0810201628512,Ann-Charlotte,Hammar Johnsson,M,Avslag,TU,2024-10-01 00:00:00+00,2024,10,3,0,3,0,0,0.00,100.00,2024-10-01,2024-10-03
0262124593702,Kurt,Kvarnström,S, Avslag,UbU,2008-10-01 00:00:00+00,2008,10,1,0,1,0,0,0.00,100.00,2008-10-01,2008-10-01
0961483563503,Gudrun,Nordborg,V,Avslag,JuU,2024-04-01 00:00:00+00,2024,4,1,0,1,0,0,0.00,100.00,2024-04-16,2024-04-16
0136310791918,Marie,Granlund,S, Avslag,SfU,2006-11-01 00:00:00+00,2006,11,2,0,2,0,0,0.00,100.00,2006-11-01,2006-11-01
0239948123229,Erik,Almqvist,SD, Avslag,FiU,2012-03-01 00:00:00+00,2012,3,3,0,3,0,0,0.00,100.00,2012-03-02,2012-03-14
0548843588006,Ingemar,Vänerlöv,KD, Avslag,KU,2004-10-01 00:00:00+00,2004,10,13,0,13,0,0,0.00,100.00,2004-10-06,2004-10-06
0254695027922,Malcolm Momodou,Jallow,V,Avslag,UbU,2018-04-01 00:00:00+00,2018,4,2,0,2,0,0,0.00,100.00,2018-04-03,2018-04-25
0900533740700,Marianne,Samuelsson,MP,Avslag,SoU,2001-10-01 00:00:00+00,2001,10,9,0,0,0,9,0.00,0.00,2001-10-05,2001-10-05
0107123682905,Berndt,Sköldestig,S, Avslag,BoU,2005-10-01 00:00:00+00,2005,10,2,0,2,0,0,0.00,100.00,2005-10-04,2005-10-04
0244345953026,Peter,Danielsson,M, Avslag,JuU,2005-09-01 00:00:00+00,2005,9,2,0,2,0,0,0.00,100.00,2005-09-20,2005-09-28
0603753860213,Carina,Ståhl Herrstedt,SD,Avslag,KU,2018-10-01 00:00:00+00,2018,10,1,0,1,0,0,0.00,100.00,2018-10-11,2018-10-11
0747667590310,Marina,Pettersson,S, Avslag,BoU,2004-10-01 00:00:00+00,2004,10,2,0,2,0,0,0.00,100.00,2004-10-06,2004-10-06
058426570914,Sven,Bergström,C, Avslag,MJU,2004-10-01 00:00:00+00,2004,10,4,0,4,0,0,0.00,100.00,2004-10-03,2004-10-06
0214302391005,Rinaldo,Karlsson,S,avslag,FöU,2000-10-01 00:00:00+00,2000,10,1,0,0,0,1,0.00,0.00,2000-10-05,2000-10-05
0184968091618,Jan,Riise,MP,Avslag,SoU,2024-10-01 00:00:00+00,2024,10,7,0,7,0,0,0.00,100.00,2024-10-01,2024-10-04
0328926898814,Marita,Ulvskog,S, Avslag,TU,2006-10-01 00:00:00+00,2006,10,1,0,1,0,0,0.00,100.00,2006-10-31,2006-10-31
0279488554424,Alexander,Christiansson,SD,Avslag,SoU,2023-10-01 00:00:00+00,2023,10,4,0,4,0,0,0.00,100.00,2023-10-04,2023-10-05
0901257862125,Hans,Linde,V, Avslag,UU,2009-09-01 00:00:00+00,2009,9,5,0,5,0,0,0.00,100.00,2009-09-28,2009-09-29
0900533740700,Marianne,Samuelsson,MP,Avslag,UbU,2001-11-01 00:00:00+00,2001,11,1,0,0,0,1,0.00,0.00,2001-11-07,2001-11-07
0339894357417,Jennie,Nilsson,S, Avslag,FöU,2008-04-01 00:00:00+00,2008,4,1,0,1,0,0,0.00,100.00,2008-04-02,2008-04-02
0694917698222,Michael,Rubbestad,SD,Avslag,KU,2025-10-01 00:00:00+00,2025,10,1,0,1,0,0,0.00,100.00,2025-10-02,2025-10-02
0573136138218,Krister,Örnfjäder,S, Avslag,SoU,2010-10-01 00:00:00+00,2010,10,2,0,2,0,0,0.00,100.00,2010-10-27,2010-10-27
0980681611418,Hans,Wallmark,M, Avslag,SoU,2008-09-01 00:00:00+00,2008,9,1,0,1,0,0,0.00,100.00,2008-09-19,2008-09-19
0837394708917,Anders,Ådahl,C,Avslag,NU,2023-10-01 00:00:00+00,2023,10,4,0,4,0,0,0.00,100.00,2023-10-05,2023-10-05
0502174718806,Carin,Runeson,S, Avslag,SkU,2012-10-01 00:00:00+00,2012,10,1,0,1,0,0,0.00,100.00,2012-10-05,2012-10-05
0479355987014,Christina,Pettersson,S,Avslag,JuU,2001-10-01 00:00:00+00,2001,10,1,0,0,0,1,0.00,0.00,2001-10-05,2001-10-05
0584659199514,Göran,Hägglund,KD,Avslag,UbU,2014-11-01 00:00:00+00,2014,11,1,0,1,0,0,0.00,100.00,2014-11-10,2014-11-10
0224712677012,Johan,Pehrson,L, Avslag,JuU,2004-12-01 00:00:00+00,2004,12,1,0,1,0,0,0.00,100.00,2004-12-03,2004-12-03
0814945477312,Gunilla,Wahlén,V, Avslag,TU,2008-09-01 00:00:00+00,2008,9,1,0,1,0,0,0.00,100.00,2008-09-26,2008-09-26
0405594274208,Ewa,Pihl Krabbe,S,Avslag,TU,2023-10-01 00:00:00+00,2023,10,3,0,3,0,0,0.00,100.00,2023-10-03,2023-10-05
0190801883908,Britt-Marie,Danestig,V, Avslag,UbU,2003-10-01 00:00:00+00,2003,10,5,0,5,0,0,0.00,100.00,2003-10-07,2003-10-07
0996373560505,Runar,Patriksson,L, Avslag,JuU,2004-10-01 00:00:00+00,2004,10,1,0,1,0,0,0.00,100.00,2004-10-06,2004-10-06
0957631371811,Lars U,Granberg,S,Avslag,AU,2001-10-01 00:00:00+00,2001,10,2,0,0,0,2,0.00,0.00,2001-10-05,2001-10-05
0262525788220,Johanna,Hornberger,M,Avslag,SfU,2023-10-01 00:00:00+00,2023,10,1,0,1,0,0,0.00,100.00,2023-10-05,2023-10-05
0640669898710,Gunvor,G Ericson,MP, Avslag,SfU,2009-09-01 00:00:00+00,2009,9,2,0,2,0,0,0.00,100.00,2009-09-17,2009-09-24
0810201628512,Ann-Charlotte,Hammar Johnsson,M,Avslag,SkU,2017-10-01 00:00:00+00,2017,10,5,0,5,0,0,0.00,100.00,2017-10-02,2017-10-04
0241675049710,Otto,von Arnold,KD, Avslag,JuU,2011-10-01 00:00:00+00,2011,10,4,0,4,0,0,0.00,100.00,2011-10-05,2011-10-05
0287864972117,Sofia,Larsen,C,avslag,KU,2000-10-01 00:00:00+00,2000,10,1,0,0,0,1,0.00,0.00,2000-10-05,2000-10-05
014744660015,Mikael,Damberg,S, Avslag,UU,2003-10-01 00:00:00+00,2003,10,5,0,5,0,0,0.00,100.00,2003-10-07,2003-10-07
0331967573912,Maria,Larsson,KD, Avslag,NU,2003-09-01 00:00:00+00,2003,9,1,0,1,0,0,0.00,100.00,2003-09-19,2003-09-19
0599331666806,Tom,Heyman,M,delvis bifall,TU,2001-03-01 00:00:00+00,2001,3,1,0,0,0,1,0.00,0.00,2001-03-05,2001-03-05
0901257862125,Hans,Linde,V, Avslag,SfU,2012-10-01 00:00:00+00,2012,10,1,0,1,0,0,0.00,100.00,2012-10-02,2012-10-02
0540190357911,Hans,Hoff,S,Avslag,FiU,2015-10-01 00:00:00+00,2015,10,1,0,1,0,0,0.00,100.00,2015-10-01,2015-10-01
019623784404,Viviann,Gerdin,C,avslag,KU,2000-10-01 00:00:00+00,2000,10,1,0,0,0,1,0.00,0.00,2000-10-05,2000-10-05
0272604986201,Claes-Göran,Brandin,S,delvis bifall,TU,2000-10-01 00:00:00+00,2000,10,1,0,0,0,1,0.00,0.00,2000-10-05,2000-10-05
0401968752713,Stina,Bergström,MP, Avslag,UbU,2011-10-01 00:00:00+00,2011,10,2,0,2,0,0,0.00,100.00,2011-10-03,2011-10-04
0980681611418,Hans,Wallmark,M,Avslag,FöU,2017-10-01 00:00:00+00,2017,10,2,0,2,0,0,0.00,100.00,2017-10-05,2017-10-05
09812885803,Jan,Ertsborn,L, Avslag,SkU,2009-10-01 00:00:00+00,2009,10,1,0,1,0,0,0.00,100.00,2009-10-02,2009-10-02
0844246115721,Eliza,Roszkowska Öberg,M, Avslag,SkU,2011-09-01 00:00:00+00,2011,9,2,0,2,0,0,0.00,100.00,2011-09-30,2011-09-30
0236051814311,Mikael,Jansson,SD, Avslag,SfU,2012-10-01 00:00:00+00,2012,10,1,0,1,0,0,0.00,100.00,2012-10-05,2012-10-05
0489462966700,Tanja,Linderborg,V,Avslag,KU,2001-10-01 00:00:00+00,2001,10,9,0,0,0,9,0.00,0.00,2001-10-05,2001-10-05
0415959965211,Mia,Sydow Mölleby,V, Avslag,FiU,2012-05-01 00:00:00+00,2012,5,1,0,1,0,0,0.00,100.00,2012-05-02,2012-05-02
0389220391128,Christian,Carlsson,KD,BifallDelvis,SoU,2021-09-01 00:00:00+00,2021,9,2,2,0,0,0,100.00,0.00,2021-09-29,2021-09-29
0970259744617,Margareta,Cederfelt,M, Avslag,TU,2008-10-01 00:00:00+00,2008,10,2,0,2,0,0,0.00,100.00,2008-10-06,2008-10-08
0262124593702,Kurt,Kvarnström,S, Avslag,SoU,2013-11-01 00:00:00+00,2013,11,1,0,1,0,0,0.00,100.00,2013-11-26,2013-11-26
0946889218011,Jan-Evert,Rådhström,M,avslag,KU,2000-10-01 00:00:00+00,2000,10,1,0,0,0,1,0.00,0.00,2000-10-05,2000-10-05
