embedded_id_public_date,embedded_id_person_id,embedded_id_document_type,total
2016-09-30,072019517020,mot,4
2015-02-04,0218878014918,prop,1
2006-04-04,0977824845202,mot,3
2009-01-21,012053331219,mot,1
2014-03-26,0747852417614,mot,1
2025-04-29,0922497728524,mot,1
2010-10-25,0327857385513,mot,1
2010-10-27,0103812031214,mot,41
2007-11-06,0257612529618,mot,1
2025-09-17,091303475611,mot,2
2008-10-03,0455256796113,mot,1
2015-12-10,0788526088220,mot,1
2007-10-01,0371688419616,mot,4
2016-03-23,0666958447826,mot,1
2001-11-08,0125165702713,mot,3
2007-04-12,0957631371811,mot,1
2012-12-17,0573136138218,mot,2
2016-09-20,0216534495014,mot,3
2021-04-07,0955748436811,mot,1
2014-05-12,0427695165918,mot,1
2007-04-02,037508021018,mot,1
2003-04-11,0758217192418,mot,1
2011-10-05,0383111552218,mot,35
2018-12-06,0582811195313,mot,1
2007-10-08,0705556766027,mot,9
2015-05-06,0344222203323,mot,1
2022-04-19,,bet,2
2007-10-05,0714579775816,mot,8
2006-11-02,0906517990916,mot,2
2025-10-15,0653904370212,mot,1
2013-10-11,0901257862125,mot,5
2011-09-30,0480339311713,mot,1
2011-02-16,0983984918111,mot,1
2012-10-04,0810201628512,mot,4
2006-06-14,0427127522211,mot,1
2000-11-08,0438928446810,mot,1
2011-04-07,0365797008114,mot,1
2016-10-04,0803753212716,mot,16
2001-10-12,0388920259006,mot,1
2001-04-06,0457213878205,mot,1
2004-10-14,0274710563201,mot,1
2025-10-02,0249730539015,mot,8
2000-04-28,0200426688007,mot,1
2025-05-07,0606863154419,mot,1
2001-04-05,0745615729714,mot,1
2015-10-06,069436402021,mot,1
2005-11-10,0522460069116,mot,1
2000-04-05,0377384542907,mot,1
2005-10-07,0274710563201,mot,3
2025-01-22,025158809026,mot,1
