person_reference_id,total_documents,party_motions,individual_motions,follow_up_motions,committee_motions,multi_party_motions,party_motions_pct,individual_motions_pct,committee_motions_pct,first_document_date,last_document_date,years_active,docs_per_year,documents_last_year,propositions,government_communications,document_types,activity_profile,activity_level,collaboration_percentage
0764949934324,260,0,175,0,85,0,0.0,67.3,32.7,2015-09-29,2025-10-07,10,26.0,26,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Very High,0.0
0554852839719,139,0,114,0,25,0,0.0,82.0,18.0,2014-11-10,2026-06-10,11,12.6,15,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
010611244716,16,0,0,0,0,0,0.0,0.0,0.0,2014-10-21,2018-01-30,3,5.3,0,16,7,"{prop:prop,prop:skr}",Mixed,Low,
042839539117,855,365,30,0,426,30,42.7,3.5,49.8,2000-03-13,2010-04-09,10,85.5,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Party-focused,Very High,3.5
0114869877121,226,0,192,0,31,0,0.0,85.0,13.7,2010-10-11,2017-10-04,6,37.7,0,0,0,"{mot:,""mot:Enskild motion"",""mot:Fristående motion"",mot:Kommittémotion}",Individual-focused,Very High,0.0
0440497495914,214,16,68,0,117,4,7.5,31.8,54.7,2000-02-09,2006-05-03,6,35.7,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,1.9
0393171737407,451,1,257,0,153,31,0.2,57.0,33.9,2000-03-13,2011-12-09,11,41.0,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,6.9
0136268785826,85,0,70,0,15,0,0.0,82.4,17.6,2022-10-11,2025-10-03,2,42.5,24,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Medium,0.0
0369212790927,92,0,67,0,25,0,0.0,72.8,27.2,2022-11-16,2026-05-04,3,30.7,32,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Medium,0.0
0926555793514,78,9,7,0,62,0,11.5,9.0,79.5,2002-10-07,2005-10-07,3,26.0,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Party-focused,Medium,0.0
0624040854527,138,28,40,0,70,0,20.3,29.0,50.7,2018-11-28,2026-06-16,7,19.7,28,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,High,0.0
0792733370419,303,2,106,0,191,3,0.7,35.0,63.0,2014-11-07,2025-10-07,10,30.3,11,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,1.0
0925451929216,307,2,226,0,76,3,0.7,73.6,24.8,2010-10-21,2018-05-30,7,43.9,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,1.0
0227924728814,170,58,63,0,36,13,34.1,37.1,21.2,2002-10-23,2006-05-04,3,56.7,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,High,7.6
0615338062910,527,67,30,0,415,12,12.7,5.7,78.7,2000-03-13,2014-08-29,14,37.6,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Party-focused,Very High,2.3
0652944607906,440,48,215,0,131,34,10.9,48.9,29.8,2000-02-09,2014-01-16,13,33.8,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,7.7
0875221317013,465,5,403,0,52,4,1.1,86.7,11.2,2002-10-23,2026-06-15,23,20.2,36,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Individual-focused,Very High,0.9
0599390849728,143,5,70,0,67,0,3.5,49.0,46.9,2014-10-30,2018-05-02,3,47.7,0,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Individual-focused,High,0.0
0926214745119,181,8,158,0,15,0,4.4,87.3,8.3,2018-11-22,2026-04-29,7,25.9,40,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Individual-focused,High,0.0
0737073162411,496,97,111,0,281,5,19.6,22.4,56.7,2009-10-02,2020-09-29,10,49.6,0,0,0,"{mot:,""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Very High,1.0
022805994927,129,0,98,0,31,0,0.0,76.0,24.0,2018-11-26,2022-06-17,3,43.0,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
0741225202024,46,0,33,0,12,1,0.0,71.7,26.1,2010-01-20,2014-04-11,4,11.5,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Low,2.2
0737824098113,73,0,73,0,0,0,0.0,100.0,0.0,2022-11-21,2025-10-07,2,36.5,35,0,0,"{""mot:Enskild motion""}",Individual-focused,Medium,0.0
