person_id,first_name,last_name,total_days,total_weighted_exp,govt_days,riksdag_days,party_days,committee_days,total_substitute_days,total_leadership_days,knowledge_areas_json,roles_json,experience_level,experience_breadth,leadership_profile,role_stability,career_phase,specialization_level,political_analysis_comment
0249314098519,Boel,Lindén,241,2410000000.0,0,241,0,0,0,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 241, ""weightedExp"" : 2410000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 241, ""weightedExp"" : 2410000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}]",MIXED_EXPERIENCE,VERY_LOW,NO_LEADERSHIP,REGULAR_ROLES,SENIOR_STATESPERSON,MODERATELY_SPECIALIZED,Diverse political experience || Specialized in specific political domain || Primarily collaborative roles || Consistent role appointments || Senior political figure with extensive influence || Balanced mix of specialized knowledge and broader experience
0426843954410,Ulrik,Bergman,146,116800000.0,0,73,0,73,146,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 73, ""weightedExp"" : 109500000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 73, ""weightedExp"" : 7300000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Ersättare"", ""org"" : ""kam"", ""days"" : 73, ""weightedExp"" : 109500000.0, ""substituteDays"" : 73, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""CU"", ""days"" : 73, ""weightedExp"" : 7300000.0, ""substituteDays"" : 73, ""leadershipDays"" : 0}]",MIXED_EXPERIENCE,LOW,NO_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,MODERATELY_SPECIALIZED,"Diverse political experience || Specialized in specific political domain || Primarily collaborative roles || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Balanced mix of specialized knowledge and broader experience"
0663840649717,Anette,Rangdag,1164,470600000.0,0,253,0,911,1164,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 253, ""weightedExp"" : 379500000.0}, {""area"" : ""Business/Industry (Committee)"", ""days"" : 248, ""weightedExp"" : 24800000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 211, ""weightedExp"" : 21100000.0}, {""area"" : ""Arbetsmarknad (Committee)"", ""days"" : 211, ""weightedExp"" : 21100000.0}, {""area"" : ""Environment & Agriculture (Committee)"", ""days"" : 211, ""weightedExp"" : 21100000.0}, {""area"" : ""Taxes (Committee)"", ""days"" : 30, ""weightedExp"" : 3000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Ersättare"", ""org"" : ""kam"", ""days"" : 253, ""weightedExp"" : 379500000.0, ""substituteDays"" : 253, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""NU"", ""days"" : 248, ""weightedExp"" : 24800000.0, ""substituteDays"" : 248, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""FiU"", ""days"" : 211, ""weightedExp"" : 21100000.0, ""substituteDays"" : 211, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""AU"", ""days"" : 211, ""weightedExp"" : 21100000.0, ""substituteDays"" : 211, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""MJU"", ""days"" : 211, ""weightedExp"" : 21100000.0, ""substituteDays"" : 211, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Extra suppleant"", ""org"" : ""SkU"", ""days"" : 30, ""weightedExp"" : 3000000.0, ""substituteDays"" : 30, ""leadershipDays"" : 0}]",MIXED_EXPERIENCE,LOW,NO_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,BROADLY_EXPERIENCED,"Diverse political experience || Specialized in specific political domain || Primarily collaborative roles || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Broad political portfolio"
0254695027922,Malcolm Momodou,Jallow,20637,66459600000.0,0,3308,0,17329,12584,1448,"[{""area"" : ""Speaker’s Office"", ""days"" : 3308, ""weightedExp"" : 33080000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 1460, ""weightedExp"" : 8760000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 1455, ""weightedExp"" : 8730000000.0}, {""area"" : ""Taxes (Committee)"", ""days"" : 382, ""weightedExp"" : 2292000000.0}, {""area"" : ""Culture (Committee)"", ""days"" : 1823, ""weightedExp"" : 1823000000.0}, {""area"" : ""Substitute Roles"", ""days"" : 1026, ""weightedExp"" : 1026000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 1448, ""weightedExp"" : 1013600000.0}, {""area"" : ""EU Affairs (Committee)"", ""days"" : 930, ""weightedExp"" : 930000000.0}, {""area"" : ""Taxes (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Social (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Education (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Arbetsmarknad (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Environment & Agriculture (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Business/Industry (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Social Insurance (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 169, ""weightedExp"" : 169000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 169, ""weightedExp"" : 169000000.0}, {""area"" : ""Defense (Committee)"", ""days"" : 169, ""weightedExp"" : 169000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 3308, ""weightedExp"" : 33080000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""ER"", ""days"" : 1460, ""weightedExp"" : 8760000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""CU"", ""days"" : 1455, ""weightedExp"" : 8730000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""SkU"", ""days"" : 382, ""weightedExp"" : 2292000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KrU"", ""days"" : 1823, ""weightedExp"" : 1823000000.0, ""substituteDays"" : 1823, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""TU"", ""days"" : 1026, ""weightedExp"" : 1026000000.0, ""substituteDays"" : 1026, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ordförande"", ""org"" : ""CU"", ""days"" : 1448, ""weightedExp"" : 1013600000.0, ""substituteDays"" : 0, ""leadershipDays"" : 1448}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""EUN"", ""days"" : 930, ""weightedExp"" : 930000000.0, ""substituteDays"" : 930, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SkU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SoU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""UbU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""AU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FiU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""JuU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""MJU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""NU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SfU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""UU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FöU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}]",ACTIVE_COMMITTEES,LOW,SIGNIFICANT_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,BROADLY_EXPERIENCED,"Significant committee work experience || Specialized in specific political domain || Extensive leadership experience with over 1000 days in key positions || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Broad political portfolio"
02910042914,Carina,Ödebrink,22327,77831000000.0,0,2926,0,19401,13567,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 2926, ""weightedExp"" : 29260000000.0}, {""area"" : ""International Affairs"", ""days"" : 2924, ""weightedExp"" : 17544000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 1455, ""weightedExp"" : 8730000000.0}, {""area"" : ""Legislative Committees"", ""days"" : 1455, ""weightedExp"" : 8730000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 1455, ""weightedExp"" : 1455000000.0}, {""area"" : ""Substitute Roles"", ""days"" : 1455, ""weightedExp"" : 1455000000.0}, {""area"" : ""EU Affairs (Committee)"", ""days"" : 930, ""weightedExp"" : 930000000.0}, {""area"" : ""Social Insurance (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Taxes (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Social (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Education (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Arbetsmarknad (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Culture (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Environment & Agriculture (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Business/Industry (Committee)"", ""days"" : 922, ""weightedExp"" : 922000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 169, ""weightedExp"" : 169000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 169, ""weightedExp"" : 169000000.0}, {""area"" : ""Defense (Committee)"", ""days"" : 169, ""weightedExp"" : 169000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 2926, ""weightedExp"" : 29260000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""OSSE"", ""days"" : 2924, ""weightedExp"" : 17544000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""JuU"", ""days"" : 1455, ""weightedExp"" : 8730000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""TU"", ""days"" : 1455, ""weightedExp"" : 8730000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""JuU"", ""days"" : 1455, ""weightedExp"" : 1455000000.0, ""substituteDays"" : 1455, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""TU"", ""days"" : 1455, ""weightedExp"" : 1455000000.0, ""substituteDays"" : 1455, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""EUN"", ""days"" : 930, ""weightedExp"" : 930000000.0, ""substituteDays"" : 930, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SfU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SkU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SoU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""UbU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""AU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""CU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FiU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KrU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""MJU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""NU"", ""days"" : 922, ""weightedExp"" : 922000000.0, ""substituteDays"" : 922, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""UU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FöU"", ""days"" : 169, ""weightedExp"" : 169000000.0, ""substituteDays"" : 169, ""leadershipDays"" : 0}]",ACTIVE_COMMITTEES,LOW,NO_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,BROADLY_EXPERIENCED,"Significant committee work experience || Specialized in specific political domain || Primarily collaborative roles || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Broad political portfolio"
044562190409,Bertil,Borglund,136,153000000.0,0,34,0,102,136,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 34, ""weightedExp"" : 51000000.0}, {""area"" : ""Arbetsmarknad (Committee)"", ""days"" : 34, ""weightedExp"" : 34000000.0}, {""area"" : ""Housing (Committee)"", ""days"" : 34, ""weightedExp"" : 34000000.0}, {""area"" : ""Culture (Committee)"", ""days"" : 34, ""weightedExp"" : 34000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Ersättare"", ""org"" : ""kam"", ""days"" : 34, ""weightedExp"" : 51000000.0, ""substituteDays"" : 34, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""AU"", ""days"" : 34, ""weightedExp"" : 34000000.0, ""substituteDays"" : 34, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""BoU"", ""days"" : 34, ""weightedExp"" : 34000000.0, ""substituteDays"" : 34, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KrU"", ""days"" : 34, ""weightedExp"" : 34000000.0, ""substituteDays"" : 34, ""leadershipDays"" : 0}]",MIXED_EXPERIENCE,LOW,NO_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,MODERATELY_SPECIALIZED,"Diverse political experience || Specialized in specific political domain || Primarily collaborative roles || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Balanced mix of specialized knowledge and broader experience"
0946889218011,Jan-Evert,Rådhström,23612,163324500000.0,0,5838,0,17774,7633,2903,"[{""area"" : ""Speaker’s Office"", ""days"" : 5838, ""weightedExp"" : 58380000000.0}, {""area"" : ""Legislative Committees"", ""days"" : 2903, ""weightedExp"" : 52254000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 2895, ""weightedExp"" : 17370000000.0}, {""area"" : ""Legislative Committees"", ""days"" : 1455, ""weightedExp"" : 8730000000.0}, {""area"" : ""Regional and National Cooperation"", ""days"" : 1447, ""weightedExp"" : 8682000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 1441, ""weightedExp"" : 8646000000.0}, {""area"" : ""Regional and National Cooperation"", ""days"" : 3259, ""weightedExp"" : 4888500000.0}, {""area"" : ""Environment & Agriculture (Committee)"", ""days"" : 1455, ""weightedExp"" : 1455000000.0}, {""area"" : ""Business/Industry (Committee)"", ""days"" : 1448, ""weightedExp"" : 1448000000.0}, {""area"" : ""Substitute Roles"", ""days"" : 1448, ""weightedExp"" : 1448000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 23, ""weightedExp"" : 23000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 5838, ""weightedExp"" : 58380000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Vice ordförande"", ""org"" : ""TU"", ""days"" : 2903, ""weightedExp"" : 52254000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 2903}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""VB"", ""days"" : 2895, ""weightedExp"" : 17370000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""TU"", ""days"" : 1455, ""weightedExp"" : 8730000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""LR"", ""days"" : 1447, ""weightedExp"" : 8682000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""KD"", ""days"" : 1441, ""weightedExp"" : 8646000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ersättare"", ""org"" : ""RS"", ""days"" : 3259, ""weightedExp"" : 4888500000.0, ""substituteDays"" : 3259, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""MJU"", ""days"" : 1455, ""weightedExp"" : 1455000000.0, ""substituteDays"" : 1455, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""NU"", ""days"" : 1448, ""weightedExp"" : 1448000000.0, ""substituteDays"" : 1448, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""TU"", ""days"" : 1448, ""weightedExp"" : 1448000000.0, ""substituteDays"" : 1448, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Suppleant"", ""org"" : ""VB"", ""days"" : 23, ""weightedExp"" : 23000000.0, ""substituteDays"" : 23, ""leadershipDays"" : 0}]",LONG_SERVING_PARLIAMENT,LOW,SIGNIFICANT_LEADERSHIP,FREQUENT_SUBSTITUTE,SENIOR_STATESPERSON,BROADLY_EXPERIENCED,Long-standing parliamentary experience || Specialized in specific political domain || Extensive leadership experience with over 1000 days in key positions || Regular substitute experience complementing primary roles || Senior political figure with extensive influence || Broad political portfolio
0245468368228,Yusuf,Aydin,12360,12261000000.0,0,1420,0,10940,12360,0,"[{""area"" : ""Regional and National Cooperation"", ""days"" : 1108, ""weightedExp"" : 2216000000.0}, {""area"" : ""Defense (Committee)"", ""days"" : 1419, ""weightedExp"" : 1419000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 1419, ""weightedExp"" : 1419000000.0}, {""area"" : ""Taxes (Committee)"", ""days"" : 1419, ""weightedExp"" : 1419000000.0}, {""area"" : ""Social (Committee)"", ""days"" : 1419, ""weightedExp"" : 1419000000.0}, {""area"" : ""EU Affairs (Committee)"", ""days"" : 1412, ""weightedExp"" : 1412000000.0}, {""area"" : ""Social Insurance (Committee)"", ""days"" : 1404, ""weightedExp"" : 1404000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 1340, ""weightedExp"" : 1340000000.0}, {""area"" : ""Speaker’s Office"", ""days"" : 1420, ""weightedExp"" : 213000000.0}]","[{""type"" : ""Riksdagsorgan"", ""role"" : ""Suppleant"", ""org"" : ""NR"", ""days"" : 1108, ""weightedExp"" : 2216000000.0, ""substituteDays"" : 1108, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FöU"", ""days"" : 1419, ""weightedExp"" : 1419000000.0, ""substituteDays"" : 1419, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""FiU"", ""days"" : 1419, ""weightedExp"" : 1419000000.0, ""substituteDays"" : 1419, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SkU"", ""days"" : 1419, ""weightedExp"" : 1419000000.0, ""substituteDays"" : 1419, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SoU"", ""days"" : 1419, ""weightedExp"" : 1419000000.0, ""substituteDays"" : 1419, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""EUN"", ""days"" : 1412, ""weightedExp"" : 1412000000.0, ""substituteDays"" : 1412, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""SfU"", ""days"" : 1404, ""weightedExp"" : 1404000000.0, ""substituteDays"" : 1404, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""UU"", ""days"" : 1340, ""weightedExp"" : 1340000000.0, ""substituteDays"" : 1340, ""leadershipDays"" : 0}, {""type"" : ""kammaruppdrag"", ""role"" : ""Statsrådsersättare"", ""org"" : ""kam"", ""days"" : 1420, ""weightedExp"" : 213000000.0, ""substituteDays"" : 1420, ""leadershipDays"" : 0}]",ACTIVE_COMMITTEES,LOW,NO_LEADERSHIP,PRIMARILY_SUBSTITUTE,SENIOR_STATESPERSON,BROADLY_EXPERIENCED,"Significant committee work experience || Specialized in specific political domain || Primarily collaborative roles || Frequently serves in substitute positions, showing adaptability || Senior political figure with extensive influence || Broad political portfolio"
033722755191,Ingemund,Bengtsson,7672,43852900000.0,0,4382,0,0,0,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 4382, ""weightedExp"" : 43820000000.0}, {""area"" : ""Speaker’s Office"", ""days"" : 3290, ""weightedExp"" : 32900000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 4382, ""weightedExp"" : 43820000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""talmansuppdrag"", ""role"" : ""Talman"", ""org"" : ""kam"", ""days"" : 3290, ""weightedExp"" : 32900000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}]",MIXED_EXPERIENCE,VERY_LOW,NO_LEADERSHIP,REGULAR_ROLES,SENIOR_STATESPERSON,HIGHLY_SPECIALIZED,Diverse political experience || Specialized in specific political domain || Primarily collaborative roles || Consistent role appointments || Senior political figure with extensive influence || Deep expertise in specific policy areas
082878762718,Anders,Flanking,4000,28025000000.0,0,1455,0,2545,359,0,"[{""area"" : ""Speaker’s Office"", ""days"" : 1455, ""weightedExp"" : 14550000000.0}, {""area"" : ""Legislative and Oversight Committees"", ""days"" : 1820, ""weightedExp"" : 10920000000.0}, {""area"" : ""Culture (Committee)"", ""days"" : 366, ""weightedExp"" : 2196000000.0}, {""area"" : ""Key Parliamentary Committees"", ""days"" : 359, ""weightedExp"" : 359000000.0}]","[{""type"" : ""kammaruppdrag"", ""role"" : ""Riksdagsledamot"", ""org"" : ""kam"", ""days"" : 1455, ""weightedExp"" : 14550000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""Riksdagsorgan"", ""role"" : ""Ledamot"", ""org"" : ""RB"", ""days"" : 1820, ""weightedExp"" : 10920000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Ledamot"", ""org"" : ""KrU"", ""days"" : 366, ""weightedExp"" : 2196000000.0, ""substituteDays"" : 0, ""leadershipDays"" : 0}, {""type"" : ""uppdrag"", ""role"" : ""Suppleant"", ""org"" : ""KU"", ""days"" : 359, ""weightedExp"" : 359000000.0, ""substituteDays"" : 359, ""leadershipDays"" : 0}]",ACTIVE_COMMITTEES,LOW,NO_LEADERSHIP,REGULAR_ROLES,SENIOR_STATESPERSON,MODERATELY_SPECIALIZED,Significant committee work experience || Specialized in specific political domain || Primarily collaborative roles || Consistent role appointments || Senior political figure with extensive influence || Balanced mix of specialized knowledge and broader experience
