person_id,first_name,last_name,party,network_connections,network_median,influence_classification,broker_classification,influence_assessment
0502688311316,Anna,Vikström,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0938171000810,Annette,Rydell,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0475778011711,Hans,Ekström,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0348383585915,Marielle,Lahti,MP,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0640627133410,Elisabeth,Falkhaven,MP,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0599661454115,Lena,Bäckelin,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0440673458216,Ulrika,Liljeberg,C,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0476362590123,Louise,Mörk,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
012547905113,Christina,Nilsson,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0671241874717,Elisabeth,Björnsdotter Rahm,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
039102787629,Oliver,Rosengren,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0456522027421,Linnéa,Wickman,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0587736055221,Niels,Paarup-Petersen,C,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
028954589415,Ann-Sofie,Alm,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0240670797111,Björn,Tidland,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0802091197024,Andrea,Andersson Tay,V,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0333193598116,Bo,Broman,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
099099202224,Paulina,Brandberg,L,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0749416304126,Marie,Nicholson,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0211757295524,Josef,Fransson,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
011548866929,Elin,Nilsson,L,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0847676507229,Stina,Larsson,C,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0831039938224,Adam,Marttinen,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0210444373111,Katarina,Luhr,MP,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0285527517421,Caroline,Nordengrip,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0503029811325,David,Josefsson,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0492644357418,Per,Söderlund,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0112333043027,Rasmus,Giertz,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0603366539729,Malin,Danielsson,L,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0939158389321,Samuel,Gonzalez Westling,V,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0323000187920,Solange,Olame Bayibsa,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0184968091618,Jan,Riise,MP,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0877778793323,Johan,Büser,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0526748040023,Ludvig,Aspling,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0229350341619,Ilona,Szatmári Waldau,V,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
010392780417,Marie,Olsson,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0327372175911,Fredrik,Ahlstedt,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0410231576416,Lars,Johnsson,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0722683622001,Lars,Jilmstad,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
037781229619,Staffan,Eklöf,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0163772273014,Anna,Vedin,M,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0121015874810,Torsten,Elofsson,KD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
010643534813,Eric,Westroth,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0545733815610,Patrick,Reslow,SD,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0904448094023,Linus,Lakso,MP,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0395154929710,Anders,Frimert,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
0853395328224,Lena,Hallengren,S,0,,MINIMAL_INFLUENCE,NON_BROKER,Minimal network influence detected
