person_id,first_name,last_name,party,status,born_year,career_start_date,career_end_date,first_activity_year,last_activity_year,total_career_days,total_career_years,age_at_career_start,age_at_career_end,election_cycles_active,total_votes_cast,total_assignments,is_currently_active,avg_votes_per_year,avg_assignments_per_year,career_continuity_score,longevity_category,activity_level,continuity_pattern,career_life_stage,retention_risk
0328926898814,Marita,Ulvskog,S,Tidigare riksdagsledamot,1951,1998-10-05,2019-07-02,1998,2019,7575,20.7,47,68,2,1871,7,f,90.2,0.34,33.3,VETERAN_20_PLUS,LOW_ACTIVITY,SPORADIC,RETIRED_SENIOR,NOT_ACTIVE
0699354970600,Rose-Marie,Frebran,KD,Tidigare riksdagsledamot,1948,1991-09-30,2008-08-31,1991,2008,6180,16.9,43,60,0,0,18,f,0.0,1.06,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0894934958205,Erik,Åsbrink,S,Tidigare riksdagsledamot,1947,1996-03-22,1999-09-14,1996,1999,1271,3.5,49,52,0,0,3,f,0.0,0.86,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0658094895604,Maggi,Mikaelsson,V,Tidigare riksdagsledamot,1946,1988-10-03,2002-02-01,1988,2002,4869,13.3,42,56,0,0,18,f,0.0,1.35,0.0,ESTABLISHED_10_15,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0213606215200,Bertil,Fiskesjö,C,Avliden  2019-11-30,1928,1976-10-04,1995-12-20,1976,1995,7016,19.2,48,67,0,0,8,f,0.0,0.42,0.0,LONG_SERVICE_15_20,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
0616131020021,Fredrik,Brange,L,Partisekreterare,1990,2025-06-25,2026-02-08,2025,2026,228,0.6,35,36,0,0,1,f,0.0,1.60,0.0,NEWCOMER_UNDER_2,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
019623784404,Viviann,Gerdin,C,Tidigare riksdagsledamot,1944,1998-10-05,2006-10-02,1998,2006,2919,8.0,54,62,2,1859,6,f,232.6,0.75,66.7,MID_CAREER_5_10,ACTIVE,INTERMITTENT,RETIRED_MATURE,NOT_ACTIVE
0530361204603,Rolf,Åbjörnsson,KD,Tidigare riksdagsledamot,1941,1994-10-03,2017-02-12,1994,2017,8168,22.4,53,76,1,85,13,f,3.8,0.58,16.7,VETERAN_20_PLUS,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
0975579292417,Monica,Green,S,Tidigare riksdagsledamot,1959,1994-10-03,2018-09-24,1994,2018,8757,24.0,35,59,5,6664,28,f,278.0,1.17,71.4,VETERAN_20_PLUS,ACTIVE,MOSTLY_CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0544569681404,Rolf,Dahlberg,M,Tidigare riksdagsledamot,1934,1976-10-04,1998-10-20,1976,1998,8051,22.0,42,64,0,0,23,f,0.0,1.04,0.0,VETERAN_20_PLUS,MINIMAL,IRREGULAR,RETIRED_MATURE,NOT_ACTIVE
0424138087713,Agneta,Berliner,FP,Tidigare riksdagsledamot,1958,2006-10-02,2010-10-04,2006,2010,1463,4.0,48,52,2,1284,6,f,320.6,1.50,100.0,JUNIOR_2_5,VERY_ACTIVE,CONTINUOUS,RETIRED_MATURE,NOT_ACTIVE
0205071690103,Erling,Wälivaara,KD,Avliden  2022-11-17,1941,1998-10-05,2006-10-02,1998,2006,2919,8.0,57,65,2,1660,13,f,207.7,1.63,66.7,MID_CAREER_5_10,ACTIVE,INTERMITTENT,RETIRED_SENIOR,NOT_ACTIVE
0431699774518,Murad,Artin,V,Tidigare riksdagsledamot,1960,1998-10-05,2002-12-18,1998,2002,1535,4.2,38,42,0,0,8,f,0.0,1.90,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,EXITED_EARLY,NOT_ACTIVE
0514503951114,Rocio,Fernández,FP,Tidigare ersättare,1968,2005-03-22,2005-06-10,2005,2005,80,0.2,37,37,1,61,2,f,278.5,9.13,100.0,NEWCOMER_UNDER_2,ACTIVE,CONTINUOUS,EXITED_EARLY,NOT_ACTIVE
0237055280513,Roland,Utbult,KD,Tjänstgörande riksdagsledamot,1951,2010-10-04,2026-09-28,2010,2026,5838,16.0,59,75,5,6697,44,t,419.0,2.75,100.0,LONG_SERVICE_15_20,VERY_ACTIVE,CONTINUOUS,SENIOR_ACTIVE,HIGH_RETIREMENT_RISK
0177634579699,Karl-Anders,Petersson,C,Tidigare riksdagsledamot,1923,1984-10-02,1988-10-03,1984,1988,1462,4.0,61,65,0,0,2,f,0.0,0.50,0.0,JUNIOR_2_5,MINIMAL,IRREGULAR,RETIRED_SENIOR,NOT_ACTIVE
