person_id,first_name,last_name,party,role_code,status,assignment_type,org_code,role_tier,role_weight,role_start,role_end,role_start_year,role_end_year,role_instances,total_days_in_role,is_current_role,role_sequence,peak_role_weight,career_first_year,career_last_year,years_in_role,progression_pattern,career_level,advancement_velocity,time_bucket,rn
0117203219614,Jörgen,Warborn,M,Ledamot,"",Europaparlamentet,EP,OTHER,350,2019-07-02,2029-07-16,2019,2029,2,3667,f,9,400,2014,2029,11,LATERAL,JUNIOR,0.00,2029-07-01 00:00:00+02,1
0875221317013,Gunilla,Carlsson,S,Personlig suppleant,"",Riksdagsorgan,RJ,OTHER,50,2018-11-01,2028-10-31,2018,2028,2,2920,f,17,650,2002,2028,11,DESCENDING,ENTRY_LEVEL,,2028-10-01 00:00:00+02,1
0134101155612,Rikard,Larsson,S,Ledamot,"",Riksdagsorgan,RAN,OTHER,350,2024-04-10,2027-12-31,2024,2027,2,1359,f,21,550,2014,2027,4,CAREER_PEAK,JUNIOR,62.50,2027-12-01 00:00:00+01,1
0694917698222,Michael,Rubbestad,SD,Ledamot,"",Riksdagsorgan,VPN,OTHER,350,2023-03-23,2027-03-23,2023,2027,1,1461,f,21,400,2018,2027,5,CAREER_PEAK,JUNIOR,250.00,2027-03-01 00:00:00+01,1
0235974887200,Susanne,Eberstein,S,Ledamot,"",Riksdagsorgan,DN,OTHER,350,2011-01-01,2026-12-31,2011,2026,4,5841,f,23,750,1994,2026,16,DESCENDING,JUNIOR,-400.00,2026-12-01 00:00:00+01,1
0611350076611,Susanne,Nordström,M,Suppleant,"",Riksdagsorgan,ÖN,SUBSTITUTE,100,2024-10-18,2026-10-13,2024,2026,1,725,f,5,350,2022,2026,3,LATERAL,ENTRY_LEVEL,0.00,2026-10-01 00:00:00+02,1
0136268785826,Nima,Gholam Ali Pour,SD,Riksdagsledamot,Tjänstgörande,kammaruppdrag,kam,MP,400,2022-09-26,2026-09-21,2022,2026,1,1456,f,1,400,2022,2026,5,PEAK_ROLE,MID_LEVEL,,2026-09-01 00:00:00+02,1
0202626512110,Lars-Ingvar,Ljungman,M,Ersättare,Ersättare,kammaruppdrag,kam,SUBSTITUTE,100,2025-08-08,2026-06-05,2025,2026,1,301,f,1,100,2025,2026,2,PEAK_ROLE,ENTRY_LEVEL,,2026-06-01 00:00:00+02,1
0584183916016,Ulf,Holm,MP,Extra suppleant,"",uppdrag,FöU,SUBSTITUTE,50,2023-01-12,2026-05-10,2023,2026,3,290,f,18,750,2002,2026,4,DESCENDING,ENTRY_LEVEL,,2026-05-01 00:00:00+02,1
0888807074321,Amanda,Lind,MP,Språkrör,"",partiuppdrag,MP,OTHER,50,2024-04-28,2026-02-08,2024,2026,1,651,t,8,850,2016,2026,3,DESCENDING,ENTRY_LEVEL,-25.00,2026-02-01 00:00:00+01,1
0831636664429,Mattias,Karlsson,SD,Ordförande,"",uppdrag,UU,COMMITTEE_CHAIR,600,2025-09-11,2026-01-31,2025,2026,1,142,f,31,650,2010,2026,2,CAREER_PEAK,SENIOR_LEADERSHIP,,2026-01-01 00:00:00+01,1
0717363246311,Jessica,Stegrud,SD,Suppleant,"",uppdrag,MJU,SUBSTITUTE,100,2023-09-29,2025-12-12,2023,2025,1,805,f,7,400,2019,2026,3,LATERAL,ENTRY_LEVEL,0.00,2025-12-01 00:00:00+01,1
0211757295524,Josef,Fransson,SD,Riksdagsledamot,Ledig,kammaruppdrag,kam,MP,400,2022-11-12,2025-11-20,2022,2025,6,253,f,23,400,2010,2026,4,PEAK_ROLE,MID_LEVEL,150.00,2025-11-01 00:00:00+01,1
041911485722,Magdalena,Thuresson,M,Ledamot,"",uppdrag,UU,OTHER,350,2022-10-04,2025-10-24,2022,2025,2,1116,f,23,400,2018,2026,4,DESCENDING,JUNIOR,-50.00,2025-10-01 00:00:00+02,1
0939158389321,Samuel,Gonzalez Westling,V,Suppleant,"",uppdrag,KU,SUBSTITUTE,100,2023-10-05,2025-09-17,2023,2025,1,713,f,7,650,2022,2026,3,LATERAL,ENTRY_LEVEL,,2025-09-01 00:00:00+02,1
0602744999917,Elisabeth,Thand Ringqvist,C,Ersättare,"",Riksdagsorgan,RS,SUBSTITUTE,100,2024-01-01,2025-08-31,2024,2025,2,441,f,9,700,2022,2026,2,DESCENDING,ENTRY_LEVEL,,2025-08-01 00:00:00+02,1
