year,quarter,is_election_year,election_cycle,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,base_activity_classification,prev_quarter_ballots,next_quarter_ballots,prev_quarter_attendance,prev_quarter_documents,cross_year_quarter_avg_ballots,cross_year_quarter_stddev_ballots,cross_year_quarter_avg_docs,activity_quartile_cycle,qoq_ballot_change_pct,deviation_from_typical_quarter,cross_year_z_score,quarter_label,parliamentary_period,seasonal_pattern_classification
2007,1,f,2006-2010,132,370,100.00000000000000000000,237,141.4444444444444444,34.7414352072771730,-0.27184957639476414039,251.1111111111111111,122.181104194643,-0.11549339977015700634,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,100,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,-19.1666666666666667,-0.50,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2023,1,f,2022-2026,104,354,100.00000000000000000000,245,141.4444444444444444,34.7414352072771730,-1.0778036146474767,251.1111111111111111,122.181104194643,-0.05001682667211523892,100.00000000000000000000,0,0,REDUCED_ACTIVITY,,246,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-47.1666666666666667,-1.22,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2017,2,f,2014-2018,263,357,100.00000000000000000000,178,199.8333333333333333,67.9283792378587003,0.92990098358569144329,224.5000000000000000,111.066090552374,-0.41866963866953250096,100.00000000000000000000,0,0,NORMAL_ACTIVITY,142,4,100.00000000000000000000,319,208.1304347826086957,79.5904212872411507,252.5652173913043478,4,85.21,54.8695652173913043,0.69,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2005,4,f,2002-2006,154,359,100.00000000000000000000,2854,93.2222222222222222,36.7992256241343713,1.6516048027357764,2963.6666666666666667,436.411031294231,-0.25129215075392703786,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,7,,100.00000000000000000000,1723,84.6250000000000000,36.8937805282498349,2966.7916666666666667,3,2100.00,69.3750000000000000,1.88,Q4_AUTUMN,Autumn Session (Oct-Dec),Q4_ELEVATED_ACTIVITY
2012,4,f,2010-2014,116,354,100.00000000000000000000,2478,93.2222222222222222,36.7992256241343713,0.61897437762492535564,2963.6666666666666667,436.411031294231,-1.1128652390531055,100.00000000000000000000,0,0,NORMAL_ACTIVITY,1,,100.00000000000000000000,534,84.6250000000000000,36.8937805282498349,2966.7916666666666667,2,11500.00,31.3750000000000000,0.85,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2007,4,f,2006-2010,88,357,100.00000000000000000000,3196,93.2222222222222222,36.7992256241343713,-0.14191119877254386128,2963.6666666666666667,436.411031294231,0.53237273275224056325,100.00000000000000000000,0,0,NORMAL_ACTIVITY,100,,100.00000000000000000000,210,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-12.00,3.3750000000000000,0.09,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2020,2,f,2018-2022,225,354,100.00000000000000000000,207,199.8333333333333333,67.9283792378587003,0.37048825467398260699,224.5000000000000000,111.066090552374,-0.15756384251003911326,100.00000000000000000000,0,0,NORMAL_ACTIVITY,128,5,100.00000000000000000000,263,208.1304347826086957,79.5904212872411507,252.5652173913043478,3,75.78,16.8695652173913043,0.21,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2023,2,f,2022-2026,246,358,100.00000000000000000000,104,199.8333333333333333,67.9283792378587003,0.67963739433571643757,224.5000000000000000,111.066090552374,-1.0849396012834122,100.00000000000000000000,0,0,NORMAL_ACTIVITY,104,3,100.00000000000000000000,245,208.1304347826086957,79.5904212872411507,252.5652173913043478,3,136.54,37.8695652173913043,0.48,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2006,4,t,2006-2010,63,350,100.00000000000000000000,2509,93.2222222222222222,36.7992256241343713,-0.82127332055599851924,2963.6666666666666667,436.411031294231,-1.0418312876241838,100.00000000000000000000,0,0,NORMAL_ACTIVITY,167,,100.00000000000000000000,430,84.6250000000000000,36.8937805282498349,2966.7916666666666667,1,-62.28,-21.6250000000000000,-0.59,Q4_AUTUMN,Autumn Session (Oct-Dec),NORMAL_SEASONAL_PATTERN
2005,1,f,2002-2006,155,361,100.00000000000000000000,166,141.4444444444444444,34.7414352072771730,0.39018409788424971050,251.1111111111111111,122.181104194643,-0.69659798601527769227,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,119,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,4,,3.8333333333333333,0.10,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2019,1,f,2018-2022,129,354,100.00000000000000000000,264,141.4444444444444444,34.7414352072771730,-0.35820179477898333833,251.1111111111111111,122.181104194643,0.10549003443573395873,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,277,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-22.1666666666666667,-0.57,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2009,2,f,2006-2010,98,354,100.00000000000000000000,256,199.8333333333333333,67.9283792378587003,-1.4991279708993601,224.5000000000000000,111.066090552374,0.28361491651807040388,100.00000000000000000000,0,0,REDUCED_ACTIVITY,114,8,100.00000000000000000000,253,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,-14.04,-110.1304347826086957,-1.38,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2013,3,f,2010-2014,7,349,100.00000000000000000000,150,5.4000000000000000,4.2054386555642784,0.38045971682003165487,848.6666666666666667,536.116813852390,-1.3031985728002775,100.00000000000000000000,0,0,NORMAL_ACTIVITY,189,119,100.00000000000000000000,323,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-96.30,1.6000000000000000,0.39,Q3_SUMMER,Summer Recess/Election (Jul-Sep),NORMAL_SEASONAL_PATTERN
2004,3,f,2002-2006,17,349,100.00000000000000000000,1485,5.4000000000000000,4.2054386555642784,2.7583329469452295,848.6666666666666667,536.116813852390,1.1869303795208634,100.00000000000000000000,0,0,ANOMALY_DETECTED,129,146,100.00000000000000000000,231,5.4000000000000000,4.0628397293846907,848.6666666666666667,1,-86.82,11.6000000000000000,2.86,Q3_SUMMER,Summer Recess/Election (Jul-Sep),UNUSUALLY_HIGH_ACTIVITY
2021,1,f,2018-2022,153,357,100.00000000000000000000,331,141.4444444444444444,34.7414352072771730,0.33261595229477024520,251.1111111111111111,122.181104194643,0.65385633413183376094,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,346,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,3,,1.8333333333333333,0.05,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2005,2,f,2002-2006,119,353,100.00000000000000000000,212,199.8333333333333333,67.9283792378587003,-1.1899788312376263,224.5000000000000000,111.066090552374,-0.11254560179288508090,100.00000000000000000000,0,0,REDUCED_ACTIVITY,155,7,100.00000000000000000000,166,208.1304347826086957,79.5904212872411507,252.5652173913043478,2,-23.23,-89.1304347826086957,-1.12,Q2_SPRING,Spring Session (Apr-Jun),NORMAL_SEASONAL_PATTERN
2010,1,t,2010-2014,107,358,100.00000000000000000000,246,141.4444444444444444,34.7414352072771730,-0.99145139626325745657,251.1111111111111111,122.181104194643,-0.04183225503486001799,100.00000000000000000000,0,0,NORMAL_ACTIVITY,,112,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,2,,-44.1666666666666667,-1.14,Q1_WINTER,Winter Session (Jan-Mar),NORMAL_SEASONAL_PATTERN
2003,1,f,2002-2006,199,368,100.00000000000000000000,154,141.4444444444444444,34.7414352072771730,1.6566833008527979,251.1111111111111111,122.181104194643,-0.79481284566234034341,100.00000000000000000000,0,0,ELEVATED_ACTIVITY,,150,,,151.1666666666666667,38.5807234538470289,370.6250000000000000,4,,47.8333333333333333,1.24,Q1_WINTER,Winter Session (Jan-Mar),UNUSUALLY_HIGH_ACTIVITY
