year,quarter,is_election_year,total_ballots,active_politicians,attendance_rate,documents_produced,q_baseline_ballots,q_stddev_ballots,ballot_z_score,q_baseline_docs,q_stddev_docs,doc_z_score,q_baseline_attendance,q_stddev_attendance,attendance_z_score,activity_classification
2014,4,t,25,351,100.00000000000000000000,3131,93.2222222222222222,36.7992256241343713,-1.8539037456668496,2963.6666666666666667,436.411031294231,0.38343057653030812445,100.00000000000000000000,0,0,REDUCED_ACTIVITY
2003,4,f,143,356,100.00000000000000000000,3703,93.2222222222222222,36.7992256241343713,1.3526854691510564,2963.6666666666666667,436.411031294231,1.6941215512833136,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2021,1,f,153,357,100.00000000000000000000,331,141.4444444444444444,34.7414352072771730,0.33261595229477024520,251.1111111111111111,122.181104194643,0.65385633413183376094,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2004,1,f,240,364,100.00000000000000000000,161,141.4444444444444444,34.7414352072771730,2.8368302854371270,251.1111111111111111,122.181104194643,-0.73752084420155379691,100.00000000000000000000,0,0,ANOMALY_DETECTED
2013,2,f,189,359,100.00000000000000000000,323,199.8333333333333333,67.9283792378587003,-0.15948169903184681688,224.5000000000000000,111.066090552374,0.88685934212793443752,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2019,2,f,277,358,100.00000000000000000000,186,199.8333333333333333,67.9283792378587003,1.1360004100268473,224.5000000000000000,111.066090552374,-0.34664045352208604918,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2007,4,f,88,357,100.00000000000000000000,3196,93.2222222222222222,36.7992256241343713,-0.14191119877254386128,2963.6666666666666667,436.411031294231,0.53237273275224056325,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2024,3,f,4,349,100.00000000000000000000,1244,5.4000000000000000,4.2054386555642784,-0.33290225221752769801,848.6666666666666667,536.116813852390,0.73740148251008065965,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2004,4,f,146,360,100.00000000000000000000,2441,93.2222222222222222,36.7992256241343713,1.4342089237650709,2963.6666666666666667,436.411031294231,-1.1976476972102055,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2019,1,f,129,354,100.00000000000000000000,264,141.4444444444444444,34.7414352072771730,-0.35820179477898333833,251.1111111111111111,122.181104194643,0.10549003443573395873,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2011,1,f,140,355,100.00000000000000000000,100,141.4444444444444444,34.7414352072771730,-0.04157699403684627921,251.1111111111111111,122.181104194643,-1.2367797140741223,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2017,1,f,142,358,100.00000000000000000000,319,141.4444444444444444,34.7414352072771730,0.01599115155263318608,251.1111111111111111,122.181104194643,0.55564147448477110979,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2003,1,f,199,368,100.00000000000000000000,154,141.4444444444444444,34.7414352072771730,1.6566833008527979,251.1111111111111111,122.181104194643,-0.79481284566234034341,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2009,3,f,8,355,100.00000000000000000000,489,5.4000000000000000,4.2054386555642784,0.61824703983255143917,848.6666666666666667,536.116813852390,-0.67087369277266191560,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2006,1,t,207,377,100.00000000000000000000,1591,141.4444444444444444,34.7414352072771730,1.8869558832107158,251.1111111111111111,122.181104194643,10.9664165970734121,100.00000000000000000000,0,0,ELEVATED_ACTIVITY
2015,2,f,163,354,100.00000000000000000000,118,199.8333333333333333,67.9283792378587003,-0.54223777670827917855,224.5000000000000000,111.066090552374,-0.95888852727538088930,100.00000000000000000000,0,0,NORMAL_ACTIVITY
2022,2,t,428,359,100.00000000000000000000,362,199.8333333333333333,67.9283792378587003,3.3589299380707430,224.5000000000000000,111.066090552374,1.2380016197217359,100.00000000000000000000,0,0,ANOMALY_DETECTED
