embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2016-01-01,MP,438,1969,63.73,17.39,12.65,6.23,54.60,152862,100402,25183,8735,18542,10950,9618,241,71,1020,1968,46.10,87.84,2.20,0.65,9.32,425,97.03,437,99.77,65.68,16.47,5.71,12.13,99.82
2010-01-01,SD,98,1963,62.81,25.63,9.24,2.32,54.67,34202,21038,9108,957,3099,1960,1398,376,123,63,1968,90.00,71.33,19.18,6.28,3.21,75,76.53,97,98.98,61.51,26.63,2.80,9.06,99.38
2024-01-01,L,423,1975,59.15,17.70,15.23,7.92,53.25,147627,86842,25764,13122,21899,6768,5360,27,0,1381,1975,42.95,79.20,0.40,0.00,20.40,421,99.53,423,100.00,58.83,17.45,8.89,14.83,100.00
2012-01-01,S,465,1963,64.86,19.08,11.82,4.24,56.51,162285,104607,30446,8426,18806,52080,22844,18420,4162,6654,1962,51.56,43.86,35.37,7.99,12.78,256,55.05,461,99.14,64.46,18.76,5.19,11.59,99.27
2008-01-01,KD,389,1958,54.36,25.24,17.92,2.48,53.23,135761,72664,35510,3830,23757,9336,7417,0,15,1904,1952,54.17,79.45,0.00,0.16,20.39,389,100.00,389,100.00,53.52,26.16,2.82,17.50,100.00
2020-01-01,C,428,1973,21.09,6.68,68.56,3.68,51.78,149372,32193,10364,4629,102186,13268,2961,900,419,8988,1972,62.41,22.32,6.78,3.16,67.74,311,72.66,420,98.13,21.55,6.94,3.10,68.41,98.36
2014-01-01,S,392,1964,62.40,18.46,13.26,5.89,56.43,136808,86681,25144,7444,17539,43929,19315,15180,3383,6051,1964,51.19,43.97,34.56,7.70,13.77,208,53.06,390,99.49,63.36,18.38,5.44,12.82,96.92
2022-01-01,SD,684,1973,58.93,17.86,16.34,6.86,53.12,238716,136387,45765,18061,38503,42296,20501,10538,5634,5623,1976,75.36,48.47,24.91,13.32,13.29,350,51.17,636,92.98,57.13,19.17,7.57,16.13,94.73
2007-01-01,KD,323,1958,56.44,23.16,18.16,2.24,52.03,112727,63993,25420,2901,20413,7752,6140,0,8,1604,1952,52.60,79.21,0.00,0.10,20.69,323,100.00,323,100.00,56.77,22.55,2.57,18.11,100.00
2025-01-01,C,452,1975,59.00,16.79,14.72,9.49,55.58,157748,91545,27014,16118,23071,10848,4650,2244,2225,1729,1972,49.27,42.87,20.69,20.51,15.94,236,52.21,451,99.78,58.03,17.12,10.22,14.63,99.88
