embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2015-11-01,SD,23,1969,68.56,16.18,13.31,1.96,55.01,8027,5260,1610,187,970,1104,591,236,79,198,1975,77.08,53.53,21.38,7.16,17.93,15,65.22,23,100.00,65.53,20.06,2.33,12.08,100.00
2008-06-01,V,17,1958,52.38,26.56,17.34,3.73,53.30,5933,3054,1673,222,984,374,55,223,38,58,1958,36.36,14.71,59.63,10.16,15.51,3,17.65,17,100.00,51.47,28.20,3.74,16.59,100.00
2003-09-01,L,9,1954,54.04,27.44,18.53,0.00,55.30,3141,1703,881,0,557,432,140,170,0,122,1956,52.08,32.41,39.35,0.00,28.24,5,55.56,8,88.89,54.22,28.05,0.00,17.73,83.34
2022-02-01,M,77,1973,57.27,19.09,17.73,5.92,53.64,26873,14677,5875,1754,4567,5390,2640,1426,348,976,1972,47.14,48.98,26.46,6.46,18.11,41,53.25,72,93.51,54.62,21.86,6.53,16.99,95.00
2006-04-01,-,71,1954,55.21,15.95,21.82,7.02,53.87,24779,12981,4651,1653,5494,142,59,37,12,34,1952,0.00,41.55,26.06,8.45,23.94,37,52.11,66,92.96,52.39,18.77,6.67,22.17,95.74
2018-11-01,C,26,1973,74.41,14.37,8.76,2.46,53.37,9074,6946,1341,195,592,806,641,29,83,53,1973,61.29,79.53,3.60,10.30,6.58,22,84.62,26,100.00,76.55,14.78,2.15,6.52,100.00
2016-02-01,KD,31,1969,56.98,22.04,14.70,6.27,55.30,10819,7063,1773,518,1465,496,272,122,28,74,1966,62.50,54.84,24.60,5.65,14.92,20,64.52,31,100.00,65.28,16.39,4.79,13.54,100.00
2015-05-01,SD,21,1969,70.02,17.13,11.52,1.34,55.01,7329,5052,1285,168,824,1029,419,411,40,159,1974,75.51,40.72,39.94,3.89,15.45,10,47.62,21,100.00,68.93,17.53,2.29,11.24,100.00
2016-01-01,C,5,1969,63.87,17.70,11.89,6.56,55.30,1745,1183,206,126,230,110,68,19,0,23,1966,68.18,61.82,17.27,0.00,20.91,4,80.00,5,100.00,67.79,11.81,7.22,13.18,100.00
2012-06-01,KD,13,1963,66.22,21.19,11.08,1.51,57.02,4537,3092,867,63,515,247,212,0,0,35,1961,57.89,85.83,0.00,0.00,14.17,13,100.00,13,100.00,68.15,19.11,1.39,11.35,100.00
