embedded_id_ballot_id,embedded_id_concern,embedded_id_issue,embedded_id_party,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
2BE7E08E-844E-4E9D-A6F5-67035CC3AA64,SAKFRÅGAN,3,-,1954,349,160,127,0,62,t,t,f,45.85,36.39,17.77,0.00,54.44,HUVUD,2004/05,NU16,2005-06-02,1952,2,2,0,0,0,t,f,100.00,0.00,0.00,0.00,0.00
529B3FC9-2CE5-4F68-AD80-EE74B80C6662,SAKFRÅGAN,2,S,1959,349,257,19,0,73,t,t,f,73.64,5.44,20.92,0.00,53.01,HUVUD,2009/10,SoU9,2010-03-16,1959,130,102,0,0,28,t,f,78.46,0.00,21.54,0.00,53.08
33E0C76D-2501-4F11-84FD-962FCFBD05A1,SAKFRÅGAN,1,KD,1954,349,163,130,0,56,t,f,f,46.70,37.25,16.05,0.00,53.30,HUVUD,2005/06,NU16,2006-05-09,1951,33,0,26,0,7,f,f,0.00,78.79,21.21,0.00,69.70
A7C6DF2D-0FD2-47C7-839E-B69B09E1A6DF,SAKFRÅGAN,15,C,1963,349,176,143,0,30,t,t,f,50.43,40.97,8.60,0.00,55.87,HUVUD,2013/14,JuU1,2013-12-10,1963,23,21,0,0,2,t,f,91.30,0.00,8.70,0.00,60.87
673F565E-595D-11D7-AEAD-0004755030A2,SAKFRÅGAN,6,M,1954,349,254,43,0,52,t,t,f,72.78,12.32,14.90,0.00,54.15,HUVUD,2002/03,KU21,2003-02-20,1954,55,47,0,0,8,t,f,85.45,0.00,14.55,0.00,60.00
C23416B8-EDEC-428F-B209-28B3C495790F,SAKFRÅGAN,2,C,1954,349,251,53,1,44,t,t,f,71.92,15.19,12.61,0.29,53.30,HUVUD,2004/05,KRU3,2004-11-09,1954,22,17,0,0,5,t,f,77.27,0.00,22.73,0.00,54.55
5EEE4C25-1868-4F4B-8DDF-6C32C70A993A,SAKFRÅGAN,3,MP,1975,349,193,106,0,50,t,f,f,55.30,30.37,14.33,0.00,53.01,HUVUD,2022/23,KrU3,2023-03-08,1976,18,0,15,0,3,f,f,0.00,83.33,16.67,0.00,33.33
EB27E03A-D29A-421B-AE4C-FDF73700E37D,SAKFRÅGAN,10,C,1969,349,278,20,15,36,t,f,f,79.66,5.73,10.32,4.30,53.87,HUVUD,2016/17,MJU7,2017-03-01,1967,22,0,20,0,2,f,f,0.00,90.91,9.09,0.00,63.64
A78892C7-B283-41D1-A16A-55CF90D4F129,SAKFRÅGAN,2,M,1973,349,41,4,11,293,t,t,f,11.75,1.15,83.95,3.15,52.72,HUVUD,2020/21,UU16,2021-05-05,1973,70,11,0,0,59,t,f,15.71,0.00,84.29,0.00,45.71
2C1C1151-F9A4-4949-9770-5D99072DFB94,SAKFRÅGAN,1,L,1958,349,285,18,0,46,t,t,f,81.66,5.16,13.18,0.00,53.30,HUVUD,2007/08,JuU18,2008-05-13,1960,28,22,0,0,6,t,f,78.57,0.00,21.43,0.00,46.43
