embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2024-04-08,MP,22,1975,57.69,16.89,15.25,10.19,52.44,7678,4370,1336,813,1159,396,145,65,76,110,1978,33.33,36.62,16.41,19.19,27.78,11,50.00,22,100.00,56.92,17.40,10.59,15.10,100.00
2022-02-28,-,32,1973,71.44,10.82,15.21,2.54,53.58,11168,7058,1921,400,1789,32,24,7,1,0,1970,0.00,75.00,21.88,3.13,0.00,23,71.88,31,96.88,63.20,17.20,3.58,16.02,98.39
2013-06-10,L,5,1963,54.66,31.63,10.78,2.94,56.45,1745,1061,469,34,181,120,93,0,0,27,1960,54.17,77.50,0.00,0.00,22.50,5,100.00,5,100.00,60.80,26.88,1.95,10.37,100.00
2013-02-11,MP,32,1963,58.48,21.69,13.42,6.42,56.53,11168,7233,1989,598,1348,800,358,170,169,103,1964,56.00,44.75,21.25,21.13,12.88,17,53.13,32,100.00,64.77,17.81,5.35,12.07,100.00
2010-04-05,M,4,1959,45.77,29.73,23.35,1.15,53.01,1396,639,415,16,326,384,326,0,0,58,1960,57.29,84.90,0.00,0.00,15.10,4,100.00,4,100.00,45.77,29.73,1.15,23.35,100.00
2010-03-08,C,17,1959,43.74,35.77,19.28,1.21,53.01,5933,2689,1997,93,1154,493,365,0,0,128,1957,58.62,74.04,0.00,0.00,25.96,17,100.00,17,100.00,45.32,33.66,1.57,19.45,100.00
2016-02-22,MP,1,1969,38.11,32.66,18.34,10.89,55.30,349,133,114,38,64,25,23,0,0,2,1968,48.00,92.00,0.00,0.00,8.00,1,100.00,1,100.00,38.11,32.66,10.89,18.34,100.00
2009-05-11,C,8,1959,51.91,31.40,16.69,0.00,52.44,2792,1443,874,0,475,232,187,0,0,45,1957,58.62,80.60,0.00,0.00,19.40,8,100.00,8,100.00,51.68,31.30,0.00,17.01,100.00
2002-10-14,MP,2,1954,75.50,13.90,10.60,0.00,54.44,698,527,97,0,74,34,32,0,0,2,1955,47.06,94.12,0.00,0.00,5.88,2,100.00,2,100.00,75.50,13.90,0.00,10.60,100.00
2008-06-02,C,11,1958,59.65,19.75,17.19,3.41,53.30,3839,2036,1037,143,623,319,246,0,0,73,1956,58.62,77.12,0.00,0.00,22.88,11,100.00,11,100.00,53.03,27.01,3.72,16.23,100.00
2004-02-02,V,1,1954,53.30,26.36,19.20,1.15,55.01,349,186,92,4,67,30,20,0,2,8,1953,50.00,66.67,0.00,6.67,26.67,1,100.00,1,100.00,53.30,26.36,1.15,19.20,100.00
2014-12-15,M,11,1969,65.33,13.58,11.05,10.04,55.59,3839,2488,498,414,439,924,823,0,1,100,1967,51.19,89.07,0.00,0.11,10.82,11,100.00,11,100.00,64.81,12.97,10.78,11.44,100.00
2025-10-20,SD,14,1975,59.76,19.51,13.47,7.27,55.01,4886,2920,953,355,658,1008,882,0,0,126,1976,75.00,87.50,0.00,0.00,12.50,14,100.00,14,100.00,59.76,19.50,7.27,13.47,100.00
2014-12-15,S,11,1969,65.33,13.58,11.05,10.04,55.59,3839,2488,498,414,439,1243,706,107,298,132,1968,49.56,56.80,8.61,23.97,10.62,8,72.73,11,100.00,64.81,12.97,10.78,11.44,100.00
2007-02-19,M,19,1958,63.30,15.91,16.45,4.34,52.15,6631,4178,1062,193,1198,1843,1580,0,0,263,1959,57.73,85.73,0.00,0.00,14.27,19,100.00,19,100.00,63.01,16.02,2.91,18.07,100.00
2023-02-13,M,2,1975,58.89,11.90,14.47,14.76,52.44,698,411,83,103,101,136,118,0,0,18,1976,50.00,86.76,0.00,0.00,13.24,2,100.00,2,100.00,58.88,11.89,14.76,14.47,100.00
2018-03-12,C,8,1970,68.62,15.11,13.79,2.47,54.44,2792,1916,422,69,385,176,54,55,35,32,1967,63.64,30.68,31.25,19.89,18.18,3,37.50,8,100.00,68.62,15.11,2.47,13.79,100.00
2018-04-09,S,20,1970,63.92,13.30,17.41,5.38,54.44,6980,4458,924,381,1217,2260,1915,4,3,338,1969,47.79,84.73,0.18,0.13,14.96,20,100.00,20,100.00,63.87,13.24,5.46,17.44,100.00
2008-04-07,MP,14,1958,49.72,30.14,18.65,1.50,53.30,4886,2456,1491,66,873,266,56,134,13,63,1964,57.89,21.05,50.38,4.89,23.68,4,28.57,14,100.00,50.27,30.52,1.35,17.87,100.00
2018-03-12,V,8,1970,68.62,15.11,13.79,2.47,54.44,2792,1916,422,69,385,168,72,54,18,24,1972,38.10,42.86,32.14,10.71,14.29,4,50.00,8,100.00,68.62,15.11,2.47,13.79,100.00
2021-03-01,M,21,1973,11.12,2.69,83.99,2.20,52.72,7329,814,198,161,6156,1470,143,64,22,1241,1972,47.14,9.73,4.35,1.50,84.42,12,57.14,20,95.24,11.11,2.70,2.20,84.00,95.00
2006-03-20,MP,31,1954,54.32,20.39,20.63,4.66,54.44,10819,5922,2222,484,2191,527,153,196,55,123,1958,52.94,29.03,37.19,10.44,23.34,16,51.61,28,90.32,54.74,20.54,4.47,20.25,93.18
2008-12-15,KD,3,1959,44.13,35.18,15.69,5.02,53.30,1047,474,386,35,152,72,59,0,0,13,1953,52.09,81.94,0.00,0.00,18.06,3,100.00,3,100.00,45.27,36.87,3.34,14.52,100.00
2018-12-03,C,2,1973,69.20,17.48,7.16,6.16,53.30,698,483,122,43,50,62,58,0,0,4,1973,61.29,93.55,0.00,0.00,6.45,2,100.00,2,100.00,69.20,17.48,6.16,7.16,100.00
2003-03-24,C,32,1954,56.31,24.50,15.63,3.56,54.47,11168,6356,2688,366,1758,704,195,369,58,82,1955,50.24,27.70,52.41,8.24,11.65,12,37.50,31,96.88,56.91,24.07,3.28,15.74,97.37
2024-12-02,M,5,1975,60.46,16.90,15.53,7.11,54.73,1745,1055,295,124,271,340,300,0,0,40,1976,51.47,88.24,0.00,0.00,11.76,5,100.00,5,100.00,60.46,16.91,7.11,15.53,100.00
2014-03-03,V,32,1963,63.90,15.94,14.12,6.05,57.02,11168,7328,1667,633,1540,608,193,278,86,51,1961,47.37,31.74,45.72,14.14,8.39,13,40.63,32,100.00,65.62,14.93,5.67,13.79,100.00
2011-01-17,S,12,1963,69.63,15.52,14.85,0.00,54.44,4188,2916,650,0,622,1344,743,371,0,230,1962,52.68,55.28,27.60,0.00,17.11,8,66.67,12,100.00,69.63,15.52,0.00,14.85,100.00
2023-03-06,MP,23,1975,58.63,18.14,13.94,9.32,53.01,8027,4708,1423,759,1137,414,179,61,105,69,1976,33.33,43.24,14.73,25.36,16.67,12,52.17,22,95.65,58.65,17.73,9.46,14.16,97.22
