embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2022-01-01,0600069352021,Fredrik,Kärrholm,MAN,1985,M,31,1975,70.05,12.85,14.64,2.46,52.75,10819,7793,1254,170,1602,2108,1756,56,0,296,1976,50.00,83.30,2.66,0.00,14.04,30,28,1,0,2,90.32,3.23,0.00,6.45,90.32,28,0.00,0,96.77,31,100.00,72.03,11.59,1.57,14.81,100.00
2016-01-01,0962841101917,Annika,Qarlsson,KVINNA,1964,C,421,1969,63.71,17.38,12.65,6.27,54.60,146929,96513,24273,8299,17844,9262,4833,2301,1024,1104,1967,64.83,52.18,24.84,11.06,11.92,256,215,109,44,53,51.07,25.89,10.45,12.59,51.07,215,0.00,0,60.81,420,99.76,65.69,16.52,5.65,12.14,99.82
2008-01-01,0979278953316,Egon,Frid,MAN,1957,V,377,1958,53.85,25.82,17.78,2.55,53.23,131573,70118,34802,3797,22856,8294,489,4787,1695,1323,1958,36.52,5.90,57.72,20.44,15.95,32,24,235,77,41,6.37,62.33,20.42,10.88,6.37,24,0.27,1,8.49,377,100.00,53.29,26.45,2.89,17.37,100.00
2016-01-01,0544046588414,Jan-Olof,Larsson,MAN,1951,S,421,1969,63.71,17.38,12.65,6.27,54.60,146929,96513,24273,8299,17844,47573,41019,1011,309,5234,1968,50.06,86.22,2.13,0.65,11.00,410,373,8,3,37,88.60,1.90,0.71,8.79,88.36,372,0.00,0,97.39,420,99.76,65.69,16.52,5.65,12.14,99.82
2016-01-01,0613297818326,Mathias,Tegnér,MAN,1979,S,186,1969,63.08,17.54,12.19,7.19,54.38,64914,41342,11576,4550,7446,21018,17921,820,206,2071,1968,49.41,85.27,3.90,0.98,9.85,177,169,8,2,7,90.86,4.30,1.08,3.76,90.32,168,0.00,0,95.16,185,99.46,63.69,17.83,7.01,11.47,99.69
2022-01-01,0752691002718,Pyry,Niemi,MAN,1965,S,633,1973,56.45,18.78,16.77,8.00,53.21,220917,124631,43201,17325,35760,63300,44985,8944,248,9123,1973,48.42,71.07,14.13,0.39,14.41,566,419,95,3,116,66.19,15.01,0.47,18.33,72.04,456,0.00,0,89.42,587,92.73,56.42,19.56,7.84,16.19,93.72
2006-01-01,0893004490313,Cecilia,Widegren,KVINNA,1973,M,426,1955,56.19,20.75,19.39,3.68,53.60,148674,81166,31666,5924,29918,26034,12662,7177,1567,4628,1956,58.12,48.64,27.57,6.02,17.78,255,188,133,33,72,44.13,31.22,7.75,16.90,47.89,204,0.23,1,59.86,408,95.77,54.59,21.30,3.98,20.12,95.88
2025-01-01,0638497389621,Julia,Kronlid,kvinna,1980,SD,432,1975,59.08,16.59,14.72,9.61,52.81,150768,87548,25668,15475,22077,31104,19597,4221,3028,4258,1977,72.64,63.00,13.57,9.74,13.69,321,199,41,28,164,46.06,9.49,6.48,37.96,46.06,199,0.00,0,74.31,431,99.77,58.07,17.02,10.26,14.64,99.88
2022-01-01,0706528359123,Linus,Sköld,MAN,1983,S,664,1973,59.17,17.60,16.34,6.89,53.12,231736,132424,44455,17495,37362,66617,47465,9321,252,9579,1973,48.45,71.25,13.99,0.38,14.38,593,495,96,3,70,74.55,14.46,0.45,10.54,80.27,533,0.15,1,89.31,618,93.07,57.14,19.18,7.55,16.12,94.97
2006-01-01,0438928446810,Lena,Ek,KVINNA,1958,C,7,1954,70.45,16.54,7.90,5.12,54.73,2443,1721,404,125,193,154,80,60,0,14,1955,50.00,51.95,38.96,0.00,9.09,4,0,0,0,7,0.00,0.00,0.00,100.00,0.00,0,0.00,0,57.14,7,100.00,70.45,16.54,5.12,7.90,100.00
