embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_absent,politician_percentage_abstain,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,won_percentage,won_total,rebel_percentage,rebel_total
2009-11-11,0714307225418,Sven-Erik,Österberg,MAN,1955,S,5,1959,349,156.20,147.60,0.20,45.00,100.00,44.76,42.29,12.89,0.06,53.93,1745,781,738,1,225,650,1,576,0,73,0,5,0,0,0.00,100.00,0.00,0.00,1958,53.85,0.15,88.62,0.00,11.23,44.76,42.29,0.06,12.89,0,0.00,5,100.00,0.00,0,0.00,0
2008-04-09,0708565346310,Anne,Ludvigsson,KVINNA,1950,S,5,1958,349,166.80,100.60,7.00,74.60,100.00,47.79,28.83,21.37,2.01,53.30,1745,834,503,35,373,650,100,402,0,148,0,0,0,5,0.00,0.00,100.00,0.00,1958,52.31,15.38,61.85,0.00,22.77,47.79,28.83,2.01,21.38,1,20.00,5,100.00,0.00,0,0.00,0
2011-05-06,0859721748313,Jörgen,Andersson,MAN,1966,M,1,1963,349,173.00,136.00,0.00,40.00,100.00,49.57,38.97,11.46,0.00,53.87,349,173,136,0,40,107,96,0,0,11,1,0,0,0,100.00,0.00,0.00,0.00,1965,53.27,89.72,0.00,0.00,10.28,49.57,38.97,0.00,11.46,1,100.00,1,100.00,100.00,1,0.00,0
2003-04-10,0996403729104,Tone,Tingsgård,KVINNA,1944,S,14,1954,349,227.14,50.36,34.50,37.00,100.00,65.08,14.43,10.60,9.89,55.30,4886,3180,705,483,518,2016,1840,0,1,175,14,0,0,0,100.00,0.00,0.00,0.00,1954,53.47,91.27,0.00,0.05,8.68,65.08,14.43,9.89,10.60,14,100.00,14,100.00,100.00,14,0.00,0
2017-04-27,0150118366721,Linda,Snecker,KVINNA,1983,V,7,1969,349,193.00,46.57,32.14,77.29,100.00,55.30,13.34,22.14,9.21,53.87,2443,1351,326,225,541,147,81,16,15,35,5,1,1,0,71.43,14.29,0.00,14.29,1970,42.86,55.10,10.88,10.20,23.81,55.30,13.34,9.21,22.14,6,85.00,7,100.00,71.00,5,0.00,0
2007-03-01,0806338394516,Mona,Sahlin,KVINNA,1957,S,1,1958,349,274.00,18.00,0.00,57.00,100.00,78.51,5.16,16.33,0.00,51.29,349,274,18,0,57,130,107,0,0,23,0,0,0,1,0.00,0.00,100.00,0.00,1958,50.00,82.31,0.00,0.00,17.69,78.51,5.16,0.00,16.33,1,100.00,1,100.00,0.00,0,0.00,0
2019-10-23,0545353563812,Amineh,Kakabaveh,KVINNA,1970,-,7,1973,349,197.29,71.57,40.00,40.14,100.00,56.53,20.51,11.50,11.46,52.72,2443,1381,501,280,281,14,11,2,1,0,6,1,0,0,85.71,14.29,0.00,0.00,1970,0.00,78.57,14.29,7.14,0.00,56.53,20.51,11.46,11.50,5,71.00,7,100.00,85.00,6,14.00,1
2012-04-16,0977824845202,Anita,Brodén,KVINNA,1948,L,2,1963,349,168.00,131.00,0.00,50.00,100.00,48.14,37.54,14.33,0.00,57.02,698,336,262,0,100,48,40,0,0,8,2,0,0,0,100.00,0.00,0.00,0.00,1960,54.17,83.33,0.00,0.00,16.67,48.14,37.54,0.00,14.33,2,100.00,2,100.00,100.00,2,0.00,0
2009-05-07,0634917636517,Margareta,Israelsson,KVINNA,1954,S,4,1959,349,174.75,98.50,3.25,72.50,100.00,50.07,28.23,20.77,0.93,52.44,1396,699,394,13,290,520,104,314,1,101,1,3,0,0,25.00,75.00,0.00,0.00,1959,51.54,20.00,60.38,0.19,19.42,50.07,28.22,0.93,20.77,1,25.00,4,100.00,25.00,1,0.00,0
2023-04-12,07921826010,Anna-Belle,Strömberg,KVINNA,1965,S,16,1975,349,201.38,67.25,33.25,47.13,100.00,57.70,19.27,13.51,9.53,52.15,5584,3222,1076,532,754,1712,555,736,181,240,6,8,2,0,37.50,50.00,0.00,12.50,1975,47.66,32.42,42.99,10.57,14.02,57.70,19.27,9.53,13.50,8,50.00,16,100.00,37.00,6,0.00,0
2019-05-07,0182800488922,Paula,Bieler,KVINNA,1988,SD,20,1973,349,221.40,65.75,24.65,37.20,100.00,63.44,18.84,10.66,7.06,52.72,6980,4428,1315,493,744,1240,768,293,119,60,13,5,2,0,65.00,25.00,0.00,10.00,1976,70.97,61.94,23.63,9.60,4.84,63.44,18.84,7.06,10.66,13,65.00,20,100.00,65.00,13,0.00,0
2011-12-05,0980316377627,Lars,Hjälmered,MAN,1977,M,16,1963,349,212.44,78.69,23.31,34.56,100.00,60.87,22.55,9.90,6.68,55.59,5584,3399,1259,373,553,1712,1541,103,2,66,15,1,0,0,93.75,6.25,0.00,0.00,1964,56.07,90.01,6.02,0.12,3.86,60.87,22.55,6.68,9.90,15,93.00,16,100.00,93.00,15,0.00,0
2017-10-25,0875221317013,Gunilla,Carlsson,KVINNA,1966,S,7,1969,349,218.57,62.86,8.29,59.29,100.00,62.63,18.01,16.99,2.37,53.87,2443,1530,440,58,415,791,579,98,0,114,6,1,0,0,85.71,14.29,0.00,0.00,1969,47.79,73.20,12.39,0.00,14.41,62.63,18.01,2.37,16.99,6,85.00,7,100.00,85.00,6,0.00,0
2012-12-12,0381918573217,Michael,Svensson,MAN,1957,M,1,1963,349,176.00,20.00,147.00,6.00,100.00,50.43,5.73,1.72,42.12,57.02,349,176,20,147,6,107,106,0,0,1,1,0,0,0,100.00,0.00,0.00,0.00,1965,59.81,99.07,0.00,0.00,0.93,50.43,5.73,42.12,1.72,1,100.00,1,100.00,100.00,1,0.00,0
