embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2010-02-01,045666679112,Annelie,Enochson,KVINNA,1953,KD,54,1959,45.53,33.79,18.74,1.94,53.14,18846,8679,6158,434,3575,1296,1042,0,0,254,1954,55.98,80.40,0.00,0.00,19.60,54,22,0,0,32,40.74,0.00,0.00,59.26,40.74,22,0.00,0,100.00,54,100.00,46.05,32.68,2.30,18.97,100.00
2015-06-01,0485476395125,Christian,Holm,MAN,1976,M,55,1969,67.55,15.96,12.63,3.87,54.73,19195,13206,3117,652,2220,4620,3245,837,70,468,1968,50.00,70.24,18.12,1.52,10.13,43,43,11,1,0,78.18,20.00,1.82,0.00,78.18,43,0.00,0,78.18,55,100.00,68.80,16.24,3.40,11.57,100.00
2025-09-01,0316505710324,Janine,Alm Ericson,KVINNA,1973,MP,2,1975,76.94,5.30,13.33,4.44,55.01,698,537,37,31,93,36,0,17,15,4,1978,38.89,0.00,47.22,41.67,11.11,0,0,0,0,2,0.00,0.00,0.00,100.00,0.00,0,0.00,0,0.00,2,100.00,76.93,5.30,4.44,13.32,100.00
2008-03-01,0577400273410,Ameer,Sachet,MAN,1963,S,61,1958,57.12,22.08,18.38,2.42,53.13,21289,11719,4974,720,3876,7930,2358,3793,228,1551,1958,52.00,29.74,47.83,2.88,19.56,25,21,33,4,3,34.43,54.10,6.56,4.92,34.43,21,0.00,0,40.98,61,100.00,55.05,23.36,3.38,18.21,100.00
2020-02-01,07012286624,Daniel,Riazat,MAN,1991,V,32,1973,60.05,23.23,10.84,5.88,52.72,11168,6979,2381,592,1216,864,512,145,119,88,1975,37.04,59.26,16.78,13.77,10.19,21,21,6,5,0,65.63,18.75,15.63,0.00,62.50,20,0.00,0,65.63,31,96.88,62.49,21.32,5.30,10.89,98.25
2003-11-01,0582811195313,Tina,Acketoft,KVINNA,1966,L,90,1954,62.18,17.12,14.39,6.32,54.73,31410,19726,5235,2026,4423,4320,1866,1365,461,628,1956,50.00,43.19,31.60,10.67,14.54,54,28,28,9,25,31.11,31.11,10.00,27.78,32.22,29,0.00,0,60.00,88,97.78,62.80,16.67,6.45,14.08,91.27
2025-09-01,0834510274913,Charlotte,Nordström,KVINNA,1963,M,2,1975,76.94,5.30,13.33,4.44,55.01,698,537,37,31,93,136,120,0,0,16,1975,50.00,88.24,0.00,0.00,11.76,2,2,0,0,0,100.00,0.00,0.00,0.00,100.00,2,0.00,0,100.00,2,100.00,76.93,5.30,4.44,13.32,100.00
2013-02-01,0946889218011,Jan-Evert,Rådhström,MAN,1960,M,80,1963,62.85,18.42,13.55,5.19,56.57,27920,18225,4903,1221,3571,8560,7679,0,1,880,1965,57.94,89.71,0.00,0.01,10.28,80,68,0,0,12,85.00,0.00,0.00,15.00,85.00,68,0.00,0,100.00,80,100.00,65.28,17.56,4.37,12.79,100.00
2022-04-01,0389795960120,Martin,Marmgren,MAN,1975,MP,124,1973,56.16,18.73,16.37,8.74,53.01,43276,23623,8082,4338,7233,1984,1053,292,181,458,1978,31.25,53.07,14.72,9.12,23.08,94,33,11,8,72,26.61,8.87,6.45,58.06,27.42,34,0.00,0,75.81,117,94.35,54.59,18.68,10.02,16.71,96.03
2017-09-01,066769783310,Lotta,Olsson,KVINNA,1960,M,4,1969,74.22,12.33,13.47,0.00,53.58,1396,1036,172,0,188,332,212,78,0,42,1968,49.40,63.86,23.49,0.00,12.65,3,3,1,0,0,75.00,25.00,0.00,0.00,75.00,3,0.00,0,75.00,4,100.00,74.21,12.32,0.00,13.47,100.00
