embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2012-12-03,0236051814311,Mikael,Jansson,MAN,1965,SD,46,1963,58.29,26.27,8.87,6.56,57.02,16054,10466,3426,872,1290,920,579,209,77,55,1969,85.00,62.93,22.72,8.37,5.98,31,31,11,4,0,67.39,23.91,8.70,0.00,67.39,31,0.00,0,67.39,46,100.00,65.19,21.34,5.43,8.04,100.00
2006-03-06,0566106045918,Maria,Hassan,KVINNA,1952,S,19,1954,54.37,18.34,24.56,2.74,54.44,6631,3572,1290,183,1586,2736,2177,1,2,556,1954,51.39,79.57,0.04,0.07,20.32,18,18,0,0,1,94.74,0.00,0.00,5.26,89.47,17,0.00,0,94.74,18,94.74,53.87,19.45,2.76,23.92,96.43
2014-02-24,0462699892622,Maria,Ferm,KVINNA,1985,MP,18,1963,52.19,22.90,14.24,10.67,57.02,6282,3857,1245,354,826,450,84,231,63,72,1964,52.00,18.67,51.33,14.00,16.00,4,4,11,3,0,22.22,61.11,16.67,0.00,22.22,4,0.00,0,22.22,18,100.00,61.40,19.82,5.64,13.15,100.00
2003-05-05,079095006519,Jan,Björkman,MAN,1950,S,7,1954,69.32,13.01,17.03,0.65,55.30,2443,1588,420,27,408,1008,861,0,0,147,1954,53.47,85.42,0.00,0.00,14.58,7,7,0,0,0,100.00,0.00,0.00,0.00,100.00,7,0.00,0,100.00,7,100.00,65.00,17.19,1.11,16.70,100.00
2023-04-10,0831039938224,Adam,Marttinen,MAN,1983,SD,22,1975,55.26,22.63,14.26,7.87,52.15,7678,4328,1620,662,1068,1606,1026,191,191,198,1977,72.60,63.89,11.89,11.89,12.33,17,13,2,1,6,59.09,9.09,4.55,27.27,59.09,13,0.00,0,77.27,22,100.00,56.37,21.10,8.62,13.91,100.00
2018-04-09,0194498232620,Roza,Güclü Hedin,KVINNA,1982,S,20,1970,63.92,13.30,17.41,5.38,54.44,6980,4458,924,381,1217,2260,1915,4,3,338,1969,47.79,84.73,0.18,0.13,14.96,20,0,0,0,20,0.00,0.00,0.00,100.00,0.00,0,0.00,0,100.00,20,100.00,63.87,13.24,5.46,17.44,100.00
2020-12-14,0899112324519,Elisabeth,Svantesson,KVINNA,1967,M,16,1973,8.68,2.57,84.18,4.57,50.91,5584,490,151,243,4700,1120,22,33,121,944,1972,44.29,1.96,2.95,10.80,84.29,2,0,0,0,16,0.00,0.00,0.00,100.00,0.00,0,0.00,0,12.50,16,100.00,8.78,2.70,4.35,84.17,100.00
2016-12-12,0619928872229,Laila,Naraghi,KVINNA,1982,S,23,1969,56.13,14.07,10.97,18.84,54.44,8027,4656,1273,1303,795,2599,2259,102,7,231,1968,48.67,86.92,3.92,0.27,8.89,22,22,1,0,0,95.65,4.35,0.00,0.00,95.65,22,0.00,0,95.65,23,100.00,58.00,15.86,16.23,9.90,100.00
2023-11-20,0349986646724,Märta,Stenevi,KVINNA,1976,MP,5,1975,56.45,25.79,17.77,0.00,53.30,1745,985,450,0,310,90,0,70,0,20,1978,33.33,0.00,77.78,0.00,22.22,0,0,0,0,5,0.00,0.00,0.00,100.00,0.00,0,0.00,0,0.00,5,100.00,56.45,25.79,0.00,17.77,100.00
2005-05-30,0741187745315,Britta,Rådström,KVINNA,1954,S,27,1954,52.72,29.11,15.67,2.51,54.44,9423,5013,2583,333,1494,3888,3325,2,0,561,1954,50.69,85.52,0.05,0.00,14.43,26,27,0,0,0,100.00,0.00,0.00,0.00,96.30,26,0.00,0,96.30,26,96.30,53.20,27.41,3.53,15.85,97.37
