vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_male,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2016-01-01,421,146929,96513,24273,8299,17844,420,1969,54.60,63.71,17.38,12.65,6.27,99.82,65.69,16.52,5.65,12.14,99.76
2019-01-01,446,155654,98012,25996,15784,15862,445,1973,52.83,64.02,16.85,9.80,9.33,99.77,62.97,16.70,10.14,10.19,99.78
2011-01-01,428,149372,91035,33561,6431,18345,425,1963,54.53,61.74,22.30,12.19,3.78,98.77,60.95,22.47,4.31,12.28,99.30
2014-01-01,382,133318,84345,24742,7121,17110,380,1964,56.43,62.37,18.59,13.26,5.78,96.92,63.27,18.56,5.34,12.83,99.48
2003-01-01,487,169963,105211,30741,9339,24672,475,1954,54.74,62.32,18.33,14.76,4.58,96.87,61.90,18.09,5.49,14.52,97.54
2007-01-01,310,108190,61180,24786,2636,19588,310,1958,52.03,55.98,23.69,18.17,2.16,100.00,56.55,22.91,2.44,18.11,100.00
2009-01-01,338,117962,60520,33889,2632,20921,338,1959,52.83,50.31,29.80,18.13,1.77,100.00,51.30,28.73,2.23,17.74,100.00
2021-01-01,542,189158,30551,9796,3532,145279,516,1973,52.75,28.55,8.87,60.50,2.09,96.61,16.15,5.18,1.87,76.80,95.20
2018-01-01,513,179037,112486,29518,11346,25687,506,1971,54.02,64.10,16.51,13.66,5.73,98.67,62.83,16.49,6.34,14.35,98.64
2025-01-01,432,150768,87548,25668,15475,22077,431,1975,52.81,59.08,16.59,14.72,9.61,99.88,58.07,17.02,10.26,14.64,99.77
2017-01-01,492,171708,107780,30435,9846,23647,490,1969,53.76,62.37,17.84,14.28,5.52,99.30,62.77,17.72,5.73,13.77,99.59
2015-01-01,358,124942,82215,20954,5436,16337,357,1969,55.05,66.10,16.43,13.18,4.29,99.84,65.80,16.77,4.35,13.08,99.72
2004-01-01,515,179735,107423,33637,8546,30129,505,1954,54.40,58.45,20.33,16.96,4.26,98.76,59.77,18.71,4.75,16.76,98.06
2023-01-01,381,132969,79208,23390,11677,18694,380,1975,52.77,59.45,18.07,14.23,8.25,99.86,59.57,17.59,8.78,14.06,99.74
2020-01-01,417,145533,31636,10195,4492,99210,409,1973,51.78,21.10,6.69,68.56,3.66,98.33,21.74,7.01,3.09,68.17,98.08
2024-01-01,412,143788,84643,25348,12483,21314,412,1975,53.24,58.69,18.45,15.21,7.65,100.00,58.87,17.63,8.68,14.82,100.00
2008-01-01,377,131573,70118,34802,3797,22856,377,1958,53.23,53.85,25.82,17.78,2.55,100.00,53.29,26.45,2.89,17.37,100.00
2013-01-01,481,167869,108584,32066,7606,19613,477,1963,56.26,64.40,19.09,12.00,4.51,97.56,64.68,19.10,4.53,11.68,99.17
2010-01-01,308,107492,57867,31705,1983,15937,307,1960,53.35,54.26,28.56,15.91,1.27,99.86,53.83,29.50,1.84,14.83,99.68
2005-01-01,425,148325,83689,30275,7286,27075,409,1954,54.29,55.86,20.63,18.55,4.95,96.34,56.42,20.41,4.91,18.25,96.24
2002-01-01,88,30712,19671,5381,2298,3362,86,1954,54.57,64.34,16.93,10.95,7.78,98.38,64.05,17.52,7.48,10.95,97.73
2006-01-01,426,148674,81166,31666,5924,29918,408,1955,53.60,56.19,20.75,19.39,3.68,95.88,54.59,21.30,3.98,20.12,95.77
2012-01-01,452,157748,101968,29536,7922,18322,448,1963,56.51,65.03,19.00,11.84,4.12,99.22,64.64,18.72,5.02,11.61,99.12
2022-01-01,664,231736,132424,44455,17495,37362,618,1973,53.12,59.17,17.60,16.34,6.89,94.97,57.14,19.18,7.55,16.12,93.07
