vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_male,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2008-11-25,1,349,151,142,0,56,1,1958,53.01,151.00,142.00,0.00,56.00,43.27,40.69,16.05,0.00,43.27,40.69,0.00,16.05,100.00
2022-05-04,20,6980,3690,927,1171,1192,19,1973,53.01,184.50,46.35,58.55,59.60,52.87,13.28,17.08,16.78,52.87,13.28,16.78,17.08,95.00
2011-11-14,5,1745,1180,227,64,274,5,1963,54.73,236.00,45.40,12.80,54.80,67.62,13.01,15.70,3.67,67.62,13.01,3.67,15.70,100.00
2009-02-19,6,2094,1338,271,15,470,6,1959,52.72,223.00,45.17,2.50,78.33,63.90,12.94,22.45,0.72,63.90,12.94,0.72,22.45,100.00
2010-05-21,3,1047,473,348,0,226,3,1959,53.01,157.67,116.00,0.00,75.33,45.18,33.24,21.59,0.00,45.18,33.24,0.00,21.59,100.00
2015-06-10,2,698,424,118,62,94,2,1969,54.73,212.00,59.00,31.00,47.00,60.75,16.91,13.47,8.89,60.74,16.91,8.88,13.47,100.00
2013-04-03,3,1047,612,272,0,163,3,1963,56.16,204.00,90.67,0.00,54.33,58.45,25.98,15.57,0.00,58.45,25.98,0.00,15.57,100.00
2018-04-26,3,1047,570,72,191,214,3,1970,54.44,190.00,24.00,63.67,71.33,54.44,6.88,20.44,18.24,54.44,6.88,18.24,20.44,100.00
2020-03-25,11,3839,397,117,90,3235,11,1973,52.44,36.09,10.64,8.18,294.09,10.34,3.05,84.27,2.34,10.34,3.05,2.34,84.27,100.00
2025-02-27,4,1396,771,213,195,217,4,1975,55.87,192.75,53.25,48.75,54.25,55.23,15.26,15.54,13.97,55.23,15.26,13.97,15.54,100.00
2012-04-19,3,1047,699,174,0,174,3,1963,57.02,233.00,58.00,0.00,58.00,66.76,16.62,16.62,0.00,66.76,16.62,0.00,16.62,100.00
2017-11-29,10,3490,2131,747,202,410,9,1969,53.87,213.10,74.70,20.20,41.00,61.06,21.40,11.75,5.79,61.06,21.40,5.79,11.75,90.00
2008-04-17,1,349,265,32,0,52,1,1958,53.30,265.00,32.00,0.00,52.00,75.93,9.17,14.90,0.00,75.93,9.17,0.00,14.90,100.00
2005-11-29,20,6980,3745,1405,573,1257,20,1954,53.87,187.25,70.25,28.65,62.85,53.65,20.13,18.01,8.21,53.65,20.13,8.21,18.01,100.00
2004-12-02,8,2792,1610,610,90,482,8,1954,53.59,201.25,76.25,11.25,60.25,57.67,21.85,17.26,3.22,57.66,21.85,3.22,17.26,100.00
2024-03-06,18,6282,3787,866,727,902,18,1975,53.01,210.39,48.11,40.39,50.11,60.28,13.79,14.36,11.57,60.28,13.79,11.57,14.36,100.00
2013-11-28,3,1047,497,394,1,155,3,1963,55.59,165.67,131.33,0.33,51.67,47.47,37.63,14.80,0.10,47.47,37.63,0.10,14.80,100.00
2021-03-03,11,3839,420,111,82,3226,11,1973,52.72,38.18,10.09,7.45,293.27,10.94,2.89,84.03,2.14,10.94,2.89,2.14,84.03,100.00
2012-03-13,6,2094,1112,586,141,255,6,1963,55.87,185.33,97.67,23.50,42.50,53.11,27.99,12.18,6.73,53.10,27.98,6.73,12.18,100.00
2008-05-05,3,1047,551,287,34,175,3,1958,53.30,183.67,95.67,11.33,58.33,52.63,27.41,16.72,3.25,52.63,27.41,3.25,16.71,100.00
2009-11-27,1,349,141,136,0,72,1,1959,53.58,141.00,136.00,0.00,72.00,40.40,38.97,20.63,0.00,40.40,38.97,0.00,20.63,100.00
2004-05-13,10,3490,1851,737,170,732,10,1954,55.01,185.10,73.70,17.00,73.20,53.04,21.12,20.97,4.87,53.04,21.12,4.87,20.97,100.00
2013-04-19,7,2443,1560,422,271,190,7,1963,56.45,222.86,60.29,38.71,27.14,63.86,17.27,7.78,11.09,63.86,17.27,11.09,7.78,100.00
2009-06-02,9,3141,1732,899,113,397,9,1958,52.72,192.44,99.89,12.56,44.11,55.14,28.62,12.64,3.60,55.14,28.62,3.60,12.64,100.00
2013-10-23,7,2443,1600,562,37,244,7,1963,55.59,228.57,80.29,5.29,34.86,65.49,23.00,9.99,1.52,65.49,23.00,1.51,9.99,100.00
2007-04-02,6,2094,1034,672,35,353,6,1958,51.58,172.33,112.00,5.83,58.83,49.38,32.09,16.86,1.67,49.38,32.09,1.67,16.86,100.00
2005-02-15,9,3141,2027,512,137,465,9,1954,54.31,225.22,56.89,15.22,51.67,64.53,16.30,14.81,4.36,64.53,16.30,4.36,14.80,100.00
2005-02-17,18,6282,3907,955,325,1095,17,1954,54.15,217.06,53.06,18.06,60.83,62.20,15.20,17.43,5.17,62.19,15.20,5.17,17.43,94.44
2018-06-20,10,3490,2178,756,241,315,10,1970,54.15,217.80,75.60,24.10,31.50,62.41,21.66,9.03,6.91,62.41,21.66,6.91,9.03,100.00
2013-02-01,6,2094,1405,420,19,250,6,1963,56.45,234.17,70.00,3.17,41.67,67.10,20.06,11.94,0.91,67.10,20.06,0.91,11.94,100.00
2011-05-20,9,3141,2286,351,59,445,9,1963,53.99,254.00,39.00,6.56,49.44,72.78,11.17,14.17,1.88,72.78,11.17,1.88,14.17,100.00
2022-05-11,24,8376,4962,1515,601,1298,23,1973,53.30,206.75,63.13,25.04,54.08,59.24,18.09,15.49,7.18,59.24,18.09,7.18,15.50,95.83
2015-03-05,6,2094,1373,327,17,377,6,1969,55.01,228.83,54.50,2.83,62.83,65.57,15.62,18.01,0.81,65.57,15.62,0.81,18.00,100.00
2009-10-19,1,349,151,144,0,54,1,1958,54.15,151.00,144.00,0.00,54.00,43.27,41.26,15.47,0.00,43.27,41.26,0.00,15.47,100.00
2018-03-14,8,2792,1916,422,69,385,8,1970,54.44,239.50,52.75,8.63,48.13,68.62,15.11,13.79,2.47,68.62,15.11,2.47,13.79,100.00
