vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2015-06-01,55,19195,13206,3117,652,2220,55,1969,67.55,15.96,12.63,3.87,54.73,100.00,68.80,16.24,3.40,11.57,100.00
2002-12-01,39,13611,8618,2313,1122,1558,38,1954,64.00,14.20,12.35,9.46,54.39,97.22,63.32,16.99,8.24,11.45,97.44
2024-12-01,26,9074,5469,1989,398,1218,26,1975,61.47,21.34,14.00,3.19,54.73,100.00,60.27,21.92,4.39,13.42,100.00
2013-01-01,9,3141,2038,505,165,433,8,1963,63.04,18.74,12.94,5.28,56.88,83.34,64.88,16.08,5.25,13.79,88.89
2010-05-01,47,16403,8193,5158,59,2993,47,1959,50.49,30.47,18.82,0.23,53.01,100.00,49.95,31.45,0.36,18.25,100.00
2005-08-01,7,2443,1415,759,0,269,7,1954,57.92,31.07,11.01,0.00,54.15,100.00,57.92,31.07,0.00,11.01,100.00
2017-10-01,8,2792,1686,592,58,456,8,1969,53.67,30.78,14.37,1.19,53.73,100.00,60.39,21.20,2.08,16.33,100.00
2002-10-01,5,1745,1177,349,33,186,5,1954,68.79,18.99,10.65,1.58,54.44,100.00,67.45,20.00,1.89,10.66,100.00
2024-06-01,52,18148,10550,2861,2150,2587,52,1975,55.51,19.11,14.94,10.44,53.11,100.00,58.13,15.76,11.85,14.26,100.00
2023-03-01,77,26873,16199,4570,2263,3841,76,1975,59.06,17.84,14.31,8.79,53.01,99.31,60.28,17.01,8.42,14.29,98.70
2014-12-01,19,6631,3975,1210,637,809,17,1969,58.89,21.51,10.65,8.94,55.59,80.00,59.95,18.25,9.61,12.20,89.47
2024-03-01,50,17450,10096,2966,1661,2727,50,1975,60.20,15.76,15.84,8.20,53.01,100.00,57.86,17.00,9.52,15.63,100.00
2018-06-01,88,30712,20001,5291,1538,3882,87,1970,64.25,17.82,13.07,4.86,54.32,99.00,65.12,17.23,5.01,12.64,98.86
2022-04-01,121,42229,23049,7775,4338,7067,115,1973,58.10,16.63,16.37,8.90,53.01,96.57,54.58,18.41,10.27,16.73,95.04
2011-06-01,27,9423,6441,1230,368,1384,27,1963,67.75,13.09,13.93,5.23,54.59,100.00,68.35,13.05,3.91,14.69,100.00
2020-02-01,31,10819,6806,2319,515,1179,30,1973,60.34,23.26,10.84,5.56,52.72,98.15,62.91,21.43,4.76,10.90,96.77
2012-12-01,57,19893,12663,4348,1496,1386,57,1963,57.75,24.09,6.36,11.81,57.02,100.00,63.66,21.86,7.52,6.97,100.00
2017-11-01,41,14309,8868,2712,721,2008,40,1969,62.77,16.72,15.06,5.45,53.87,98.57,61.97,18.95,5.04,14.03,97.56
2009-10-01,17,5933,3216,1677,81,959,17,1958,54.55,28.66,15.94,0.85,53.85,100.00,54.21,28.27,1.37,16.16,100.00
2007-12-01,46,16054,8611,4043,468,2932,46,1958,55.67,25.34,17.12,1.88,53.01,100.00,53.64,25.18,2.92,18.26,100.00
