vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2025-05-12,37,12913,6990,2623,1564,1736,37,1975,54.22,20.11,13.94,11.74,55.59,100.00,54.13,20.31,12.11,13.44,100.00
2024-11-18,7,2443,1331,510,202,400,7,1975,54.48,20.88,16.37,8.27,54.44,100.00,54.48,20.88,8.27,16.37,100.00
2023-01-23,5,1745,1099,415,16,215,5,1975,62.98,23.78,12.32,0.92,52.44,100.00,62.98,23.78,0.92,12.32,100.00
2021-02-01,18,6282,600,245,145,5292,18,1973,9.55,3.90,84.24,2.31,51.86,100.00,9.55,3.90,2.31,84.24,100.00
2004-05-24,12,4188,2547,1066,152,423,11,1954,60.82,25.45,10.10,3.63,55.01,91.67,60.82,25.45,3.63,10.10,91.67
2012-06-11,6,2094,1559,352,0,183,6,1963,73.57,17.41,9.03,0.00,57.02,100.00,74.45,16.81,0.00,8.74,100.00
2019-02-11,7,2443,1370,349,270,454,7,1973,56.08,14.29,18.58,11.05,53.58,100.00,56.08,14.29,11.05,18.58,100.00
2020-04-13,20,6980,804,212,84,5880,19,1973,11.52,3.04,84.24,1.20,52.44,95.00,11.52,3.04,1.20,84.24,95.00
2012-12-03,49,17101,11116,3571,1030,1384,49,1963,58.23,26.06,8.87,6.85,57.02,100.00,65.00,20.88,6.02,8.09,100.00
2010-04-12,8,2792,1495,768,33,496,8,1959,52.48,29.37,17.36,0.79,53.01,100.00,53.55,27.51,1.18,17.77,100.00
2020-02-10,8,2792,1755,554,147,336,8,1973,62.86,19.84,12.03,5.27,52.72,100.00,62.86,19.84,5.27,12.03,100.00
2022-12-05,1,349,265,34,0,50,1,1975,75.93,9.74,14.33,0.00,52.72,100.00,75.93,9.74,0.00,14.33,100.00
2006-12-18,8,2792,1409,661,404,318,8,1958,50.47,23.68,11.39,14.47,52.72,100.00,50.47,23.67,14.47,11.39,100.00
2010-06-07,19,6631,3543,2371,22,695,19,1959,53.11,35.85,10.71,0.34,53.01,100.00,53.43,35.76,0.33,10.48,100.00
2020-11-23,1,349,34,22,0,293,1,1973,9.74,6.30,83.95,0.00,50.72,100.00,9.74,6.30,0.00,83.95,100.00
2003-05-05,8,2792,1833,461,27,471,8,1954,68.03,14.16,17.17,0.65,55.30,100.00,65.65,16.51,0.97,16.87,100.00
