person_id,first_name,last_name,party,total_rebellions,strong_consensus_rebellions,very_strong_consensus_rebellions,avg_consensus_strength_rebelled_against,anomaly_classification,anomaly_assessment
0910241260018,Kent,Härstedt,S,54,18,2,63.50,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0442073683012,Zara,Leghissa,S,2,1,0,78.97,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0285631067215,Robert,Halef,KD,19,6,0,60.47,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0134101155612,Rikard,Larsson,S,1,0,0,43.50,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0588282566419,Lars,Beckman,M,3,0,0,56.43,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0148397245014,Annica,Jonsson,V,3,1,0,66.67,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0148424181819,Ann-Christine,Frohm,SD,4,1,0,59.03,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0803753212716,Richard,Jomshof,SD,27,3,1,52.44,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
086684470825,Tobias,Andersson,SD,5,1,0,62.96,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0903081277919,Helena,Vilhelmsson,C,7,3,0,55.68,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0574355225922,Fredrik,Eriksson,SD,7,1,0,52.35,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0499497337518,Ulrik,Lindgren,KD,37,10,2,64.70,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0362924695201,Birgitta,Eriksson,S,24,3,0,60.67,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0456680171315,Charlotte,Quensel,SD,6,3,1,69.63,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0836614547702,Kerstin,Kristiansson Karlstedt,S,3,2,0,83.10,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0859968278117,Carina,Ohlsson,S,34,1,0,44.86,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0780069612618,Göran,S Persson,S,17,0,0,54.02,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0192918410514,Gunilla,Nordgren,M,11,3,1,57.94,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0228027853620,Vasiliki,Tsouplaki,V,10,0,0,52.55,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0618560932311,Hillevi,Engström,M,19,1,0,50.86,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0244345953026,Peter,Danielsson,M,23,2,0,50.32,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0940558892720,Mubarik,Mohamed Abdirahman,S,1,0,0,79.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0369212790927,Sofia,Skönnbrink,S,1,0,0,65.42,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0476457225115,Pär Axel,Sahlberg,S,1,0,0,77.78,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
0331967573912,Maria,Larsson,KD,27,3,1,61.90,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0397377293714,Göran,Lindell,C,5,1,0,61.54,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0182190010218,Esabelle,Dingizian,MP,53,11,1,59.22,CONSISTENT_REBEL,MODERATE ANOMALY: Consistent rebellion against strong party consensus (80%+)
0996640018922,Yasmine,Bladelius,S,6,6,0,84.80,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0849219210615,Jabar,Amin,MP,34,7,0,57.18,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0962410717322,Sultan,Kayhan,S,11,6,0,70.55,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0817433088402,Nils Fredrik,Aurelius,M,23,2,1,53.64,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
0739152363302,Göran,Lennmarker,M,24,6,0,62.07,MODERATE_REBEL,MILD ANOMALY: Moderate pattern of voting against party majority
041911485722,Magdalena,Thuresson,M,2,0,0,45.36,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
037781229619,Staffan,Eklöf,SD,3,0,0,50.00,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
064601872511,Catharina,Elmsäter-Svärd,M,19,4,0,53.73,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0522240580423,Arin,Karapet,M,8,5,1,68.01,OCCASIONAL_REBEL,LOW ANOMALY: Occasional independent voting behavior
0613297818326,Mathias,Tegnér,S,4,0,0,63.84,PARTY_ALIGNED,NO ANOMALY: Votes consistently with party consensus
