embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank
politicianranking,2025-01-01 00:00:00,6,0.3333333333333333,11
adminemail,2025-01-01 00:00:00,1,0.6666666666666666,21
search,2025-01-01 00:00:00,1,0.6666666666666666,21
adminmonitoring,2025-01-01 00:00:00,27,0.06666666666666667,3
userhome,2025-01-01 00:00:00,44,0.03333333333333333,2
adminuseraccount,2025-01-01 00:00:00,4,0.5,16
adminapplicationsession,2025-01-01 00:00:00,6,0.3333333333333333,11
AdminAgencyView,2025-01-01 00:00:00,1,0.6666666666666666,21
AdminMonitoringView,2025-01-01 00:00:00,2,0.5333333333333333,17
parliamentranking,2025-01-01 00:00:00,10,0.2,7
admincountry,2025-01-01 00:00:00,1,0.6666666666666666,21
main,2025-01-01 00:00:00,99,0,1
adminapplicationconfiguration,2025-01-01 00:00:00,6,0.3333333333333333,11
documents,2025-01-01 00:00:00,14,0.13333333333333333,5
adminlanguage,2025-01-01 00:00:00,1,0.6666666666666666,21
adminportal,2025-01-01 00:00:00,1,0.6666666666666666,21
adminapplicationevents,2025-01-01 00:00:00,2,0.5333333333333333,17
countryranking,2025-01-01 00:00:00,2,0.5333333333333333,17
governmentbodyranking,2025-01-01 00:00:00,6,0.3333333333333333,11
ministryranking,2025-01-01 00:00:00,19,0.1,4
AdminApplicationConfigurationView,2025-01-01 00:00:00,2,0.5333333333333333,17
AgentOperationView,2025-01-01 00:00:00,1,0.6666666666666666,21
dashboard,2025-01-01 00:00:00,1,0.6666666666666666,21
partyranking,2025-01-01 00:00:00,10,0.2,7
adminagentoperation,2025-01-01 00:00:00,12,0.16666666666666666,6
document,2025-01-01 00:00:00,10,0.2,7
adminagency,2025-01-01 00:00:00,1,0.6666666666666666,21
governmentbody,2025-01-01 00:00:00,5,0.4666666666666667,15
AdminUseraccountView,2025-01-01 00:00:00,1,0.6666666666666666,21
committeeranking,2025-01-01 00:00:00,7,0.3,10
AdminDataSummaryView,2025-01-01 00:00:00,1,0.6666666666666666,21
