embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank
adminapplicationconfiguration,2025-01-31 00:00:00,3,0.8571428571428571,7
adminmonitoring,2025-02-07 00:00:00,1,0.5666666666666667,18
main,2025-02-07 00:00:00,41,0,1
main,2025-01-31 00:00:00,28,0,1
main,2025-02-22 00:00:00,9,0,1
adminapplicationsession,2025-02-22 00:00:00,1,0.8,5
AdminAgencyView,2025-02-07 00:00:00,1,0.5666666666666667,18
parliamentranking,2025-02-07 00:00:00,10,0.1,4
documents,2025-11-20 00:00:00,3,0.2,2
adminapplicationsession,2025-02-07 00:00:00,5,0.26666666666666666,9
userhome,2025-11-20 00:00:00,1,0.6,4
main,2025-02-09 00:00:00,8,0,1
adminapplicationconfiguration,2025-02-07 00:00:00,3,0.36666666666666664,12
adminuseraccount,2025-02-07 00:00:00,2,0.4,13
userhome,2025-02-07 00:00:00,35,0.03333333333333333,2
userhome,2025-01-31 00:00:00,6,0.5714285714285714,5
userhome,2025-02-22 00:00:00,2,0.4,3
adminlanguage,2025-02-07 00:00:00,1,0.5666666666666667,18
AdminDataSummaryView,2025-02-07 00:00:00,1,0.5666666666666667,18
ministryranking,2025-01-31 00:00:00,4,0.7142857142857143,6
search,2025-02-07 00:00:00,1,0.5666666666666667,18
AdminMonitoringView,2025-02-07 00:00:00,2,0.4,13
adminmonitoring,2025-01-31 00:00:00,24,0.14285714285714285,2
AgentOperationView,2025-02-07 00:00:00,1,0.5666666666666667,18
adminagentoperation,2025-02-22 00:00:00,3,0.2,2
adminmonitoring,2025-11-20 00:00:00,2,0.4,3
committeeranking,2025-02-07 00:00:00,7,0.2,7
adminuseraccount,2025-02-22 00:00:00,2,0.4,3
ministryranking,2025-02-07 00:00:00,14,0.06666666666666667,3
AdminUseraccountView,2025-02-07 00:00:00,1,0.5666666666666667,18
documents,2025-02-07 00:00:00,1,0.5666666666666667,18
adminagency,2025-02-07 00:00:00,1,0.5666666666666667,18
dashboard,2025-02-07 00:00:00,1,0.5666666666666667,18
politicianranking,2025-02-07 00:00:00,5,0.26666666666666666,9
politicianranking,2025-02-22 00:00:00,1,0.8,5
adminagentoperation,2025-11-20 00:00:00,1,0.6,4
countryranking,2025-02-07 00:00:00,2,0.4,13
AdminApplicationConfigurationView,2025-02-07 00:00:00,2,0.4,13
adminemail,2025-02-07 00:00:00,1,0.5666666666666667,18
document,2025-02-07 00:00:00,9,0.13333333333333333,5
adminportal,2025-02-07 00:00:00,1,0.5666666666666667,18
documents,2025-01-31 00:00:00,10,0.2857142857142857,3
main,2025-04-19 00:00:00,1,0,1
adminagentoperation,2025-01-31 00:00:00,7,0.42857142857142855,4
admincountry,2025-02-07 00:00:00,1,0.5666666666666667,18
partyranking,2025-02-07 00:00:00,8,0.16666666666666666,6
document,2025-11-20 00:00:00,1,0.6,4
main,2025-02-12 00:00:00,8,0,1
ministryranking,2025-04-19 00:00:00,1,0,1
main,2025-11-20 00:00:00,4,0,1
