embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
main,REGISTER,2025-01-01 00:00:00,22,0.3333333333333333,2
politicianranking,CURRENTPARTIES,2025-01-01 00:00:00,1,0.25,2
ministryranking,DATAGRID,2025-01-01 00:00:00,1,0.16666666666666666,3
partyranking,CURRENTCOMMITTEES,2025-01-01 00:00:00,1,0.14285714285714285,2
governmentbodyranking,OVERVIEW,2025-01-01 00:00:00,1,0,1
politicianranking,OVERVIEW,2025-01-01 00:00:00,1,0.25,2
partyranking,DATAGRID,2025-01-01 00:00:00,1,0.14285714285714285,2
parliamentranking,DECISIONACTIVITYBYTYPE,2025-01-01 00:00:00,1,0,1
ministryranking,ALLPARTIESBYHEADCOUNT,2025-01-01 00:00:00,1,0.16666666666666666,3
main,OVERVIEW,2025-01-01 00:00:00,8,0.6666666666666666,3
parliamentranking,DOCUMENTACTIVITYBYTYPE,2025-01-01 00:00:00,1,0,1
committeeranking,OVERVIEW,2025-01-01 00:00:00,1,0,1
parliamentranking,OVERVIEW,2025-01-01 00:00:00,1,0,1
committeeranking,ALLCOMMITTEESBYHEADCOUNT,2025-01-01 00:00:00,1,0,1
parliamentranking,PARTYAGE,2025-01-01 00:00:00,1,0,1
partyranking,ALLPARTIES,2025-01-01 00:00:00,1,0.14285714285714285,2
ministryranking,GOVERNMENT_BODIES_HEADCOUNT,2025-01-01 00:00:00,1,0.16666666666666666,3
committeeranking,CURRENTCOMMITTEESBYPARTYDAYSSERVED,2025-01-01 00:00:00,1,0,1
adminapplicationsession,1753535,2025-01-01 00:00:00,1,0.5,2
governmentbodyranking,HEADCOUNT,2025-01-01 00:00:00,1,0,1
committeeranking,DATAGRID,2025-01-01 00:00:00,1,0,1
parliamentranking,RISK_SUMMARY,2025-01-01 00:00:00,1,0,1
userhome,SECURITY_SETTINGS,2025-01-01 00:00:00,6,0,1
committeeranking,ALLPARTIES,2025-01-01 00:00:00,1,0,1
governmentbody,202100-4979,2025-01-01 00:00:00,5,0,1
parliamentranking,PAGEVISITHISTORY,2025-01-01 00:00:00,1,0,1
parliamentranking,PARTYGENDER,2025-01-01 00:00:00,1,0,1
dashboard,OVERVIEW,2025-01-01 00:00:00,1,0,1
adminuseraccount,1756546,2025-01-01 00:00:00,1,0,1
parliamentranking,2023/24,2025-01-01 00:00:00,1,0,1
parliamentranking,RULE_VIOLATIONS,2025-01-01 00:00:00,1,0,1
main,LOGIN,2025-01-01 00:00:00,36,0,1
adminapplicationconfiguration,192,2025-01-01 00:00:00,2,0,1
document,hc04nsö1,2025-01-01 00:00:00,1,1,2
userhome,USER_EVENTS,2025-01-01 00:00:00,1,1,2
ministryranking,GOVERNMENT_BODIES_EXPENDITURE,2025-01-01 00:00:00,1,0.16666666666666666,3
governmentbodyranking,INCOME,2025-01-01 00:00:00,1,0,1
ministryranking,ALLMINISTRIESBYHEADCOUNT,2025-01-01 00:00:00,1,0.16666666666666666,3
adminapplicationsession,CHARTS,2025-01-01 00:00:00,2,0,1
governmentbodyranking,EXPENDITURE,2025-01-01 00:00:00,1,0,1
ministryranking,OVERVIEW,2025-01-01 00:00:00,1,0.16666666666666666,3
countryranking,PAGEVISITHISTORY,2025-01-01 00:00:00,1,0,1
document,hb022647,2025-01-01 00:00:00,9,0,1
ministryranking,ALL_GOVERNMENT_ROLE_CHART,2025-01-01 00:00:00,1,0.16666666666666666,3
ministryranking,CURRENTMINISTRIESBYHEADCOUNT,2025-01-01 00:00:00,2,0.08333333333333333,2
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-01-01 00:00:00,6,0,1
politicianranking,ALLPARTIES,2025-01-01 00:00:00,1,0.25,2
politicianranking,PAGEVISITHISTORY,2025-01-01 00:00:00,1,0.25,2
adminapplicationevents,CHARTS,2025-01-01 00:00:00,1,0,1
ministryranking,GOVERNMENT_OUTCOME,2025-01-01 00:00:00,1,0.16666666666666666,3
