embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
politicianranking,CURRENTPARTIES,2025-02-07 00:00:00,1,0,1
main,REGISTER,2025-02-09 00:00:00,2,0,1
governmentbodyranking,INCOME,2025-02-07 00:00:00,1,0,1
ministryranking,GOVERNMENT_OUTCOME,2025-02-07 00:00:00,1,0.08333333333333333,2
adminapplicationevents,CHARTS,2025-02-07 00:00:00,1,0,1
main,OVERVIEW,2025-01-31 00:00:00,2,1,3
parliamentranking,DECISIONACTIVITYBYTYPE,2025-02-07 00:00:00,1,0,1
adminapplicationconfiguration,192,2025-01-31 00:00:00,2,0,1
governmentbodyranking,HEADCOUNT,2025-02-07 00:00:00,1,0,1
partyranking,CURRENTCOMMITTEES,2025-02-07 00:00:00,1,0,1
partyranking,CURRENTPARTYLEADERSCORECARD,2025-01-31 00:00:00,2,0,1
parliamentranking,DOCUMENTACTIVITYBYTYPE,2025-02-07 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESBYHEADCOUNT,2025-02-07 00:00:00,2,0,1
committeeranking,DATAGRID,2025-02-07 00:00:00,1,0,1
parliamentranking,PARTYWINNER,2025-02-07 00:00:00,1,0,1
adminuseraccount,1756546,2025-02-22 00:00:00,1,0,1
parliamentranking,PARTYGENDER,2025-02-07 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-04-19 00:00:00,1,0,1
ministryranking,GOVERNMENT_BODIES_HEADCOUNT,2025-02-07 00:00:00,1,0.08333333333333333,2
politicianranking,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0,1
ministryranking,ALLMINISTRIESBYHEADCOUNT,2025-02-07 00:00:00,1,0.08333333333333333,2
committeeranking,OVERVIEW,2025-02-07 00:00:00,1,0,1
adminapplicationsession,CHARTS,2025-02-22 00:00:00,1,0,1
parliamentranking,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0,1
adminuseraccount,193,2025-02-07 00:00:00,1,0,1
committeeranking,ALLCOMMITTEESBYHEADCOUNT,2025-02-07 00:00:00,1,0,1
adminapplicationsession,CHARTS,2025-02-07 00:00:00,1,0,1
partyranking,OVERVIEW,2025-02-07 00:00:00,1,0,1
committeeranking,ALLPARTIES,2025-02-07 00:00:00,1,0,1
search,OVERVIEW,2025-02-07 00:00:00,1,0,1
main,OVERVIEW,2025-02-09 00:00:00,2,0,1
politicianranking,DATAGRID,2025-02-22 00:00:00,1,0,1
userhome,SECURITY_SETTINGS,2025-02-07 00:00:00,6,0,1
partyranking,CURRENTPARTYLEADERSCORECARD,2025-02-07 00:00:00,1,0,1
dashboard,OVERVIEW,2025-02-07 00:00:00,1,0,1
governmentbodyranking,EXPENDITURE,2025-02-07 00:00:00,1,0,1
partyranking,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0,1
ministryranking,DATAGRID,2025-02-07 00:00:00,1,0.08333333333333333,2
main,REGISTER,2025-02-22 00:00:00,1,0.5,2
parliamentranking,RISK_SUMMARY,2025-02-07 00:00:00,1,0,1
ministryranking,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0.08333333333333333,2
parliamentranking,2023/24,2025-02-07 00:00:00,1,0,1
parliamentranking,RULE_VIOLATIONS,2025-02-07 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-02-07 00:00:00,1,0.08333333333333333,2
ministryranking,GOVERNMENT_BODIES_EXPENDITURE,2025-02-07 00:00:00,1,0.08333333333333333,2
countryranking,PAGEVISITHISTORY,2025-02-07 00:00:00,1,0,1
adminapplicationsession,1753535,2025-02-07 00:00:00,1,0,1
partyranking,ALLPARTIES,2025-02-07 00:00:00,1,0,1
main,LOGIN,2025-02-09 00:00:00,2,0,1
ministryranking,ALLPARTIESBYHEADCOUNT,2025-02-07 00:00:00,1,0.08333333333333333,2
