embedded_id_page,embedded_id_element_id,embedded_id_created_date,hits,rank_percentage,rank
committeeranking,ALLPARTIES,2025-02-03 00:00:00,1,0,1
partyranking,DATAGRID,2025-02-03 00:00:00,1,0,1
governmentbodyranking,INCOME,2025-02-03 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-04-14 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-02-03 00:00:00,1,0.08333333333333333,2
main,PAGEVISITHISTORY,2025-02-03 00:00:00,3,1,4
partyranking,OVERVIEW,2025-02-03 00:00:00,1,0,1
main,LOGIN,2025-01-27 00:00:00,8,0,1
main,REGISTER,2025-01-27 00:00:00,5,0.5,2
partyranking,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0,1
main,LOGIN,2025-11-17 00:00:00,1,0,1
committeeranking,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0,1
userhome,SECURITY_SETTINGS,2025-02-03 00:00:00,6,0,1
ministryranking,GOVERNMENT_BODIES_EXPENDITURE,2025-02-03 00:00:00,1,0.08333333333333333,2
committeeranking,ALLCOMMITTEESBYHEADCOUNT,2025-02-03 00:00:00,1,0,1
parliamentranking,RISK_SUMMARY,2025-02-03 00:00:00,1,0,1
adminapplicationsession,1753535,2025-02-03 00:00:00,1,0,1
main,REGISTER,2025-02-17 00:00:00,1,0.5,2
ministryranking,ALL_GOVERNMENT_ROLE_CHART,2025-02-03 00:00:00,1,0.08333333333333333,2
main,OVERVIEW,2025-02-03 00:00:00,4,0.6666666666666666,3
partyranking,ALLPARTIES,2025-02-03 00:00:00,1,0,1
politicianranking,ALLPARTIES,2025-02-03 00:00:00,1,0,1
parliamentranking,RULE_VIOLATIONS,2025-02-03 00:00:00,1,0,1
main,OVERVIEW,2025-02-10 00:00:00,2,0,1
countryranking,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0,1
ministryranking,GOVERNMENT_OUTCOME,2025-02-03 00:00:00,1,0.08333333333333333,2
ministryranking,CURRENTMINISTRIESLEADERSCORECARD,2025-01-27 00:00:00,4,0,1
adminapplicationevents,CHARTS,2025-02-03 00:00:00,1,0,1
politicianranking,DATAGRID,2025-02-17 00:00:00,1,0,1
politicianranking,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0,1
politicianranking,DATAGRID,2025-02-03 00:00:00,1,0,1
ministryranking,ALLMINISTRIESBYHEADCOUNT,2025-02-03 00:00:00,1,0.08333333333333333,2
adminapplicationsession,1755097,2025-02-03 00:00:00,1,0,1
adminapplicationsession,CHARTS,2025-02-03 00:00:00,1,0,1
parliamentranking,DOCUMENTACTIVITYBYTYPE,2025-02-03 00:00:00,1,0,1
main,OVERVIEW,2025-01-27 00:00:00,2,1,3
governmentbodyranking,EXPENDITURE,2025-02-03 00:00:00,1,0,1
partyranking,CURRENTPARTYLEADERSCORECARD,2025-02-03 00:00:00,1,0,1
adminapplicationconfiguration,41,2025-02-03 00:00:00,2,0,1
ministryranking,CURRENTPARTIESBYHEADCOUNT,2025-02-03 00:00:00,1,0.08333333333333333,2
partyranking,CURRENTCOMMITTEES,2025-02-03 00:00:00,1,0,1
userhome,USER_EVENTS,2025-02-03 00:00:00,1,1,2
parliamentranking,PARTYAGE,2025-02-03 00:00:00,1,0,1
governmentbodyranking,OVERVIEW,2025-02-03 00:00:00,1,0,1
documents,OVERVIEW,2025-02-03 00:00:00,1,0,1
ministryranking,CURRENTMINISTRIESBYHEADCOUNT,2025-02-03 00:00:00,2,0,1
politicianranking,CURRENTPARTIES,2025-02-03 00:00:00,1,0,1
main,REGISTER,2025-02-10 00:00:00,2,0,1
main,REGISTER,2025-02-03 00:00:00,14,0.3333333333333333,2
main,LOGIN,2025-02-03 00:00:00,22,0,1
