embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank
AdminAgencyView,2025-02-07 21:00:00,1,0.5666666666666667,18
userhome,2025-11-20 17:00:00,1,0.6,4
main,2025-04-19 19:00:00,1,0,1
userhome,2025-02-22 17:00:00,2,0.2,2
countryranking,2025-02-07 21:00:00,2,0.4,13
admincountry,2025-02-07 21:00:00,1,0.5666666666666667,18
partyranking,2025-02-07 21:00:00,8,0.16666666666666666,6
governmentbody,2025-02-07 21:00:00,5,0.26666666666666666,9
userhome,2025-01-31 15:00:00,2,0.6,4
main,2025-01-31 14:00:00,2,0,1
adminagency,2025-02-07 21:00:00,1,0.5666666666666667,18
adminmonitoring,2025-01-31 14:00:00,2,0,1
main,2025-01-31 15:00:00,19,0,1
ministryranking,2025-01-31 13:00:00,2,0.4,3
document,2025-02-07 21:00:00,9,0.13333333333333333,5
partyranking,2025-01-31 13:00:00,2,0.4,3
adminagentoperation,2025-01-31 14:00:00,1,1,4
adminmonitoring,2025-11-20 17:00:00,2,0.4,3
main,2025-02-22 17:00:00,9,0,1
politicianranking,2025-02-07 21:00:00,5,0.26666666666666666,9
ministryranking,2025-01-31 15:00:00,1,0.8,5
documents,2025-02-07 21:00:00,1,0.5666666666666667,18
main,2025-01-31 13:00:00,1,0.8,5
adminapplicationsession,2025-02-07 21:00:00,5,0.26666666666666666,9
AgentOperationView,2025-02-07 21:00:00,1,0.5666666666666667,18
adminapplicationevents,2025-02-07 21:00:00,2,0.4,13
ministryranking,2025-01-31 16:00:00,1,0.75,4
main,2025-11-20 17:00:00,4,0,1
AdminMonitoringView,2025-02-07 21:00:00,2,0.4,13
userhome,2025-02-07 21:00:00,35,0.03333333333333333,2
committeeranking,2025-02-07 21:00:00,7,0.2,7
adminagentoperation,2025-01-31 15:00:00,1,0.8,5
adminagentoperation,2025-01-31 16:00:00,2,0.25,2
dashboard,2025-02-07 21:00:00,1,0.5666666666666667,18
politicianranking,2025-02-22 17:00:00,1,0.8,5
adminagentoperation,2025-01-31 12:00:00,2,0.3333333333333333,2
adminlanguage,2025-02-07 21:00:00,1,0.5666666666666667,18
adminagentoperation,2025-11-20 17:00:00,1,0.6,4
userhome,2025-01-31 14:00:00,2,0,1
AdminApplicationConfigurationView,2025-02-07 21:00:00,2,0.4,13
main,2025-01-31 12:00:00,2,0.3333333333333333,2
parliamentranking,2025-02-07 21:00:00,10,0.1,4
main,2025-02-12 19:00:00,8,0,1
adminmonitoring,2025-01-31 16:00:00,2,0.25,2
adminagentoperation,2025-02-22 18:00:00,1,0,1
adminapplicationsession,2025-02-22 17:00:00,1,0.8,5
AdminDataSummaryView,2025-02-07 21:00:00,1,0.5666666666666667,18
AdminUseraccountView,2025-02-07 21:00:00,1,0.5666666666666667,18
userhome,2025-01-31 16:00:00,1,0.75,4
adminuseraccount,2025-02-07 21:00:00,2,0.4,13
