embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
governmentbodyranking,CHARTS,2025-01-01 00:00:00,3,0.2857142857142857,17
AgentOperationView,!adminagentoperation,2025-01-01 00:00:00,1,0.5357142857142857,31
document,PERSONREFERENCES,2025-01-01 00:00:00,1,0.5357142857142857,31
AdminAgencyView,!adminagency,2025-01-01 00:00:00,1,0.5357142857142857,31
adminapplicationconfiguration,"",2025-01-01 00:00:00,6,0.125,8
documents,OVERVIEW,2025-01-01 00:00:00,3,0.2857142857142857,17
adminapplicationevents,"",2025-01-01 00:00:00,2,0.39285714285714285,23
parliamentranking,Overview,2025-01-01 00:00:00,2,0.39285714285714285,23
ministryranking,CHARTS,2025-01-01 00:00:00,12,0.05357142857142857,4
documents,Overview,2025-01-01 00:00:00,4,0.19642857142857142,12
document,DOCUMENTDECISION,2025-01-01 00:00:00,1,0.5357142857142857,31
document,DOCUMENTDATA,2025-01-01 00:00:00,1,0.5357142857142857,31
document,OVERVIEW,2025-01-01 00:00:00,2,0.39285714285714285,23
documents,[1211],2025-01-01 00:00:00,1,0.5357142857142857,31
partyranking,Overview,2025-01-01 00:00:00,3,0.2857142857142857,17
committeeranking,CHARTS,2025-01-01 00:00:00,4,0.19642857142857142,12
adminemail,"",2025-01-01 00:00:00,1,0.5357142857142857,31
AdminUseraccountView,!adminuseraccount,2025-01-01 00:00:00,1,0.5357142857142857,31
parliamentranking,RULES,2025-01-01 00:00:00,2,0.39285714285714285,23
governmentbody,HEADCOUNT,2025-01-01 00:00:00,1,0.5357142857142857,31
governmentbody,PAGEVISITHISTORY,2025-01-01 00:00:00,1,0.5357142857142857,31
search,Overview,2025-01-01 00:00:00,1,0.5357142857142857,31
governmentbody,OVERVIEW,2025-01-01 00:00:00,1,0.5357142857142857,31
countryranking,Overview,2025-01-01 00:00:00,2,0.39285714285714285,23
AdminApplicationConfigurationView,!adminapplicationconfiguration,2025-01-01 00:00:00,2,0.39285714285714285,23
document,DOCUMENTATTACHMENTS,2025-01-01 00:00:00,1,0.5357142857142857,31
governmentbody,INCOME,2025-01-01 00:00:00,1,0.5357142857142857,31
politicianranking,CHARTS,2025-01-01 00:00:00,2,0.39285714285714285,23
main,OVERVIEW,2025-01-01 00:00:00,4,0.19642857142857142,12
main,Overview,2025-01-01 00:00:00,95,0,1
adminagentoperation,"",2025-01-01 00:00:00,12,0.05357142857142857,4
adminportal,"",2025-01-01 00:00:00,1,0.5357142857142857,31
adminuseraccount,"",2025-01-01 00:00:00,4,0.19642857142857142,12
committeeranking,Overview,2025-01-01 00:00:00,3,0.2857142857142857,17
ministryranking,Overview,2025-01-01 00:00:00,7,0.08928571428571429,6
AdminMonitoringView,!adminmonitoring,2025-01-01 00:00:00,2,0.39285714285714285,23
adminapplicationsession,"",2025-01-01 00:00:00,6,0.125,8
adminlanguage,"",2025-01-01 00:00:00,1,0.5357142857142857,31
adminagency,"",2025-01-01 00:00:00,1,0.5357142857142857,31
governmentbodyranking,Overview,2025-01-01 00:00:00,3,0.2857142857142857,17
document,DOCUMENTACTIVITY,2025-01-01 00:00:00,1,0.5357142857142857,31
partyranking,CHARTS,2025-01-01 00:00:00,7,0.08928571428571429,6
parliamentranking,CHARTS/DECISION_FLOW_CHART,2025-01-01 00:00:00,1,0.5357142857142857,31
admincountry,"",2025-01-01 00:00:00,1,0.5357142857142857,31
documents,[1212],2025-01-01 00:00:00,5,0.16071428571428573,10
AdminDataSummaryView,!admindatasummary/AUTHORS,2025-01-01 00:00:00,1,0.5357142857142857,31
adminmonitoring,"",2025-01-01 00:00:00,27,0.03571428571428571,3
userhome,Overview,2025-01-01 00:00:00,41,0.017857142857142856,2
userhome,OVERVIEW,2025-01-01 00:00:00,3,0.2857142857142857,17
documents,[1],2025-01-01 00:00:00,1,0.5357142857142857,31
