embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
adminemail,"",2025-02-03 00:00:00,1,0.44,23
document,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0.44,23
adminapplicationsession,"",2025-02-17 00:00:00,1,0.8333333333333334,6
adminagentoperation,"",2025-02-17 00:00:00,3,0.16666666666666666,2
document,PERSONREFERENCES,2025-02-03 00:00:00,1,0.44,23
AdminUseraccountView,!adminuseraccount,2025-02-03 00:00:00,1,0.44,23
document,DOCUMENTATTACHMENTS,2025-02-03 00:00:00,1,0.44,23
documents,Overview,2025-01-27 00:00:00,3,0.6,7
committeeranking,CHARTS,2025-02-03 00:00:00,4,0.14,8
parliamentranking,CHARTS,2025-02-03 00:00:00,5,0.08,5
main,Overview,2025-02-10 00:00:00,8,0,1
politicianranking,Overview,2025-02-17 00:00:00,1,0.8333333333333334,6
adminapplicationsession,"",2025-02-03 00:00:00,5,0.08,5
AdminDataSummaryView,!admindatasummary/AUTHORS,2025-02-03 00:00:00,1,0.44,23
adminmonitoring,"",2025-01-27 00:00:00,24,0.1,2
document,DOCUMENTREFERENCES,2025-02-03 00:00:00,1,0.44,23
governmentbodyranking,Overview,2025-02-03 00:00:00,3,0.16,9
document,DOCUMENTACTIVITY,2025-02-03 00:00:00,1,0.44,23
governmentbody,INCOME,2025-02-03 00:00:00,1,0.44,23
partyranking,CHARTS,2025-01-27 00:00:00,2,0.8,9
documents,Overview,2025-02-03 00:00:00,1,0.44,23
committeeranking,Overview,2025-02-03 00:00:00,3,0.16,9
ministryranking,CHARTS,2025-04-14 00:00:00,1,0,1
main,Overview,2025-11-17 00:00:00,2,0.16666666666666666,2
main,OVERVIEW,2025-11-17 00:00:00,2,0.16666666666666666,2
userhome,OVERVIEW,2025-02-17 00:00:00,2,0.3333333333333333,3
governmentbody,HEADCOUNT,2025-02-03 00:00:00,1,0.44,23
AgentOperationView,!adminagentoperation,2025-02-03 00:00:00,1,0.44,23
countryranking,Overview,2025-02-03 00:00:00,2,0.28,15
documents,[1212],2025-01-27 00:00:00,5,0.4,5
dashboard,Overview,2025-02-03 00:00:00,1,0.44,23
adminmonitoring,"",2025-11-17 00:00:00,2,0.16666666666666666,2
document,DOCUMENTDATA,2025-02-03 00:00:00,1,0.44,23
main,Overview,2025-02-17 00:00:00,7,0,1
governmentbody,PAGEVISITHISTORY,2025-02-03 00:00:00,1,0.44,23
documents,[1],2025-01-27 00:00:00,1,0.9,10
parliamentranking,Overview,2025-02-03 00:00:00,2,0.28,15
document,OVERVIEW,2025-02-03 00:00:00,1,0.44,23
ministryranking,Overview,2025-02-03 00:00:00,7,0.04,3
ministryranking,CHARTS,2025-01-27 00:00:00,4,0.5,6
main,Overview,2025-02-03 00:00:00,49,0,1
main,OVERVIEW,2025-02-17 00:00:00,2,0.3333333333333333,3
documents,[1211],2025-01-27 00:00:00,1,0.9,10
document,DOCUMENTDETAILS,2025-02-03 00:00:00,1,0.44,23
adminportal,"",2025-02-03 00:00:00,1,0.44,23
partyranking,Overview,2025-02-03 00:00:00,3,0.16,9
search,Overview,2025-02-03 00:00:00,1,0.44,23
partyranking,CHARTS,2025-02-03 00:00:00,5,0.08,5
AdminMonitoringView,!adminmonitoring,2025-02-03 00:00:00,2,0.28,15
adminlanguage,"",2025-02-03 00:00:00,1,0.44,23
