embedded_id_page,embedded_id_created_date,hits,rank_percentage,rank
partyranking,2025-02-03 00:00:00,8,0.16666666666666666,6
dashboard,2025-02-03 00:00:00,1,0.5666666666666667,18
AdminApplicationConfigurationView,2025-02-03 00:00:00,2,0.4,13
admincountry,2025-02-03 00:00:00,1,0.5666666666666667,18
main,2025-01-27 00:00:00,28,0,1
adminlanguage,2025-02-03 00:00:00,1,0.5666666666666667,18
main,2025-02-17 00:00:00,9,0,1
adminapplicationconfiguration,2025-01-27 00:00:00,3,0.8571428571428571,7
adminapplicationsession,2025-02-17 00:00:00,1,0.8,5
parliamentranking,2025-02-03 00:00:00,10,0.1,4
document,2025-11-17 00:00:00,1,0.6,4
adminagency,2025-02-03 00:00:00,1,0.5666666666666667,18
adminapplicationevents,2025-02-03 00:00:00,2,0.4,13
adminmonitoring,2025-02-03 00:00:00,1,0.5666666666666667,18
adminemail,2025-02-03 00:00:00,1,0.5666666666666667,18
politicianranking,2025-02-17 00:00:00,1,0.8,5
adminapplicationsession,2025-02-03 00:00:00,5,0.26666666666666666,9
governmentbodyranking,2025-02-03 00:00:00,6,0.23333333333333334,8
adminagentoperation,2025-11-17 00:00:00,1,0.6,4
AgentOperationView,2025-02-03 00:00:00,1,0.5666666666666667,18
ministryranking,2025-04-14 00:00:00,1,0,1
documents,2025-01-27 00:00:00,10,0.2857142857142857,3
adminmonitoring,2025-01-27 00:00:00,24,0.14285714285714285,2
AdminDataSummaryView,2025-02-03 00:00:00,1,0.5666666666666667,18
userhome,2025-02-17 00:00:00,2,0.4,3
adminapplicationconfiguration,2025-02-03 00:00:00,3,0.36666666666666664,12
adminportal,2025-02-03 00:00:00,1,0.5666666666666667,18
adminagentoperation,2025-01-27 00:00:00,7,0.42857142857142855,4
adminuseraccount,2025-02-17 00:00:00,2,0.4,3
adminmonitoring,2025-11-17 00:00:00,2,0.4,3
committeeranking,2025-02-03 00:00:00,7,0.2,7
AdminMonitoringView,2025-02-03 00:00:00,2,0.4,13
main,2025-11-17 00:00:00,4,0,1
adminuseraccount,2025-02-03 00:00:00,2,0.4,13
main,2025-04-14 00:00:00,1,0,1
partyranking,2025-01-27 00:00:00,2,1,8
userhome,2025-01-27 00:00:00,6,0.5714285714285714,5
governmentbody,2025-02-03 00:00:00,5,0.26666666666666666,9
ministryranking,2025-01-27 00:00:00,4,0.7142857142857143,6
main,2025-02-10 00:00:00,8,0,1
politicianranking,2025-02-03 00:00:00,5,0.26666666666666666,9
userhome,2025-11-17 00:00:00,1,0.6,4
adminagentoperation,2025-02-17 00:00:00,3,0.2,2
ministryranking,2025-02-03 00:00:00,14,0.06666666666666667,3
AdminUseraccountView,2025-02-03 00:00:00,1,0.5666666666666667,18
documents,2025-02-03 00:00:00,1,0.5666666666666667,18
AdminAgencyView,2025-02-03 00:00:00,1,0.5666666666666667,18
userhome,2025-02-03 00:00:00,35,0.03333333333333333,2
adminagentoperation,2025-02-03 00:00:00,1,0.5666666666666667,18
documents,2025-11-17 00:00:00,3,0.2,2
