id,data_type,data_size
25,document_attachment_container,0
121,world_bank_data,1170
16,data_element,0
103,view_riksdagen_vote_data_ballot_party_summary,83408
37,document_reference_data,0
61,qrtz_calendars,0
38,document_status_container,0
115,view_riksdagen_vote_data_ballot_summary_daily,1283
89,user_account,0
19,databasechangeloglock,0
6,application_session,0
8,assignment_data,0
32,document_person_reference_co_0,0
39,domain_portal,0
104,view_riksdagen_vote_data_ballot_party_summary_annual,201
113,view_riksdagen_vote_data_ballot_summary,10118
20,detail_data,0
108,view_riksdagen_vote_data_ballot_politician_summary,3531813
118,view_worldbank_indicator_data_country_summary,3827
15,country_element,0
1,against_proposal_container,0
40,encrypted_value,0
3,agency,0
31,document_element,0
23,document_activity_data,0
107,view_riksdagen_vote_data_ballot_party_summary_weekly,5263
100,view_riksdagen_politician_document,110684
44,jv_commit_property,1207
94,view_riksdagen_committee_decision_type_org_summary,4840
80,sweden_election_type_contain_0,0
88,topics,35
73,sweden_county_data,0
7,application_view,0
30,document_detail_data,0
45,jv_global_id,3615
14,countries_element,0
47,language_content_data,0
65,qrtz_locks,0
5,application_configuration,0
77,sweden_county_electoral_regi_1,0
26,document_container_element,0
27,document_content_data,0
99,view_riksdagen_party_document_daily_summary,6252
105,view_riksdagen_vote_data_ballot_party_summary_daily,10333
50,performance_indicator_content,0
52,person_assignment_element,0
43,jv_commit,1207
72,rule_violation,0
76,sweden_county_electoral_regi_0,0
46,jv_snapshot,3617
