committee_code,committee_name,committee_category,period_start,period_end,year,quarter,total_documents,committee_reports,motions_handled,active_members,documents_per_member,reports_per_member,document_change,document_change_pct,ma_4quarter_documents,period_avg_documents,period_median_documents,period_max_documents,period_min_documents,vs_average,vs_average_pct,productivity_level,productivity_trend,productivity_assessment,first_document_date,last_document_date,activity_span_days
SoU,Socialutskottet,Committee,2023-01-01 00:00:00+00,2023-03-31,2023,1,5,0,0,0,,,-78,-93.98,44.00,6.83,5.00,23,1,-1.83,-26.83,BELOW_AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2023-01-10,2023-01-18,8
UU,Utrikesutskottet,Committee,2023-04-01 00:00:00+00,2023-06-30,2023,2,1,0,0,0,,,-6,-85.71,4.00,3.75,4.50,5,1,-2.75,-73.33,UNDERPERFORMING,MODERATE_DECREASE,Committee productivity concerns - investigation recommended,2023-04-22,2023-04-22,0
JuU,Justitieutskottet,Committee,2024-01-01 00:00:00+00,2024-03-31,2024,1,86,0,0,23,3.74,0.00,-177,-67.30,90.00,27.40,19.00,86,2,58.60,213.87,HIGHLY_PRODUCTIVE,STRONG_DECREASE,Exceptional committee productivity and engagement,2024-01-12,2024-03-20,68
SkU,Skatteutskottet,Committee,2023-01-01 00:00:00+00,2023-03-31,2023,1,1,0,0,0,,,-13,-92.86,7.50,6.83,5.00,23,1,-5.83,-85.37,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2023-03-21,2023-03-21,0
KU,Konstitutionsutskottet,Committee,2024-01-01 00:00:00+00,2024-03-31,2024,1,19,0,0,17,1.12,0.00,-128,-87.07,48.50,27.40,19.00,86,2,-8.40,-30.66,BELOW_AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2024-01-01,2024-01-18,17
FöU,Försvarsutskottet,Committee,2024-04-01 00:00:00+00,2024-06-30,2024,2,13,0,0,13,1.00,0.00,-68,-83.95,33.67,28.79,25.50,54,4,-15.79,-54.84,UNDERPERFORMING,STRONG_DECREASE,Committee productivity concerns - investigation recommended,2024-05-06,2024-05-29,23
TU,Trafikutskottet,Committee,2022-10-01 00:00:00+00,2022-12-31,2022,4,48,0,0,32,1.50,0.00,0,,48.00,38.71,28.50,83,5,9.29,23.99,ABOVE_AVERAGE,STABLE,Above-average committee performance,2022-11-21,2022-11-22,1
SoU,Socialutskottet,Committee,2023-07-01 00:00:00+00,2023-09-30,2023,3,6,0,0,0,,,2,50.00,24.50,4.75,5.50,6,2,1.25,26.32,ABOVE_AVERAGE,SLIGHT_INCREASE,Above-average committee performance,2023-09-07,2023-09-20,13
KrU,Kulturutskottet,Committee,2024-07-01 00:00:00+00,2024-09-30,2024,3,10,0,0,6,1.67,0.00,-12,-54.55,38.25,11.87,11.00,24,3,-1.87,-15.73,AVERAGE,STRONG_DECREASE,Significant productivity decline detected,2024-09-12,2024-09-20,8
SoU,Socialutskottet,Committee,2023-10-01 00:00:00+00,2023-12-31,2023,4,529,0,0,179,2.96,0.00,523,8716.67,136.00,253.27,239.00,529,81,275.73,108.87,HIGHLY_PRODUCTIVE,STRONG_INCREASE,Exceptional committee productivity and engagement,2023-10-03,2023-12-05,63
