committee_code,committee_name,total_members,chairs_count,vice_chairs_count,regular_members,substitutes,staffing_status,total_decisions_all_time,decisions_last_year,decisions_last_month,latest_decision_date,days_since_last_decision,total_documents,documents_last_year,motions_count,propositions_count,reports_count,decisions_per_member,documents_per_member,ballots_decided_last_year,avg_approval_rate,productivity_score,productivity_level,performance_concerns,recommendation
nu,Näringsutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
SfU,Socialförsäkringsutskottet,40,1,1,15,23,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
LU,Lagutskottet,0,0,0,0,0,NO_LEADERSHIP,83,0,0,2006-06-07,7107,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production | Stagnant activity,Appoint committee leadership immediately
TU,Trafikutskottet,49,1,1,16,31,WELL_STAFFED,189,11,0,2025-01-24,301,17,11,0,0,0,0.22,0.22,0,0.00,41.79,BELOW_AVERAGE,Stagnant activity,Investigate inactivity causes
EU,EES-utskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
FöU,Försvarsutskottet,47,1,1,15,30,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
NU,Näringsutskottet,45,1,1,15,28,WELL_STAFFED,253,0,0,2024-08-27,451,9,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production | Stagnant activity,Review committee mandate and workload
KU,Konstitutionsutskottet,46,1,1,14,30,WELL_STAFFED,359,20,0,2025-04-25,210,29,23,0,0,0,0.43,0.50,0,0.00,66.34,PRODUCTIVE,Stagnant activity,Investigate inactivity causes
CU,Civilutskottet,42,1,1,13,27,WELL_STAFFED,233,1,0,2024-12-11,345,12,1,0,0,0,0.02,0.02,0,0.00,17.45,INACTIVE,Low decision output | Low document production | Stagnant activity,Review committee mandate and workload
MJU,Miljö- och jordbruksutskottet,46,1,1,15,29,WELL_STAFFED,255,0,0,2024-11-13,373,7,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production | Stagnant activity,Review committee mandate and workload
BoU,Bostadsutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
KrU,Kulturutskottet,46,1,0,17,28,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
SoU,Socialutskottet,41,1,1,13,26,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
UU,Utrikesutskottet,53,1,1,15,36,WELL_STAFFED,183,0,0,2024-10-17,400,5,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production | Stagnant activity,Review committee mandate and workload
JuSoU,Sammansatta justitie- och socialutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
sku,Skatteutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
FiU,Finansutskottet,49,1,1,14,33,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
CKrU,Sammansatta civil- och kulturutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
JuU,Justitieutskottet,45,2,1,15,27,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
USoU,Sammansatta utrikes- och socialutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
UMJU,"Sammansatta utrikes-, miljö- och jordbruksutskottet",0,0,0,0,0,NO_LEADERSHIP,1,0,0,2006-03-15,7191,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production | Stagnant activity,Appoint committee leadership immediately
AU,Arbetsmarknadsutskottet,41,1,1,14,25,WELL_STAFFED,167,1,0,2025-01-14,311,13,1,0,0,0,0.02,0.02,0,0.00,17.46,INACTIVE,Low decision output | Low document production | Stagnant activity,Review committee mandate and workload
UFöU,Sammansatta utrikes- och försvarsutskottet,16,0,0,0,10,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,5.00,INACTIVE,Missing leadership | Low decision output | Low document production,Appoint committee leadership immediately
UbU,Utbildningsutskottet,45,1,1,14,29,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
EUN,EU-nämnden,100,1,1,15,83,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
sou,Socialutskottet,0,0,0,0,0,NO_LEADERSHIP,0,0,0,,-1,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production,Appoint committee leadership immediately
SkU,Skatteutskottet,42,1,1,14,26,WELL_STAFFED,0,0,0,,-1,0,0,0,0,0,0.00,0.00,0,0.00,15.00,INACTIVE,Low decision output | Low document production,Review committee mandate and workload
KUU,Sammansatta konstitutions- och utrikesutskottet,0,0,0,0,0,NO_LEADERSHIP,3,0,0,2006-03-15,7191,0,0,0,0,0,0,0,0,0.00,0.00,INACTIVE,Missing leadership | Understaffed | Low decision output | Low document production | Stagnant activity,Appoint committee leadership immediately
