id,committee_report_url_xml
H601JuU28,https://data.riksdagen.se/utskottsforslag/H601JuU28
GQ01TU4,https://data.riksdagen.se/utskottsforslag/GQ01TU4
HB01JuU17,https://data.riksdagen.se/utskottsforslag/HB01JuU17
GP01NU16,https://data.riksdagen.se/utskottsforslag/GP01NU16
H001FiU24,https://data.riksdagen.se/utskottsforslag/H001FiU24
HC01KU7,https://data.riksdagen.se/utskottsforslag/HC01KU7
GX01FiU29,https://data.riksdagen.se/utskottsforslag/GX01FiU29
HA01NU13,https://data.riksdagen.se/utskottsforslag/HA01NU13
H101MJU25,https://data.riksdagen.se/utskottsforslag/H101MJU25
GV01KrU5,https://data.riksdagen.se/utskottsforslag/GV01KrU5
H401NU3,https://data.riksdagen.se/utskottsforslag/H401NU3
H001CU6,https://data.riksdagen.se/utskottsforslag/H001CU6
GZ01NU25,https://data.riksdagen.se/utskottsforslag/GZ01NU25
HA01FiU2,https://data.riksdagen.se/utskottsforslag/HA01FiU2
GX01FiU33,https://data.riksdagen.se/utskottsforslag/GX01FiU33
H501SoU18,https://data.riksdagen.se/utskottsforslag/H501SoU18
GR01SKU1,https://data.riksdagen.se/utskottsforslag/GR01SKU1
H801SoU31,https://data.riksdagen.se/utskottsforslag/H801SoU31
GR01MJU15,https://data.riksdagen.se/utskottsforslag/GR01MJU15
H501SoU14,https://data.riksdagen.se/utskottsforslag/H501SoU14
H201FiU4,https://data.riksdagen.se/utskottsforslag/H201FiU4
HC01TU17,https://data.riksdagen.se/utskottsforslag/HC01TU17
GO01KU16,https://data.riksdagen.se/utskottsforslag/GO01KU16
H901SfU26,https://data.riksdagen.se/utskottsforslag/H901SfU26
H101SoU29,https://data.riksdagen.se/utskottsforslag/H101SoU29
GV01SkU31,https://data.riksdagen.se/utskottsforslag/GV01SkU31
GY01TU7,https://data.riksdagen.se/utskottsforslag/GY01TU7
HA01CU10,https://data.riksdagen.se/utskottsforslag/HA01CU10
HC01KrU3,https://data.riksdagen.se/utskottsforslag/HC01KrU3
H801SfU1,https://data.riksdagen.se/utskottsforslag/H801SfU1
H601UbU15,https://data.riksdagen.se/utskottsforslag/H601UbU15
GT01SkU2,https://data.riksdagen.se/utskottsforslag/GT01SkU2
H101KU39,https://data.riksdagen.se/utskottsforslag/H101KU39
H501JuU1,https://data.riksdagen.se/utskottsforslag/H501JuU1
H101MJU24,https://data.riksdagen.se/utskottsforslag/H101MJU24
H301FiU42,https://data.riksdagen.se/utskottsforslag/H301FiU42
H101SkU6,https://data.riksdagen.se/utskottsforslag/H101SkU6
GW01SkU22,https://data.riksdagen.se/utskottsforslag/GW01SkU22
GY01TU13,https://data.riksdagen.se/utskottsforslag/GY01TU13
GP01LU29,https://data.riksdagen.se/utskottsforslag/GP01LU29
GV01FöU1,https://data.riksdagen.se/utskottsforslag/GV01FöU1
H501KU3,https://data.riksdagen.se/utskottsforslag/H501KU3
GP01JUU7,https://data.riksdagen.se/utskottsforslag/GP01JUU7
GY01AU1,https://data.riksdagen.se/utskottsforslag/GY01AU1
GV01FöU8,https://data.riksdagen.se/utskottsforslag/GV01FöU8
H801TU13,https://data.riksdagen.se/utskottsforslag/H801TU13
H601FiU4,https://data.riksdagen.se/utskottsforslag/H601FiU4
GZ01SoU18,https://data.riksdagen.se/utskottsforslag/GZ01SoU18
HB01SfU10,https://data.riksdagen.se/utskottsforslag/HB01SfU10
GV01CU1,https://data.riksdagen.se/utskottsforslag/GV01CU1
