party,period_start,period_end,year,quarter,active_members,total_ballots,total_votes,avg_absence_rate,avg_win_rate,avg_rebel_rate,avg_yes_rate,documents_produced,motions_count,active_document_authors,violation_count,members_with_violations,win_rate_trend,absence_trend,member_change,ma_4quarter_win_rate,ma_4quarter_absence,docs_per_member,votes_per_member,violations_per_member,performance_level,productivity_level,effectiveness_assessment
S,2023-07-01 00:00:00+00,2023-09-30,2023,3,107,321,112029,13.56,86.92,0.00,77.27,0,0,0,0,0,34.54,-0.13,-2,64.02,14.24,0.00,1047.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
MP,2024-07-01 00:00:00+00,2024-09-30,2024,3,18,72,25128,14.11,36.11,2.78,66.62,0,0,0,0,0,7.94,-0.94,-1,32.17,14.99,0.00,1396.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
MP,2025-01-01 00:00:00+00,2025-03-31,2025,1,19,902,311498,15.50,42.10,0.00,62.93,52,0,18,0,0,16.09,0.36,0,33.10,14.95,2.74,16394.63,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
C,2025-01-01 00:00:00+00,2025-03-31,2025,1,24,1197,414513,15.50,51.11,0.00,62.91,18,0,12,0,0,14.41,0.36,0,43.44,14.95,0.75,17271.38,0.00,MODERATE_PERFORMANCE,MODERATELY_PRODUCTIVE,Standard party operations
KD,2024-10-01 00:00:00+00,2024-12-31,2024,4,19,1159,404491,15.14,82.43,0.00,59.66,26,0,5,0,0,3.48,1.03,0,79.66,14.99,1.37,21289.00,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Solid party performance
C,2023-10-01 00:00:00+00,2023-12-31,2023,4,24,864,301536,15.13,50.09,0.00,59.81,630,0,24,0,0,21.21,1.57,0,37.95,14.20,26.25,12564.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
V,2025-01-01 00:00:00+00,2025-03-31,2025,1,24,1196,414104,15.50,35.66,0.04,62.93,44,0,18,0,0,11.05,0.36,0,35.31,14.95,1.83,17254.33,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Standard party operations
V,2024-01-01 00:00:00+00,2024-03-31,2024,1,24,2568,896232,15.67,47.78,0.00,60.12,65,0,23,0,0,35.48,0.54,0,32.25,14.51,2.71,37343.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
L,2025-01-01 00:00:00+00,2025-03-31,2025,1,17,800,276920,15.50,76.52,0.00,62.90,3,0,2,0,0,-2.81,0.36,1,79.23,14.95,0.18,16289.41,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
-,2024-01-01 00:00:00+00,2024-03-31,2024,1,2,193,67357,15.62,52.94,13.24,60.20,0,0,0,0,0,-9.56,0.49,1,64.70,14.50,0.00,33678.50,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
C,2024-07-01 00:00:00+00,2024-09-30,2024,3,24,96,33504,14.11,43.75,0.00,66.62,17,0,3,0,0,1.56,-0.94,-1,46.83,14.99,0.71,1396.00,0.00,MODERATE_PERFORMANCE,MODERATELY_PRODUCTIVE,Standard party operations
SD,2022-10-01 00:00:00+00,2022-12-31,2022,4,74,1752,611448,15.30,83.70,0.08,69.43,256,0,50,0,0,,,,83.70,15.30,3.46,8262.81,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Solid party performance
V,2024-07-01 00:00:00+00,2024-09-30,2024,3,24,96,33504,14.11,40.63,0.00,66.62,35,0,20,0,0,0.30,-0.94,0,35.26,14.99,1.46,1396.00,0.00,MODERATE_PERFORMANCE,PRODUCTIVE,Standard party operations
KD,2024-01-01 00:00:00+00,2024-03-31,2024,1,19,2033,709517,15.67,78.42,0.00,60.12,0,0,0,0,0,-3.16,0.54,0,83.03,14.51,0.00,37343.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
MP,2024-04-01 00:00:00+00,2024-06-30,2024,2,19,4644,1620756,15.05,28.17,0.13,56.70,104,0,19,0,0,-8.39,-0.62,1,37.81,14.85,5.47,85302.95,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
KD,2022-10-01 00:00:00+00,2022-12-31,2022,4,19,456,159144,15.30,81.80,0.00,69.43,11,0,4,0,0,,,,81.80,15.30,0.58,8376.00,0.00,MODERATE_PERFORMANCE,MODERATELY_PRODUCTIVE,Solid party performance
S,2023-04-01 00:00:00+00,2023-06-30,2023,2,109,27499,9597151,13.69,52.38,0.03,59.86,0,0,0,0,0,4.42,-0.73,0,56.39,14.47,0.00,88047.26,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
S,2023-01-01 00:00:00+00,2023-03-31,2023,1,109,11556,4033044,14.42,47.96,0.11,58.40,0,0,0,0,0,-20.87,-0.88,2,58.40,14.86,0.00,37000.40,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
L,2024-07-01 00:00:00+00,2024-09-30,2024,3,16,64,22336,14.11,81.25,0.00,66.62,2,0,2,0,0,1.43,-0.94,0,79.40,14.99,0.13,1396.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
SD,2023-10-01 00:00:00+00,2023-12-31,2023,4,72,2592,904608,15.13,84.12,0.00,59.81,403,0,53,0,0,-3.38,1.57,0,70.03,14.20,5.60,12564.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Solid party performance
M,2023-01-01 00:00:00+00,2023-03-31,2023,1,70,7344,2563056,14.42,84.52,0.01,58.40,70,0,11,0,0,2.17,-0.88,2,83.44,14.86,1.00,36615.09,0.00,GOOD_PERFORMANCE,HIGHLY_PRODUCTIVE,Solid party performance
KD,2023-10-01 00:00:00+00,2023-12-31,2023,4,19,684,238716,15.13,81.58,0.00,59.81,61,0,18,0,0,-7.89,1.57,0,83.65,14.20,3.21,12564.00,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Solid party performance
MP,2024-10-01 00:00:00+00,2024-12-31,2024,4,19,1098,383202,15.14,26.01,0.00,59.66,400,0,19,0,0,-10.10,1.03,1,31.71,14.99,21.05,20168.53,0.00,MODERATE_PERFORMANCE,HIGHLY_PRODUCTIVE,Standard party operations
C,2023-04-01 00:00:00+00,2023-06-30,2023,2,24,6168,2152632,13.69,36.46,0.05,59.86,0,0,0,0,0,0.08,-0.73,-1,40.19,14.47,0.00,89693.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
KD,2023-04-01 00:00:00+00,2023-06-30,2023,2,19,4883,1704167,13.69,82.63,0.00,59.86,0,0,0,0,0,1.72,-0.73,0,81.78,14.47,0.00,89693.00,0.00,GOOD_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
V,2023-04-01 00:00:00+00,2023-06-30,2023,2,25,6168,2152632,13.69,42.79,0.00,59.86,0,0,0,0,0,3.67,-0.73,1,35.31,14.47,0.00,86105.28,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
MP,2023-04-01 00:00:00+00,2023-06-30,2023,2,19,4626,1614474,13.69,40.46,0.07,59.86,0,0,0,0,0,8.58,-0.73,1,36.33,14.47,0.00,84972.32,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
V,2022-10-01 00:00:00+00,2022-12-31,2022,4,24,576,201024,15.30,24.03,0.00,69.43,0,0,0,0,0,,,,24.03,15.30,0.00,8376.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Standard party operations
L,2024-04-01 00:00:00+00,2024-06-30,2024,2,16,4128,1440672,15.05,79.82,0.00,56.70,0,0,0,0,0,3.00,-0.62,-1,77.30,14.85,0.00,90042.00,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
L,2024-01-01 00:00:00+00,2024-03-31,2024,1,17,1712,597488,15.67,76.82,0.00,60.12,0,0,0,0,0,-2.87,0.54,1,78.50,14.51,0.00,35146.35,0.00,MODERATE_PERFORMANCE,LOW_PRODUCTIVITY,Solid party performance
