embedded_id_intressent_id,party,embedded_id_id,embedded_id_issue,embedded_id_hangar_id,first_name,last_name,born_year,vote,won,rebel,committee_report,rm,title,sub_title,end_number,org,created_date,public_date,ballot_id,decision_type,against_proposal_parties,against_proposal_number,winner,embedded_id_concern,ballot_type,label,vote_date,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
0534056896314,KD,GT01UbU4,2,2228692,Lars,Gustafsson,1951,NEJ,f,f,UbU4,2005/06,"Trygghet, respekt och ansvar - om förbud mot diskriminering och annan kränkande behandling av barn och elever",Behovet av en samlad diskrimineringslagstiftning,0,UBU,2006-01-26,2006-02-01,C56A9AC9-E457-4722-8307-E04B505E02BC,röstning,"""m"",""c"",""fp"",""kd""",2,utskottet,SAKFRÅGAN,HUVUD,UbU4,2006-01-26,1954,349,160,128,0,61,t,f,45.85,36.68,17.48,0.00,53.58,1951,33,0,27,0,6,f,f,0.00,81.82,18.18,0.00,69.70
0905637653912,S,H001UbU12,2,2832847,Kerstin,Nilsson,1956,JA,t,f,UbU12,2012/13,Utbildning för barn som vistas i landet utan tillstånd,Utbildning för barn som vistas i landet utan tillstånd,0,UBU,2013-04-24,2013-04-24,D38FAE9B-144A-41F3-AD2B-A6FBF4167D2D,röstning,"""V""",2,utskottet,SAKFRÅGAN,HUVUD,UbU12,2013-04-24,1963,349,276,17,19,37,t,f,79.08,4.87,10.60,5.44,56.45,1962,112,97,0,0,15,t,f,86.61,0.00,13.39,0.00,51.79
0538387395826,M,H801FöU3,3,5065520,Mats,Green,1979,NEJ,f,f,FöU3,2020/21,En effektivare kommunal räddningstjänst,MSB:s tillsynsansvar i fråga om kommunerna,0,FÖU,2020-10-16,2020-08-20,2D25E7AA-1726-4F7B-9844-964920B5BA41,röstning,M,3,utskottet,SAKFRÅGAN,HUVUD,FöU3,2020-10-21,1973,349,44,11,0,294,t,f,12.61,3.15,84.24,0.00,50.72,1973,70,0,11,0,59,f,f,0.00,15.71,84.29,0.00,42.86
0252067342313,S,H101JuU1,74,2860040,Åsa,Lindestam,1956,NEJ,f,f,JuU1,2013/14,Utgiftsområde 4 Rättsväsendet,Bemötande av brottsoffer,0,JUU,2013-11-22,2013-11-22,E19C4CD6-DE28-4372-8B57-EF23B510920E,röstning,"""S"",""V""",51,utskottet,SAKFRÅGAN,HUVUD,JuU1,2013-12-10,1963,349,200,119,0,30,t,f,57.31,34.10,8.60,0.00,55.87,1962,112,0,100,0,12,f,f,0.00,89.29,10.71,0.00,50.00
0926555793514,V,GS01JUU16,3,2242184,Anders,Wiklund,1949,JA,t,f,JUU16,2004/05,Sexualbrotten,Utvidgning av begreppet hjälplöst tillstånd,0,JUU,2005-02-15,2006-03-15,70562648-49F7-11D9-8906-000475500EF8,röstning,"""fp""",4,utskottet,SAKFRÅGAN,HUVUD,JUU16,2005-02-15,1954,349,257,39,0,53,t,f,73.64,11.17,15.19,0.00,54.44,1954,29,24,0,0,5,t,f,82.76,0.00,17.24,0.00,55.17
0956444284814,MP,H101MJU28,3,2902602,Per,Bolund,1971,JA,t,f,MJU28,2013/14,Svenska miljömål,Elcertifikat,0,MJU,2014-06-11,2014-06-11,C1BDC137-DF29-4572-802A-6D302F0877D9,röstning,"""SD""",3,utskottet,SAKFRÅGAN,HUVUD,MJU28,2014-06-24,1963,349,302,18,0,29,t,f,86.53,5.16,8.31,0.00,56.45,1965,25,25,0,0,0,t,f,100.00,0.00,0.00,0.00,52.00
0150664940102,M,H101UU2,17,2868907,Eva,Lohman,1948,JA,t,f,UU2,2013/14,Utgiftsområde 7 Internationellt bistånd,Sanitet,0,UU,2013-12-04,2013-12-04,8811A5D1-01BC-4C40-8EA4-44A807FAC845,röstning,"""SD""",24,utskottet,SAKFRÅGAN,HUVUD,UU2,2013-12-17,1963,349,292,18,18,21,t,f,83.67,5.16,6.02,5.16,55.87,1965,107,99,0,0,8,t,f,92.52,0.00,7.48,0.00,57.01
0216534495014,V,GY01UbU3,4,2370697,Jens,Holm,1971,NEJ,f,f,UbU3,2010/11,Betyg från årskurs 6 i grundskolan m.m.,Skriftliga omdömen,0,UBU,2010-12-10,2010-12-10,6AC4E320-EF9A-4010-BB65-9BF53A047198,röstning,"""S"",""MP"",""V""",5,utskottet,SAKFRÅGAN,HUVUD,UbU3,2010-12-10,1963,349,181,139,0,29,t,f,51.86,39.83,8.31,0.00,54.44,1960,19,0,17,0,2,f,f,0.00,89.47,10.53,0.00,42.11
0964379974219,S,GX01FiU22,11,2298230,Christina,Zedell,1960,FRÅNVARANDE,f,f,FiU22,2009/10,Nya rättsmedel m.m. på upphandlingsområdet,Innovativ upphandling,0,FIU,2010-05-26,2010-05-26,5F8909EC-BFCE-474A-BA1C-BF7CD8255709,röstning,"""v""",5,utskottet,SAKFRÅGAN,HUVUD,FiU22,2010-05-26,1959,349,277,20,0,52,t,f,79.37,5.73,14.90,0.00,53.01,1959,130,110,1,0,19,t,f,84.62,0.77,14.62,0.00,52.31
0600928907216,S,H101TU11,8,2902244,Carina,Hägg,1957,FRÅNVARANDE,f,f,TU11,2013/14,Kollektivtrafik,Gotlandstrafiken,0,TU,2014-03-05,2014-03-05,7139DF1C-D237-466B-B14C-90E2D726D17A,röstning,"""S"",""MP"",""V""",9,utskottet,SAKFRÅGAN,HUVUD,TU11,2014-03-19,1963,349,167,133,0,49,t,f,47.85,38.11,14.04,0.00,56.73,1963,112,0,96,0,16,f,f,0.00,85.71,14.29,0.00,51.79
