embedded_id_decision_type,embedded_id_decision_date,total,committee_winner,reservation_winner
ACKLAMATION,2017-03-02,2,2,0
RÖSTNING,2011-03-08,31,31,0
RÖSTNING,2001-09-27,8,8,0
RÖSTNING,2013-04-16,7,7,0
RÖSTNING,2023-05-17,3,3,0
RÖSTNING,2012-06-01,3,3,0
RÖSTNING,2017-06-12,18,18,0
ACKLAMATION,2017-09-20,1,1,0
RÖSTNING,2022-03-31,5,5,0
RÖSTNING,2018-12-17,2,2,0
ACKLAMATION,2012-11-14,18,18,0
RÖSTNING,2015-10-27,1,1,0
ACKLAMATION,2017-11-23,4,4,0
RÖSTNING,2015-11-24,1,1,0
ACKLAMATION,2007-03-30,9,9,0
"",2009-05-06,1,0,0
ACKLAMATION,2002-01-29,18,18,0
RÖSTNING,2020-12-11,1,1,0
RÖSTNING,2010-05-07,1,1,0
RÖSTNING,2004-03-30,11,11,0
ACKLAMATION,2021-04-14,1,1,0
ACKLAMATION,2002-05-21,39,39,0
RÖSTNING,2006-01-24,2,2,0
RÖSTNING,2024-04-23,2,2,0
ACKLAMATION,2007-04-17,6,6,0
RÖSTNING,2016-03-04,3,3,0
RÖSTNING,2002-01-22,18,18,0
"",2025-01-31,6,0,0
RÖSTNING,2005-02-17,4,4,0
RÖSTNING,2009-12-03,2,2,0
ACKLAMATION,2007-05-22,2,2,0
ACKLAMATION,2023-10-26,1,1,0
RÖSTNING,2011-04-18,6,6,0
ACKLAMATION,2023-03-01,24,24,0
RÖSTNING,2014-02-19,1,1,0
ACKLAMATION,2008-11-19,1,1,0
RÖSTNING,2011-05-03,1,1,0
RÖSTNING,2018-04-04,7,7,0
ACKLAMATION,2014-03-19,15,15,0
RÖSTNING,2021-02-01,6,6,0
ACKLAMATION,2016-04-28,2,2,0
ACKLAMATION,2009-11-16,1,1,0
ACKLAMATION,2010-05-11,12,12,0
ACKLAMATION,2012-03-30,1,1,0
ACKLAMATION,2021-03-10,1,1,0
RÖSTNING,2021-08-30,2,2,0
ACKLAMATION,2022-06-02,5,5,0
ACKLAMATION,2012-05-23,11,11,0
ACKLAMATION,2017-04-03,11,11,0
ACKLAMATION,2019-04-26,10,10,0
