embedded_id_id,title,header,embedded_id_hangar_id,committee_report,rm,end_number,embedded_id_issue_nummer,org,created_date,public_date,committee_proposal_url_xml,decision_type,ballot_id,against_proposal_parties,against_proposal_number,winner
GP01UBU9,Gymnasieskolan,Differentiering inom kärnämnena ,2290191,UBU9,2001/02,0,5,UBU,2002-03-05,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01UBU9,-,"","",0,uppgift saknas
GR01SFU1,"Anslag        inom        socialförsäkringsområdet(utgiftsområdena 10, 11 och 12)",Mål för ökad hälsa i arbetslivet,2227637,SFU1,2003/04,0,15,SFU,2003-11-25,2006-03-15,https://data.riksdagen.se/utskottsforslag/GR01SFU1,röstning,9B07271C-A8B6-4F34-8461-3AF79A2E1A34,"""fp""",18,utskottet
GP01KU12,Riksdagens arbetsformer,Utskottsorganisationen ,2225793,KU12,2001/02,0,12,KU,2001-11-13,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01KU12,-,"","",0,uppgift saknas
H501KU19,Ökad insyn i partiers finansiering,Lagförslag om insyn i finansiering av partier,4781330,KU19,2017/18,0,1,KU,2018-02-02,2017-11-14,https://data.riksdagen.se/utskottsforslag/H501KU19,acklamation,"","",0,utskottet
H901MJU22,Djurskydd,Insatser mot organiserad smuggling av sällskapsdjur,5118455,MJU22,2021/22,0,4,MJU,2022-04-25,2022-02-17,https://data.riksdagen.se/utskottsforslag/H901MJU22,acklamation,"","",0,utskottet
GW01FiU2,Utgiftsområde 2 Samhällsekonomi och finansförvaltning ,Statliga fastighetsfrågor,2222288,FiU2,2008/09,0,16,FIU,2008-12-12,2008-12-12,https://data.riksdagen.se/utskottsforslag/GW01FiU2,acklamation,"","",0,utskottet
H501KU16,Ändrade mediegrundlagar,Personlig integritet och grundlagsskydd,4788664,KU16,2017/18,0,2,KU,2018-05-25,2018-02-16,https://data.riksdagen.se/utskottsforslag/H501KU16,röstning,3F337508-75FD-4C3F-A531-DC5B6488E6E4,SD,1,utskottet
H801KrU3,Radio och tv i allmänhetens tjänst,Reformera radio och tv i allmänhetens tjänst,5075063,KrU3,2020/21,0,1,KRU,2021-02-17,2020-11-20,https://data.riksdagen.se/utskottsforslag/H801KrU3,röstning,ca90c84d-050b-4ac2-b0ba-227b52abee8b,"""SD""",1,utskottet
H601SfU15,Socialavgifter,Undantag från kravet på att betala socialavgifter,5016335,SfU15,2018/19,0,2,SFU,2019-02-28,2018-12-18,https://data.riksdagen.se/utskottsforslag/H601SfU15,röstning,c91e3e2c-8c72-4108-b66e-ec0655ab95be,"""SD""",2,utskottet
GR01KUU1,Europeiska   konventet   om  EU:s  framtid   (skr.2003/04:13),Mandat,2227247,KUU1,2003/04,0,4,KUU,2003-11-12,2006-03-15,https://data.riksdagen.se/utskottsforslag/GR01KUU1,acklamation,"","",0,utskottet
GP01UU11,Krigsmaterielexporten år 2001,Försvarsindustrins inriktning ,2285160,UU11,2001/02,0,19,UU,2002-05-21,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01UU11,-,"","",0,uppgift saknas
H301SfU3,Utgiftsområde 12 Ekonomisk trygghet för familjer och barn,Föräldrapenning,4379987,SfU3,2015/16,0,5,SFU,2015-12-04,2015-09-18,https://data.riksdagen.se/utskottsforslag/H301SfU3,röstning,dd907896-9bef-4d2d-881d-9ea054b47f64,"""SD""",3,utskottet
HC01KU13,Valfrågor,Utlandssvenskar,5227483,KU13,2024/25,0,7,KU,2024-12-04,2024-12-04,https://data.riksdagen.se/utskottsforslag/HC01KU13,"","","",0,""
GV01KU15,Tryck- och yttrandefrihet,Tv-sändningar från grannländernas public service-kanaler,2283954,KU15,2007/08,0,13,KU,2008-03-06,2009-03-17,https://data.riksdagen.se/utskottsforslag/GV01KU15,acklamation,"","",0,utskottet
HB01SkU6,Tilläggsskatt för företag i stora koncerner,Tilläggsskatt för företag i stora koncerner,5189386,SkU6,2023/24,0,1,SKU,2023-12-07,2023-11-01,https://data.riksdagen.se/utskottsforslag/HB01SkU6,acklamation,"","",0,utskottet
GP01BOU3,Hyresgästinflytande vid ombyggnad och andra hyresrättsliga frågor,Hyresnämndens prövning - regeringsförslaget ,2229298,BOU3,2001/02,0,5,BOU,2002-01-22,2006-03-15,https://data.riksdagen.se/utskottsforslag/GP01BOU3,acklamation,"","",0,utskottet
GU01AU1,Utgiftsområdena 13 Arbetsmarknad och 14 Arbetsliv,Anslag på utgiftsområde 13 för 2007,2293950,AU1,2006/07,0,18,AU,2006-12-15,2006-12-15,https://data.riksdagen.se/utskottsforslag/GU01AU1,"","","",0,uppgift saknas
HC01JuU14,Kriminalvårdsfrågor,Kvinnoanstalterna,5225094,JuU14,2024/25,0,14,JUU,2024-11-13,2024-11-13,https://data.riksdagen.se/utskottsforslag/HC01JuU14,acklamation,"","",0,utskottet
GT01KU26,Kommunal demokrati och kompetens,Relationen mellan stat och kommun i finansiellt hänseende,2227094,KU26,2005/06,0,6,KU,2006-05-11,2006-05-11,https://data.riksdagen.se/utskottsforslag/GT01KU26,acklamation,"","",0,utskottet
