embedded_id_detail,embedded_id_org_code,total_assignments,id,committee_report_url_xml,document_status_url_www,document_status_url_xml,document_type,document_url_html,document_url_text,final_number,hangar_id,label,made_public_date,number_value,org,rm,status,sub_title,sub_type,temp_label,title
Trafikutskottet,TU,996,GT02T12,,,https://data.riksdagen.se/dokumentstatus/GT02T12,mot,https://data.riksdagen.se/dokument/GT02T12,https://data.riksdagen.se/dokument/GT02T12/text,0,2218509,T12,2006-03-21,12,TU,2005/06,Trycklov,av Magdalena Andersson (m),Enskild motion,m1695,med anledning av prop. 2005/06:109 Åtgärder mot svarttaxi m.m.
Socialutskottet,SoU,1018,H8023342,,,https://data.riksdagen.se/dokumentstatus/H8023342,mot,https://data.riksdagen.se/dokument/H8023342,https://data.riksdagen.se/dokument/H8023342/text,0,5071534,3342,2020-10-06,3342,SoU,2020/21,Klar,av Ann-Christine From Utterstedt (SD),Enskild motion,SD,Karantän vid inresa till Sverige
Konstitutionsutskottet,KU,1007,GP02K57,,,https://data.riksdagen.se/dokumentstatus/GP02K57,mot,https://data.riksdagen.se/dokument/GP02K57,https://data.riksdagen.se/dokument/GP02K57/text,0,2247150,K57,2002-01-18,57,KU,2001/02,"",av Helena Bargholtz m.fl. (fp),Kommittémotion,fp1138,med anledning av prop. 2001/02:74 Yttrandefrihetsgrundlagen och Internet
Skatteutskottet,SkU,1064,H3022812,,,https://data.riksdagen.se/dokumentstatus/H3022812,mot,https://data.riksdagen.se/dokument/H3022812,https://data.riksdagen.se/dokument/H3022812/text,0,4388308,2812,2015-10-06,2812,SkU,2015/16,Klar,av Jesper Skalberg Karlsson (M),Enskild motion,M2125,Reseavdragets utformning
Socialutskottet,SoU,1018,H5022104,,,https://data.riksdagen.se/dokumentstatus/H5022104,mot,https://data.riksdagen.se/dokument/H5022104,https://data.riksdagen.se/dokument/H5022104/text,0,4771457,2104,2017-10-03,2104,SoU,2017/18,Klar,av Stefan Nilsson (MP),Enskild motion,MP2608,Förbud mot rökning i bilar där barn färdas
Finansutskottet,FiU,1060,H5022033,,,https://data.riksdagen.se/dokumentstatus/H5022033,mot,https://data.riksdagen.se/dokument/H5022033,https://data.riksdagen.se/dokument/H5022033/text,0,4771370,2033,2017-10-03,2033,FiU,2017/18,Klar,av Anette Åkesson och Niklas Wykman (båda M),Enskild motion,M2233,Införande av nationell plattform inspirerad av X-Road i Sverige
Trafikutskottet,TU,996,H5021204,,,https://data.riksdagen.se/dokumentstatus/H5021204,mot,https://data.riksdagen.se/dokument/H5021204,https://data.riksdagen.se/dokument/H5021204/text,0,4770288,1204,2017-10-02,1204,TU,2017/18,Klar,av Solveig Zander (C),Enskild motion,C,Regler och skyltning för husbilar
Civilutskottet,CU,725,H002C315,,,https://data.riksdagen.se/dokumentstatus/H002C315,mot,https://data.riksdagen.se/dokument/H002C315,https://data.riksdagen.se/dokument/H002C315/text,0,2809475,C315,2012-10-04,315,CU,2012/13,Ank T,av Krister Hammarbergh (M),Enskild motion,M1782,En snabbare plan- och bygglovsprocess
Trafikutskottet,TU,996,GW02T491,,,https://data.riksdagen.se/dokumentstatus/GW02T491,mot,https://data.riksdagen.se/dokument/GW02T491,https://data.riksdagen.se/dokument/GW02T491/text,0,2221526,T491,2008-10-07,491,TU,2008/09,Ank T,av Lars U Granberg (s),Enskild motion,s45119,Viktgränser för fordon
Socialutskottet,SoU,1018,HA02143,,,https://data.riksdagen.se/dokumentstatus/HA02143,mot,https://data.riksdagen.se/dokument/HA02143,https://data.riksdagen.se/dokument/HA02143/text,0,5154635,143,2022-11-16,143,SoU,2022/23,Klar,av Niklas Karlsson (S),Enskild motion,S1352,Tandvård för alla
