embedded_id_detail,role_code,total_assignments,first_assignment_date,last_assignment_date
Arbetsmarknadsutskottet,Ledamot,221,1976-10-04,2026-09-28
Justitieutskottet,Ledamot,222,1982-10-04,2026-09-28
Konstitutionsutskottet,Extra suppleant,26,2009-10-12,2026-01-11
Bostadsutskottet,Ledamot,101,1983-10-04,2006-10-02
Kulturutskottet,Andre vice ordförande,3,2019-02-28,2022-09-26
Skatteutskottet,Förste vice ordförande,1,2019-03-05,2022-09-26
Miljö- och jordbruksutskottet,Extra suppleant,24,2011-10-03,2025-06-29
Kulturutskottet,Ordförande,12,1991-10-08,2026-09-21
Socialutskottet,Ledamot,220,1981-10-06,2026-09-28
Finansutskottet,Extra suppleant,28,2010-01-19,2024-08-19
Näringsutskottet,Extra suppleant,23,2011-04-07,2024-06-30
Trafikutskottet,Ledamot,207,1982-10-04,2026-09-28
Lagutskottet,Ledamot,87,1979-10-01,2006-10-02
Civilutskottet,Vice ordförande,10,2006-10-10,2026-09-21
Kulturutskottet,Extra suppleant,24,2013-05-03,2025-12-17
Arbetsmarknadsutskottet,Förste vice ordförande,4,1998-10-05,2022-09-26
Näringsutskottet,Ordförande,17,1988-10-11,2026-09-21
Socialutskottet,Vice ordförande,13,1988-10-11,2026-09-28
Socialutskottet,Ordförande,11,1991-10-08,2026-09-21
EU-nämnden,Ledamot,215,1995-01-01,2026-09-28
Arbetsmarknadsutskottet,Ordförande,16,1978-10-03,2026-09-21
Sammansatta konstitutions- och utrikesutskottet,Suppleant,102,2001-03-27,2009-05-06
Finansutskottet,Förste vice ordförande,1,2003-11-19,2006-10-02
Sammansatta utrikes- och försvarsutskottet,Vice ordförande,59,1995-10-26,2024-12-12
EES-utskottet,Suppleant,48,1992-05-26,1993-06-04
Kulturutskottet,Tredje vice ordförande,1,2019-02-28,2022-09-26
Kulturutskottet,Förste vice ordförande,1,2019-02-28,2022-09-26
Sammansatta utrikes- och socialutskottet,Vice ordförande,1,2005-02-15,2005-03-16
Finansutskottet,Ledamot,237,1979-10-01,2026-09-28
Näringsutskottet,Vice ordförande,21,1985-09-30,2026-09-21
Kulturutskottet,Suppleant,716,1976-10-04,2026-09-28
EU-nämnden,Vice ordförande,10,1995-01-01,2026-09-28
Socialutskottet,Suppleant,741,1976-10-04,2026-09-28
Miljö- och jordbruksutskottet,Ledamot,216,1976-10-04,2026-09-28
Trafikutskottet,Tredje vice ordförande,2,2019-03-07,2022-09-26
Civilutskottet,Ledamot,132,2006-10-10,2026-09-28
Sammansatta konstitutions- och utrikesutskottet,Förste vice ordförande,1,2003-02-18,2003-11-20
Utbildningsutskottet,Ledamot,238,1979-10-01,2026-09-28
Socialförsäkringsutskottet,Ordförande,16,1991-10-08,2026-09-28
Försvarsutskottet,Vice ordförande,13,1991-10-08,2026-09-28
Utbildningsutskottet,Ordförande,17,1991-10-08,2026-09-28
Justitieutskottet,Ordförande,16,1989-10-10,2026-09-28
Utbildningsutskottet,Suppleant,734,1982-10-04,2026-09-28
Civilutskottet,Ordförande,10,2006-10-10,2026-09-21
Trafikutskottet,Vice ordförande,9,1994-10-12,2026-09-21
EU-nämnden,Extra suppleant,29,2011-02-07,2026-01-11
Utrikesutskottet,Vice ordförande,17,1988-10-11,2026-09-21
Sammansatta konstitutions- och utrikesutskottet,Deputerad,75,2001-03-27,2009-05-06
Sammansatta utrikes- och försvarsutskottet,Suppleant,882,1995-10-26,2025-12-10
EU-nämnden,Suppleant,927,1995-01-01,2026-09-28
