embedded_id_public_date,embedded_id_document_type,total
2007-10-23,utskottsdokument,2
2013-06-28,ds,1
2003-02-21,fr,5
2013-05-23,bet,3
2009-01-29,bet,1
2022-01-13,frs,2
2013-08-22,frs,7
2015-12-01,utskottsmöte,9
2023-11-30,t-lista,1
2025-10-17,sfs,7
2014-03-14,eunprot,1
2009-04-21,t-lista,1
2012-01-30,f-lista,1
2006-05-03,mot,7
2020-11-03,bet,1
2022-01-19,kf-lista,2
2004-03-25,fr,11
2021-08-19,dir,3
2005-05-10,prot,1
2013-06-10,mot,2
2021-06-17,utskottsmöte,10
2012-02-02,yttr,1
2009-01-12,bet,3
2020-10-22,kammakt,3
2006-12-29,ip,2
2009-10-07,fpm,2
2022-02-26,eunprot,1
2018-05-21,ds,1
2016-02-09,ip,8
2009-12-17,prot,2
2023-04-28,utskottsmöte,2
2020-09-17,fr,2
2022-05-23,ip,7
2018-10-23,rir,1
2018-11-28,mot,503
2023-02-01,sfs,7
2003-01-22,frs,28
2016-11-01,prop,2
2019-12-05,frs,2
2005-11-11,f-lista,1
2011-05-02,bet,2
2016-05-16,samtr,1
2016-12-07,mot,10
2014-03-19,rir,1
2011-03-15,fr,10
2006-01-31,f-lista,1
2015-04-29,prop,1
2020-11-12,votering,2
2016-10-17,fr,10
2017-03-17,mot,5
