id,title,sub_title,status,org,hangar_id,label,made_public_date,number_value,document_status_url_xml
GZ031d32,Budgetpropositionen för 2012 Utgiftsområde 19 ,UO 19 Regional tillväxt,hämtad_2,FI,2728518,1,2011-09-20,1,https://data.riksdagen.se/dokumentstatus/GZ031d32
GP0318,"Beskattning av kostnadsersättningar till statligt anställda stationerade utomlands, m.m.","",hämtad_2,FI,2284029,18,2001-10-02,18,https://data.riksdagen.se/dokumentstatus/GP0318
H903130,Redovisning av AP-fondernas verksamhet t.o.m. 2021,"",Klar,Finansdepartementet,5135880,130,2022-05-31,130,https://data.riksdagen.se/dokumentstatus/H903130
GV0357,"Tillåtna tillgångar i värdepappersfonder, m.m.","",hämtad_2,FI,2222727,57,2008-02-20,57,https://data.riksdagen.se/dokumentstatus/GV0357
GP03180,Redovisning av AP-fondernas verksamhet år 2001,"",hämtad_2,FI,2344512,180,2002-05-29,180,https://data.riksdagen.se/dokumentstatus/GP03180
H903114,Strategisk exportkontroll 2021 – krigsmateriel och produkter med dubbla användningsområden,"",Klar,Utrikesdepartementet,5128021,114,2022-04-12,114,https://data.riksdagen.se/dokumentstatus/H903114
H103177,Ny lag om virkesmätning,"",hämtad_2,L,2930225,177,2014-03-11,177,https://data.riksdagen.se/dokumentstatus/H103177
H103168,Fritidspeng till barn i hushåll med försörjningsstöd,"",hämtad_2,S,2933852,168,2014-03-26,168,https://data.riksdagen.se/dokumentstatus/H103168
GV0325,Förlängd redovisningsperiod och vissa andra mervärdesskattefrågor,"",hämtad_2,FI,2222713,25,2007-10-24,25,https://data.riksdagen.se/dokumentstatus/GV0325
GX03180d4,Nya rättsmedel på upphandlingsområdet,"",hämtad_2,FI,2456899,180,2010-04-14,180,https://data.riksdagen.se/dokumentstatus/GX03180d4
GP0326,"Godkännande av ett protokoll om utvidgning av Europols behörighet
Prop. 2001/02:26","","",Justitiedepartementet,2333007,26,2001-10-11,26,https://data.riksdagen.se/dokumentstatus/GP0326
H703163,Fler tillfälliga åtgärder för att underlätta genomförandet av bolags- och föreningsstämmor,"",Klar,Justitiedepartementet,5061087,163,2020-05-07,163,https://data.riksdagen.se/dokumentstatus/H703163
