embedded_id_detail,role_code,total_assignments,first_assignment_date,last_assignment_date
Landsbygds- och infrastrukturdepartementet,Infrastruktur- och bostadsminister,2,2025-09-08,2026-09-28
Arbetsmarknadsdepartementet,Arbetsmarknads- och jämställdhetsministe,2,2021-11-30,2022-10-18
Näringsdepartementet,Infrastruktur- och försvarsminister,1,2012-03-30,2012-04-17
Statsrådsberedningen,EU-minister,2,2025-09-08,2026-09-28
Utbildnings- och kulturdepartementet,Utbildningsminister,2,2006-10-02,2006-12-31
Statsrådsberedningen,Statsråd,24,1994-10-07,2025-09-07
Miljödepartementet,Miljöminister,2,2007-01-01,2014-10-03
Utrikesdepartementet,Bistånds- och utrikeshandelsminister,2,2025-09-08,2026-09-28
Finansdepartementet,Statsråd,34,1991-10-04,2025-09-07
Socialdepartementet,Socialförsäkringsminister,2,2014-10-03,2017-07-27
Utbildningsdepartementet,Statsråd,24,1994-10-07,2025-09-07
Landsbygds- och infrastrukturdepartementet,Landsbygdsminister,3,2022-10-18,2026-09-21
Infrastrukturdepartementet,Landsbygdsminister,2,2022-10-18,2022-10-18
Miljö- och samhällsbyggnadsdepartementet,Samhällsbyggnadsminister,2,2004-11-01,2006-10-06
Infrastrukturdepartementet,Infrastrukturminister,8,2019-04-01,2022-10-18
Finansdepartementet,Finansminister,14,1991-10-04,2026-09-21
Miljö- och energidepartementet,Statsråd,1,2015-01-01,2016-05-25
Näringsdepartementet,Landsbygdsminister,1,2014-10-03,2014-12-31
Socialdepartementet,Social- och socialförsäkringsminister,1,2022-10-07,2022-10-18
Utrikesdepartementet,Utrikesminister,18,1991-10-04,2026-09-21
Kulturdepartementet,Kulturminister,7,2007-01-01,2026-09-28
Socialdepartementet,Statsråd,29,1991-10-04,2026-09-21
Försvarsdepartementet,Statsråd,3,2002-09-30,2026-09-21
Miljödepartementet,Miljö- och klimatminister,3,2019-04-01,2021-11-30
Justitiedepartementet,Justitie- och inrikesminister,2,2017-07-27,2022-10-18
Justitiedepartementet,Justitieminister,6,1991-10-04,2026-09-21
Försvarsdepartementet,Försvarsminister,17,1991-10-04,2026-09-21
Utbildningsdepartementet,"Gymnasie-, högskole- och forskningsminister",2,2025-09-08,2026-09-28
Utrikesdepartementet,Statsråd,40,1991-10-04,2025-09-07
Statsrådsberedningen,Statsminister,10,1991-10-04,2026-09-21
Försvarsdepartementet,Infrastruktur- och försvarsminister,1,2012-03-30,2012-04-17
Justitiedepartementet,Justitie- och migrationsminister,4,2014-10-03,2021-11-30
Miljö- och energidepartementet,Miljö- och klimatminister,1,2019-01-21,2019-03-31
Integrations- och jämställdhetsdepartementet,Integrations- och jämställdhetsminister,1,2007-01-01,2010-10-05
Näringsdepartementet,Energi- och näringsminister,2,2010-10-06,2022-12-31
Arbetsmarknadsdepartementet,Arbetsmarknads- och etableringsminister,1,2016-05-25,2019-01-21
Arbetsmarknadsdepartementet,Statsråd,13,1994-10-07,2025-03-31
Finansdepartementet,Civilminister,2,2025-09-08,2026-09-28
Klimat- och näringslivsdepartementet,Statsråd,4,2022-10-18,2026-09-21
Justitiedepartementet,Migrationsminister,2,2025-09-08,2026-09-28
Integrations- och jämställdhetsdepartementet,Statsråd,1,2010-10-06,2010-12-31
Miljödepartementet,Klimat- och miljöminister,4,2014-10-03,2022-12-31
Landsbygds- och infrastrukturdepartementet,Statsråd,5,2022-10-18,2025-09-07
Näringsdepartementet,Näringsminister,11,1991-10-04,2022-10-18
Arbetsmarknadsdepartementet,Arbetsmarknads- och integrationsminister,2,2022-10-18,2026-09-21
Miljö- och samhällsbyggnadsdepartementet,Statsråd,3,2002-09-30,2006-10-06
Socialdepartementet,Socialminister,13,1990-02-27,2026-09-21
Näringsdepartementet,Statsråd,31,1994-10-07,2022-10-18
Arbetsmarknadsdepartementet,Migrations- och arbetsmarknadsminister,1,2010-07-07,2010-10-05
Utbildnings- och kulturdepartementet,Kulturminister,1,2006-10-06,2006-10-16
