embedded_id_public_date,embedded_id_org,document_type,total
2007-11-26,KU,utskottsmöte,1
2016-10-04,S,fr,1
2024-04-19,MP,fr,1
2004-12-10,mp,fr,2
2020-11-12,M,ip,1
2019-04-11,M,ip,1
2011-04-11,KU,utskottsmöte,1
2016-07-13,L,fr,2
2008-05-31,SoU,utskottsmöte,1
2000-05-30,s,fr,2
2005-10-24,MJU,utskottsmöte,1
2009-12-01,v,ip,1
2023-04-11,"",f-lista,1
2017-05-23,EUN,kf-lista,1
2009-01-26,MJU,utskottsmöte,1
2021-02-02,MJU,utskottsmöte,1
2015-12-03,V,ip,1
2021-03-16,NU,utskottsmöte,1
2024-12-11,V,fr,1
2007-08-30,s,ip,4
2003-03-01,LU,utskottsmöte,1
2021-09-21,UbU,mot,4
2023-04-20,KrU,utskottsmöte,1
2013-01-18,SoU,bet,1
2012-04-13,"",f-lista,1
2016-07-22,M,fr,2
2017-10-19,KrU,utskottsmöte,1
2006-03-14,TU,bet,1
2021-09-21,"",f-lista,1
2013-06-17,S,fr,2
2007-05-31,"",prot,1
2020-03-17,UU,utskottsmöte,1
2016-11-10,UFöU,utskottsmöte,1
2021-04-22,Ju-dep,dir,1
2003-01-24,SoU,mot,17
2012-11-13,"",bilaga,2
2008-10-20,CU,utskottsmöte,1
2007-12-01,TU,utskottsmöte,1
2007-04-25,SoU,votering,4
2010-11-29,"",f-lista,1
2018-03-06,SkU,bet,9
2009-11-14,AU,utskottsmöte,1
2024-05-03,TU,mot,1
2000-08-22,"",frs,3
2013-10-14,N,prop,1
2008-11-13,Socialdepartementet,fpm,2
2025-02-18,S,fr,1
2020-11-23,L,ip,1
2014-09-02,Justitiedepartementet,prop,1
2004-05-10,MJU,utskottsmöte,1
