embedded_id_group_against,embedded_id_year,total
"'M,C,FP,V,MP'",2003,1
"'M,V,KD,L'",2018,1
"'C,FP,KD'",2003,9
"'V,KD,L'",2021,1
"'S,V,MP'",2019,3
"'C,FP,KD,V'",2005,1
"'S,V,L,MP'",2021,3
"'FP,KD,V,MP'",2001,1
"'M,C,KD'",2017,4
"'C,V,MP'",2005,1
"'C,FP,V'",2001,2
"'M,KD,L'",2024,1
"'FP,V,MP'",2003,1
"'M,FP,MP'",2002,1
"'M,KD,L'",2020,12
"'S,V,C'",2022,1
"'SD,C,L,KD'",2017,1
"'M,C,V,L'",2016,1
"'SD,KD,-'",2017,1
"'C,FP,MP'",2001,1
"'V,C,MP'",2023,6
"'S,V,MP'",2007,83
"'M,C,V,KD,L'",2020,2
"'S,SD,V'",2012,2
"'C,KD,MP'",2005,1
"'C,V,MP'",2001,3
"'M,C,KD,L'",2021,4
"'SD,C,KD'",2018,1
"'S,V,MP'",2008,78
"'M,FP,KD'",2005,7
"'M,FP,KD'",2002,14
"'M,C,KD'",2003,9
"'M,SD,C,KD'",2016,1
"'C,KD,V'",2001,2
"'M,SD,L'",2021,2
"'MP,C,SD,V'",2013,1
"'SD,C,V,L'",2017,1
"'SD,C,KD'",2020,4
"'M,C,KD'",2021,4
"'C,V,MP'",2003,3
"'FP,M,C,KD'",2014,2
"'M,C,KD,L'",2024,1
"'S,V,C'",2024,1
"'C,V,L,KD'",2017,1
"'M,C,L'",2017,1
"'M,SD,C'",2017,2
"'C,FP,KD,V,MP'",2003,2
"'S,MP,V'",2017,13
"'S,C,V,MP'",2020,28
"'M,C,KD'",2005,5
