party_number,party_name,party_id,website,registered_date,head_count,total_documents,avg_documents_per_member,documents_last_year,very_high_activity_members,high_activity_members,medium_activity_members,low_activity_members,party_focused_members,committee_focused_members,individual_focused_members,avg_collaboration_percentage
232323,Politiskt Vilde,-,"",1971-01-01,24,1160,48.3,2,1,2,4,12,2,6,11,2.1
1,Moderaterna,M,www.moderat.se,2013-09-06,469,20588,43.9,65,17,50,78,157,16,65,215,1.6
110,Sverigedemokraterna,SD,www.sverigedemokraterna.se,1991-02-08,126,6717,53.3,12,4,17,25,61,5,48,54,0.0
524,Piratpartiet,PP,www.piratpartiet.se,2006-02-15,2,0,0.0,0,0,0,0,0,0,0,0,0.0
3,Liberalerna,L,www.liberalerna.se,2015-11-30,181,6395,35.3,8,7,18,17,27,16,19,31,1.5
55,Miljöpartiet de gröna,MP,www.mp.se,1985-02-04,142,8111,57.1,93,8,19,33,38,25,22,49,1.7
68,Kristdemokraterna,KD,www.kristdemokraterna.se,1996-08-29,127,10340,81.4,13,17,24,23,37,9,59,31,2.5
170,NyDemokrati,NYD,"",1991-02-15,24,0,0.0,0,0,0,0,0,0,0,0,0.0
2,Arbetarepartiet-Socialdemokraterna,S,www.socialdemokraterna.se,1956-08-02,852,30204,35.5,76,29,81,81,216,6,8,375,0.8
3,Folkpartiet liberalerna,FP,www.folkpartiet.se,1990-12-17,80,2104,26.3,0,0,8,10,6,4,6,14,3.7
4,Centerpartiet,C,www.centerpartiet.se,1995-05-18,255,7791,30.6,43,11,20,21,35,7,25,55,1.5
5,Vänsterpartiet,V,www.vansterpartiet.se,1990-06-15,139,11202,80.6,78,20,22,28,28,67,29,2,1.5
