party,first_assignment_date,last_assignment_date,total_days_served,total_days_served_parliament,total_days_served_committee,total_days_served_government,total_days_served_eu,total_days_served_speaker,total_days_served_party,active,active_eu,active_government,active_committee,active_parliament,active_speaker,active_party,total_active,total_active_eu,total_active_government,total_active_committee,total_active_parliament,total_assignments,total_party_assignments,total_committee_assignments,total_ministry_assignments,total_speaker_assignments,current_assignments,current_party_assignments,current_committee_assignments,current_ministry_assignments,current_speaker_assignments,total_committee_substitute_assignments,current_committee_substitute_assignments,total_days_served_committee_substitute,total_committee_leadership_assignments,current_committee_leadership_assignments,total_days_served_committee_leadership,total_documents,avg_documents_per_member,total_party_motions,total_individual_motions,total_committee_motions,total_collaborative_motions,total_follow_up_motions,very_high_activity_members,high_activity_members,medium_activity_members,low_activity_members,party_focused_members,committee_focused_members,individual_focused_members,currently_active_members,total_documents_last_year,avg_documents_last_year,first_party_document,last_party_document,avg_collaboration_percentage,highly_collaborative_members
S,1971-01-11,2029-07-16,8298736,2235847,4390091,116996,38812,14928,45816,t,t,f,t,t,t,t,118,4,0,102,105,10728,37,5950,263,12,381,7,173,0,1,4040,95,2895506,299,10,206838,30204,43.8,446,24451,3218,615,1,29,81,81,216,6,8,375,55,76,0.1,2000-04-05,2025-01-22,1.0,0
FP,1976-10-04,2014-10-31,536745,189319,260423,3771,282,2918,0,f,f,f,f,f,f,f,0,0,0,0,0,675,0,357,4,3,0,0,0,0,0,229,0,155250,17,0,14872,2104,28.1,293,878,676,225,0,0,8,10,6,4,6,14,0,0,0.0,2000-02-09,2014-04-28,3.9,0
KD,1985-09-30,2029-07-16,1524844,308112,947306,16479,8097,1456,37686,t,t,t,t,t,f,t,27,1,5,19,19,1903,26,1265,32,1,114,5,68,5,0,951,52,700527,32,2,29433,10340,81.4,491,3131,5885,507,0,17,24,23,37,9,59,31,5,13,0.1,2000-02-09,2025-01-31,2.5,0
C,1976-10-04,2029-07-16,1938387,497754,1112206,11671,7934,4078,42575,t,t,f,t,t,t,t,28,1,0,25,24,2457,34,1503,11,3,116,7,61,0,1,1173,46,844760,48,2,38270,7791,45.3,732,3821,2651,484,0,11,20,21,35,7,25,55,20,43,0.3,2000-02-09,2025-01-22,2.2,0
MP,1976-10-04,2029-07-16,1289495,249780,792194,14549,15747,2912,47234,t,t,f,t,t,f,t,20,2,0,17,18,2032,67,1301,49,2,121,7,73,0,0,991,57,582316,22,2,16874,8111,57.1,1474,2942,3167,301,5,8,19,33,38,25,22,49,19,93,0.7,2000-02-09,2025-01-29,1.7,0
V,1976-10-04,2029-07-16,1536736,370560,912254,0,5686,2919,40909,t,t,f,t,t,f,t,26,2,0,23,23,1845,29,1217,0,2,124,6,71,0,0,941,55,678984,20,2,22680,11202,80.6,2742,479,7573,313,0,20,22,28,28,67,29,2,22,78,0.6,2000-02-09,2025-01-29,1.5,0
NYD,1991-09-30,1994-10-03,75223,24953,41211,0,0,0,0,f,f,f,f,f,f,f,0,0,0,0,0,125,0,77,0,0,0,0,0,0,0,52,0,24402,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0
PP,2009-07-14,2014-07-01,2755,0,0,0,2755,0,0,f,f,f,f,f,f,f,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0
-,1979-10-01,2026-10-12,235223,64796,136968,1099,0,0,3148,t,f,f,f,t,f,f,3,0,0,0,3,339,4,223,1,0,4,0,0,0,0,171,0,107295,0,0,0,1160,48.3,145,444,538,22,0,1,2,4,12,2,6,11,1,2,0.1,2000-02-09,2025-01-28,2.1,0
M,1976-10-04,2029-07-16,5183368,1297257,2853042,57348,30758,9815,35672,t,t,t,t,t,t,t,94,4,13,68,69,6874,31,4121,79,8,306,7,144,13,1,2756,85,1920794,211,4,127967,20588,47.3,910,12903,5713,580,0,17,50,78,157,16,65,215,11,65,0.1,2000-02-09,2025-02-18,1.7,1
L,1976-10-04,2029-07-16,1319519,264932,802470,16447,13247,0,34330,t,t,t,t,t,f,t,19,1,3,13,15,1778,39,1170,28,0,98,5,55,3,0,873,41,617439,41,1,30262,6395,57.6,1048,2344,2620,322,0,7,18,17,27,16,19,31,4,8,0.1,2000-02-09,2025-02-18,2.5,0
,1973-01-10,2016-04-19,5655,4533,186,0,0,0,0,f,f,f,f,f,f,f,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,2,0,186,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,0
SD,2005-05-07,2029-07-16,1697654,260376,1193265,0,8322,2608,25222,t,t,f,t,t,t,t,77,2,0,73,74,2345,21,1725,0,2,306,5,148,0,1,1445,90,996860,15,9,9485,6717,53.3,268,3685,2735,0,4,4,17,25,61,5,48,54,12,12,0.1,2010-10-19,2025-01-30,0.0,0
