person_id,person_name,party,total
0383111552218,Jonas Sjöstedt,V,143
0697255175510,Willy Söderdahl ,V,1
0145294944502,Roger Richthoff,SD,14
0737666060225,Joakim Järrebring,S,29
0802606848923,Mariya Voyvodova,S,1
0878075468027,Hillevi Larsson,S,536
0655028250417,Lena Emilsson,S,18
0272006117024,Jon Thorbjörnson,V,47
0456522027421,Linnéa Wickman,S,36
0202577142527,Matheus Enholm,SD,9
0590042760718,Annicka Engblom,M,144
0548089226618,Mats Einarsson,V,158
0975144579503,Anne-Katrine Dunker,M,44
0239948123229,Erik Almqvist,SD,41
0262124593702,Kurt Kvarnström,S,266
031005479013, Per Westerberg,M,7
0564126739422,Åsa Coenraads,M,130
0638431210311,Cecilia Wikström i Uppsala,L,34
0841422940412,Carina Grönhagen,S,6
0535526562910,Lars Tysklind,L,178
0166790812128,Hanif Bali,M,15
0980092192122,Joar Forssell,L,33
0820673454606,Inger Davidson ,KD,8
0673622610409,Birgitta Carlsson ,C,11
0397924710612,Ulrika Karlsson,M,53
0336920874106,Bertil Persson ,M,3
0846171262302,Kjell Eldensjö ,KD,2
039371311407,Marianne Watz,M,17
0691264514114,Anna Johansson,S,18
0873439293805,Jan Orrenius,KD,1
0538404901718,Malin Löfsjögård,M,13
0610573125306,Berndt Ekholm,S,23
0497217816024,Markus Selin,S,16
0457213878205,Jan Erik Ågren,KD,29
0683297678211,Elisebeht Markström,S,75
0640627133410,Elisabeth Falkhaven,MP,9
0517869568019,Mikael Johansson ,MP,2
0523902030928,Aylin Nouri,S,12
0985943148917,Victoria Tiblom,SD,18
0739780276601,Alf Svensson,KD,50
0362779191527,Erik Hellsborn,SD,6
0403769921921,Tina Ghasemi,M,12
0321274454602,Lisbeth Grönfeldt Bergman,M,11
0373223420310,Niclas Malmberg,MP,34
0708565346310,Anne Ludvigsson,S,180
0955635879822,Dan Nilsson,S,12
0821986001816,Torgny Danielsson ,S,1
0951905661227,Christofer Bergenblock,C,43
0960030082916,Ann-Kristine Johansson,S,264
0808145784313,Siw Wittgren-Ahl,S,192
