person_id,first_name,last_name,party,born_year,gender,status,election_region,total_votes,yes_percentage,no_percentage,absence_rate,rebel_rate,success_rate,voting_days,first_vote_date,last_vote_date,voting_participation_rate,loyalty_rate,voting_consistency_score,analysis_comment
0115057914316,Lars,Lilja,S,1954,MAN,Tidigare riksdagsledamot,Västerbottens län,1233715,56.68,22.37,16.99,0.03,62.66,10,2002-01-01,2011-01-01,83.01,99.97,62.64,Generally aligned
7820bd49-2371-4c37-8b2c-9c9d3638fa91,Gunnar,Helén,L,1918,MAN,Inga uppdrag,Stockholms kommun,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0418929039326,Patrik,Lundqvist,S,1984,MAN,Tjänstgörande riksdagsledamot,Gävleborgs län,1566661,51.96,14.85,27.17,0.02,65.05,12,2014-01-01,2025-01-01,72.83,99.98,65.04,Frequently absent
0116603319117,Josefin,Brink,V,1969,KVINNA,Tidigare riksdagsledamot,Stockholms kommun,887856,57.80,24.03,14.79,0.20,13.56,8,2006-01-01,2013-01-01,85.21,99.80,13.53,Generally aligned
0508589337602,Harald,Bergström,KD,1936,MAN,Avliden  2013-01-11,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0326064715100,Karin,Thorborg,V,1948,KVINNA,Tidigare riksdagsledamot,Västmanlands län,681946,58.76,19.29,17.03,0.26,62.74,5,2002-01-01,2006-01-01,82.97,99.74,62.58,Generally aligned
0137934715906,Lena,Klevenås,MP,1947,KVINNA,Avliden  2017-01-16,Västra Götalands läns norra,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0125847791412,Dan,Eriksson,NYD,1956,MAN,Avliden  2024-12-01,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
017025148404,Doris,Håvik,S,1924,KVINNA,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0229760896014,Anders,W Jonsson,C,1961,MAN,Tjänstgörande riksdagsledamot,Gävleborgs län,2376341,55.70,16.45,22.08,0.04,54.02,16,2010-01-01,2025-01-01,77.92,99.96,54.00,Generally aligned
0476457225115,Pär Axel,Sahlberg,S,1954,MAN,Tidigare riksdagsledamot,Hallands län,681946,58.76,19.29,17.03,0.05,75.69,5,2002-01-01,2006-01-01,82.97,99.95,75.65,Often on winning side
0460215186812,Lennart,Thörnlund,S,1951,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0397924710612,Ulrika,Karlsson,M,1973,KVINNA,Tidigare riksdagsledamot,Uppsala län,1888439,57.66,20.04,17.80,0.00,55.26,16,2004-01-01,2022-01-01,82.20,100.00,55.26,Generally aligned
d7419421-9976-46e7-80d6-b6b7000c9e00,Arne,Geijer,S,1910,MAN,Inga uppdrag,Stockholms län,0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
059858389704,Helge,Hagberg,S,1932,MAN,Avliden  2019-11-18,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0456680171315,Charlotte,Quensel,SD,1961,KVINNA,Tjänstgörande riksdagsledamot,Värmlands län,1083176,46.27,13.93,33.25,0.03,45.49,8,2018-01-01,2025-01-01,66.75,99.97,45.48,Frequently absent
0758652610,Maria,Arnholm,L,1958,KVINNA,Tidigare riksdagsledamot,Stockholms län,824687,63.75,16.97,12.73,0.09,52.81,7,2014-01-01,2020-01-01,87.27,99.91,52.76,Generally aligned
0399430895200,Sven,Hulterström,S,1938,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0502770250503,Göran,Magnusson,S,1939,MAN,Tidigare riksdagsledamot,Västmanlands län,681946,58.76,19.29,17.03,0.00,80.76,5,2002-01-01,2006-01-01,82.97,100.00,80.76,Often on winning side
0718034011110,Jessika,Roswall,M,1972,KVINNA,Avgången riksdagsledamot,Uppsala län,2057355,55.07,16.33,23.25,0.02,58.95,13,2010-01-01,2022-01-01,76.75,99.98,58.94,Generally aligned
0350758939722,Pontus,Haag,M,1983,MAN,Tidigare ersättare,Göteborgs kommun,41531,65.59,19.06,9.72,0.00,94.12,1,2012-01-01,2012-01-01,90.28,100.00,94.12,Often on winning side
0108109641223,Carl-Oskar,Bohlin,M,1986,MAN,Statsråd,Dalarnas län,2007448,55.84,16.54,22.21,0.10,58.43,13,2010-01-01,2022-01-01,77.79,99.90,58.37,Generally aligned
0468765214727,Yasmine,Posio,V,1974,KVINNA,Tidigare riksdagsledamot,Göteborgs kommun,986972,45.48,13.60,35.08,0.00,38.86,6,2017-01-01,2022-01-01,64.92,100.00,38.86,Frequently absent
0637482737005,Arne,Jansson,NYD,1942,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0229002789006,Reynoldh,Furustrand,S,1942,MAN,Tidigare riksdagsledamot,Södermanlands län,681946,58.76,19.29,17.03,0.00,72.16,5,2002-01-01,2006-01-01,82.97,100.00,72.16,Often on winning side
0924192709909,Leif,Marklund,S,1943,MAN,Avliden  2020-08-11,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0574724112206,Rosita,Runegrund,KD,1947,KVINNA,Tidigare riksdagsledamot,Västra Götalands läns västra,1154143,56.46,22.36,17.25,0.06,51.19,9,2002-01-01,2010-01-01,82.75,99.94,51.16,Generally aligned
0304188758405,Åke,Wictorsson,S,1932,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0937012299307,Gun,Hellsvik,M,1942,KVINNA,Avliden  2016-11-14,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
0204494765606,Ann-Britt,Åsebol,M,1947,KVINNA,Tidigare riksdagsledamot,Dalarnas län,1791068,53.45,16.30,24.82,0.02,59.63,12,2010-01-01,2022-01-01,75.18,99.98,59.62,Generally aligned
0314386385815,Rune,Backlund,C,1951,MAN,Tidigare riksdagsledamot,"",0,0,0,0,0,0,0,,,100.0,100.0,0,No voting record
