id,doc_id,document_type,label,made_public_date,org,number_value,rm,status,sub_title,sub_type,temp_label,title,role_description,person_reference_id,reference_name,party_short_code,order_number
648033,H102A378,mot,A378,2013-10-08,AU,378,2013/14,Ank T,av Finn Bengtsson och Jan R Andersson (M),Enskild motion,M1807,Modern och öppen arbetsmarknad,UNDERTECKNARE,0721657655513,Finn Bengtsson,M,1
894456,H102MJ445,mot,MJ445,2014-01-14,MJU,445,2013/14,Ank T,av Per Bill och Lars Beckman (M),Enskild motion,M1570,Bekämpning av mygg,UNDERTECKNARE,0588282566419,Lars Beckman,M,2
803769,H403126,prop,126,2017-03-21,Justitiedepartementet,126,2016/17,Hänvisad,"",skr,"",Tillsammans mot brott - ett nationellt brottsförebyggande program,,0218878014918,Stefan Löfven,S,1
572184,GT02N31,mot,N31,2006-05-31,NU,31,2005/06,Trycklov,av Maria Larsson m.fl. (kd),Kommittémotion,kd187,med anledning av skr. 2005/06:120 2006 års redogörelse för företag med statligt ägande,UNDERTECKNARE,0745549193810,Stefan Attefall,KD,3
946617,GT02Kr3,mot,Kr3,2005-10-19,KrU,3,2005/06,Trycklov,av Gunilla Tjernberg m.fl. (kd),Kommittémotion,kd105,med anledning av prop. 2005/06:2 Bästa språket – en samlad svensk språkpolitik,UNDERTECKNARE,0574724112206,Rosita Runegrund,KD,5
1652902,GT02A320,mot,A320,2005-10-04,AU,320,2005/06,Trycklov,av Raimo Pärssinen m.fl. (s),Enskild motion,s13035,Visstidsanställningar,UNDERTECKNARE,0395292877305,Per-Olof Svensson,S,3
659987,GV02MJ452,mot,MJ452,2007-10-05,MJU,452,2007/08,Ank T,av Christina Axelsson m.fl. (s),Enskild motion,s43041,Rädda Östersjön,UNDERTECKNARE,0977023188809,Sylvia Lindgren,S,3
353638,GT02MJ20,mot,MJ20,2006-04-04,MJU,20,2005/06,Trycklov,av Sven Gunnar Persson m.fl. (kd),Kommittémotion,kd153,"med anledning av prop. 2005/06:128 Anpassningar till nya EG-bestämmelser om livsmedel, foder, djurhälsa, djurskydd och växtskydd m.m.",UNDERTECKNARE,0534056896314,Lars Gustafsson,KD,7
557617,H8024016,mot,4016,2021-04-28,UU,4016,2020/21,Klar,av Lars Adaktusson m.fl. (KD),Kommittémotion,KD,med anledning av skr. 2020/21:114 Strategisk exportkontroll 2020 - krigsmateriel och produkter med dubbla användningsområden,UNDERTECKNARE,0201207390210,Lars Adaktusson,KD,1
129840,GW01UbU8,bet,UbU8,2009-03-02,UbU,8,2008/09,"","",bet,"",Studiestöd,,,,,
419299,GO02So532,mot,So532,2000-10-05,SoU,532,2000/01,"",av Lena Sandlin-Hedman m.fl. (s),Enskild motion,s41107,Långsiktigt bilstöd,UNDERTECKNARE,057390531612,Laila Bäck,S,3
422383,GR02A312,mot,A312,2003-10-07,AU,312,2003/04,"",av Eva Flyborg och Runar Patriksson (fp),Enskild motion,fp504,Ledighet vid frivilligutbildning inom försvaret,UNDERTECKNARE,0401150407611,Eva Flyborg,L,1
1694196,H9021157,mot,1157,2021-09-29,SoU,1157,2021/22,Klar,av Camilla Waltersson Grönvall m.fl. (M),Kommittémotion,"",med anledning av skr. 2020/21:215 Vård av unga vid Statens institutionsstyrelses särskilda ungdomshem,UNDERTECKNARE,0742883909221,John E Weinerhall,M,5
263848,GW02A356,mot,A356,2008-10-08,AU,356,2008/09,Ank T,av Göran Persson i Simrishamn m.fl. (s),Enskild motion,s27140,Säker arbetsplats,UNDERTECKNARE,0780069612618,Göran Persson i Simrishamn,S,1
268967,GR02Fi37,mot,Fi37,2004-05-27,FiU,37,2003/04,"",av Ingrid Burman m.fl. (v),Kommittémotion,v23,med anledning av skr. 2003/04:143 Redovisning av regeringens insatser för barn och unga i statsbudgeten för år 2004,UNDERTECKNARE,028536711718,Ingrid Burman,V,1
291657,H902259,mot,259,2021-09-23,CU,259,2021/22,Klar,av Markus Wiechel m.fl. (SD),Enskild motion,198,Förlorad vårdnad vid mord,UNDERTECKNARE,0338088431726,Sara Gille,SD,3
159408,H502655,mot,655,2017-09-29,TU,655,2017/18,Klar,av Lotta Finstorp m.fl. (M),Enskild motion,M1558,Riksväg 55,UNDERTECKNARE,0513020576128,Erik Bengtzboe,M,2
411535,GY02MJ228,mot,MJ228,2010-10-22,MJU,228,2010/11,Ank T,av Maria Plass (M),Enskild motion,M1365,Marina nationalparker ,UNDERTECKNARE,0791786201912,Maria Plass,M,1
822664,GY02XV30,mot,V30,2011-05-13,"",30,2010/11,Ank T,av Jacob Johnson m.fl. (V),Kommittémotion,V30,med anledning av prop. 2010/11:133 Vissa förändringar av trängselskatten i Göteborg,UNDERTECKNARE,0216534495014,Jens Holm,V,3
222876,GY02Kr277,mot,Kr277,2010-10-27,KrU,277,2010/11,Ank T,av Clas-Göran Carlsson m.fl. (S),Enskild motion,S71042,"Ljungbergmuseet, ett länsmuseum för bildkonst",UNDERTECKNARE,0284192765516,Tomas Eneroth,S,3
471608,H8023485,mot,3485,2020-10-06,NU,3485,2020/21,Klar,av Lars Hjälmered m.fl. (M),Kommittémotion,M,En konkurrenskraftig gruv- och mineralnäring,UNDERTECKNARE,0810201628512,Ann-Charlotte Hammar Johnsson,M,2
602718,H8023726,mot,3726,2020-10-14,NU,3726,2020/21,Klar,av Mattias Bäckström Johansson m.fl. (SD),Kommittémotion,SD,med anledning av prop. 2020/21:16 Elcertifikat - stoppregel och kontrollstation 2019,UNDERTECKNARE,086684470825,Tobias Andersson,SD,2
460568,GP02Ju370,mot,Ju370,2001-10-05,JuU,370,2001/02,"",av Bengt Silfverstrand m.fl. (s),Enskild motion,s18029,Ekobrottsmyndigheten och bekämpning av grövre brottslighet,UNDERTECKNARE,0272604986201,Claes-Göran Brandin,S,2
