person_reference_id,total_documents,party_motions,individual_motions,follow_up_motions,committee_motions,multi_party_motions,party_motions_pct,individual_motions_pct,committee_motions_pct,first_document_date,last_document_date,years_active,docs_per_year,documents_last_year,propositions,government_communications,document_types,activity_profile,activity_level,collaboration_percentage
0381231495405,43,16,15,0,12,0,37.2,34.9,27.9,2002-10-23,2006-02-01,3,14.3,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Party-focused,Low,0.0
0115607185214,70,4,22,0,40,4,5.7,31.4,57.1,2002-10-23,2006-05-05,3,23.3,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Medium,5.7
0927576375115,62,0,57,0,1,4,0.0,91.9,1.6,2000-10-05,2004-10-06,4,15.5,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Individual-focused,Medium,6.5
0412148992926,115,0,108,0,6,0,0.0,93.9,5.2,2015-10-05,2024-10-04,8,14.4,0,0,0,"{mot:,""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,High,0.0
0361291071906,48,0,6,0,38,4,0.0,12.5,79.2,2000-10-05,2006-05-10,5,9.6,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,Low,8.3
0504711999229,13,2,3,0,8,0,15.4,23.1,61.5,2015-10-06,2016-04-27,0,,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,Low,0.0
0937688366013,188,8,116,0,45,5,4.3,61.7,23.9,2006-10-31,2024-10-30,17,11.1,0,14,5,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion,prop:prop,prop:skr}",Individual-focused,High,2.9
016950536026,28,1,26,0,0,0,3.6,92.9,0.0,2014-11-10,2016-04-27,1,28.0,0,0,0,"{mot:,""mot:Enskild motion"",mot:Partimotion}",Individual-focused,Low,0.0
0992800527915,19,0,0,0,0,0,0.0,0.0,0.0,2017-03-14,2022-07-19,5,3.8,0,19,6,"{prop:prop,prop:skr}",Mixed,Low,
038604236714,45,4,12,0,26,3,8.9,26.7,57.8,2002-10-23,2006-04-11,3,15.0,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion,mot:Partimotion}",Committee-focused,Low,6.7
0427127522211,62,0,15,0,44,3,0.0,24.2,71.0,2002-10-23,2006-11-08,4,15.5,0,0,0,"{""mot:Enskild motion"",mot:Flerpartimotion,mot:Kommittémotion}",Committee-focused,Medium,4.8
0526748040023,17,0,6,0,11,0,0.0,35.3,64.7,2018-11-19,2024-10-04,5,3.4,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Committee-focused,Low,0.0
0500463008008,65,48,2,0,11,0,73.8,3.1,16.9,2000-02-09,2002-05-02,2,32.5,0,0,0,"{mot:-,""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Party-focused,Medium,0.0
0834369509410,4,0,4,0,0,0,0.0,100.0,0.0,2008-10-02,2009-10-05,1,4.0,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0150664940102,71,0,61,0,10,0,0.0,85.9,14.1,2010-10-26,2018-03-14,7,10.1,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion}",Individual-focused,Medium,0.0
0602744999917,45,5,9,0,31,0,11.1,20.0,68.9,2022-11-21,2025-01-22,2,22.5,4,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,Low,0.0
0348383585915,1,0,1,0,0,0,0.0,100.0,0.0,2022-11-21,2022-11-21,0,,0,0,0,"{""mot:Enskild motion""}",Individual-focused,Low,0.0
0228167770927,171,6,39,0,126,0,3.5,22.8,73.7,2018-11-07,2021-09-29,2,85.5,0,0,0,"{""mot:Enskild motion"",mot:Kommittémotion,mot:Partimotion}",Committee-focused,High,0.0
