embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2013-01-01,V,502,1963,64.38,19.15,11.95,4.52,56.26,175198,113341,33587,7866,20404,9538,2596,4320,1544,1078,1961,45.03,27.22,45.29,16.19,11.30,164,32.67,497,99.00,64.69,19.17,4.49,11.65,97.59
2003-01-01,L,507,1954,62.18,18.30,14.87,4.64,54.73,176943,109424,32059,9764,25696,24336,9045,9035,2260,3996,1956,50.93,37.17,37.13,9.29,16.42,257,50.69,495,97.63,61.84,18.12,5.52,14.52,96.95
2016-01-01,-,434,1969,63.53,17.53,12.65,6.30,54.60,151466,99271,25182,8622,18391,434,0,0,0,434,1964,0.00,0.00,0.00,0.00,100.00,0,0.00,433,99.77,65.54,16.63,5.69,12.14,99.82
2009-01-01,V,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,7854,226,5153,1110,1365,1958,36.36,2.88,65.61,14.13,17.38,19,5.32,357,100.00,51.12,28.99,2.16,17.72,100.00
2020-01-01,SD,440,1973,21.17,6.53,68.56,3.74,51.78,153560,33299,10502,4844,104915,27280,4279,2827,1840,18334,1975,70.97,15.69,10.36,6.74,67.21,207,47.05,432,98.18,21.68,6.84,3.15,68.32,98.45
2020-01-01,L,440,1973,21.17,6.53,68.56,3.74,51.78,153560,33299,10502,4844,104915,8360,1967,473,176,5744,1971,52.63,23.53,5.66,2.11,68.71,333,75.68,432,98.18,21.68,6.84,3.15,68.32,98.45
2023-01-01,C,404,1975,59.81,18.01,14.23,7.95,52.77,140996,84127,24813,12235,19821,9696,3492,2263,2551,1390,1972,49.68,36.01,23.34,26.31,14.34,181,44.80,403,99.75,59.67,17.60,8.68,14.06,99.87
2025-01-01,C,51,1976,63.06,14.50,15.47,6.97,55.55,17379,10638,2452,1466,2823,1197,637,287,95,178,1972,50.39,53.22,23.98,7.94,14.87,32,62.75,51,100.00,61.21,14.11,8.44,16.24,100.00
2017-01-01,-,507,1969,61.80,18.27,14.28,5.66,53.76,176943,110814,31623,10087,24419,1341,354,219,96,672,1963,17.43,26.40,16.33,7.16,50.11,228,44.97,505,99.61,62.63,17.87,5.70,13.80,99.30
2004-01-01,S,536,1954,58.64,20.14,16.92,4.30,54.40,187064,112148,34681,8987,31248,77184,65958,364,32,10830,1954,51.42,85.46,0.47,0.04,14.03,523,97.57,526,98.13,59.95,18.54,4.80,16.70,98.78
2022-01-01,L,689,1973,59.11,17.49,16.66,6.74,53.10,240461,137512,45931,18102,38916,13656,7899,1584,1171,3002,1971,51.58,57.84,11.60,8.57,21.98,472,68.51,641,93.03,57.19,19.10,7.53,16.18,94.85
2018-01-01,S,532,1971,64.06,16.51,13.66,5.76,54.02,185668,116485,30841,11690,26652,59466,49475,2237,367,7387,1970,48.99,83.20,3.76,0.62,12.42,502,94.36,525,98.68,62.74,16.61,6.30,14.35,98.68
2008-01-01,M,389,1958,53.93,25.66,17.77,2.64,53.23,135761,72243,35774,4144,23600,37733,32431,0,8,5294,1959,57.58,85.95,0.00,0.02,14.03,388,99.74,388,99.74,53.21,26.35,3.05,17.38,99.77
2011-01-01,SD,444,1963,62.07,21.70,12.33,3.91,54.53,154956,94486,34561,6875,19034,8773,5835,2149,530,259,1969,86.66,66.51,24.50,6.04,2.95,304,68.47,441,99.32,60.98,22.30,4.44,12.28,98.85
2009-01-01,S,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,46410,9727,27662,859,8162,1959,52.33,20.96,59.60,1.85,17.59,101,28.29,357,100.00,51.12,28.99,2.16,17.72,100.00
2006-01-01,MP,442,1955,56.01,20.93,19.41,3.66,53.60,154258,84021,33038,6095,31104,7640,3384,1774,611,1871,1960,52.15,44.29,23.22,8.00,24.49,289,65.38,423,95.70,54.47,21.42,3.95,20.16,95.85
2025-01-01,-,50,1976,62.87,14.60,15.50,7.02,55.56,17330,10600,2449,1466,2815,99,65,21,13,0,1964,49.43,65.66,21.21,13.13,0.00,26,52.00,50,100.00,61.17,14.13,8.46,16.24,100.00
2021-01-01,L,570,1973,28.55,8.84,60.50,2.11,52.75,198930,31573,10114,3751,153492,10884,1791,410,288,8395,1971,53.40,16.46,3.77,2.65,77.13,388,68.07,543,95.26,15.87,5.08,1.89,77.16,96.74
2005-01-01,V,442,1954,55.95,20.66,18.45,4.94,54.29,154258,87069,31629,7445,28115,12607,7655,1962,503,2487,1953,52.92,60.72,15.56,3.99,19.73,334,75.57,426,96.38,56.44,20.50,4.83,18.23,96.72
2005-01-01,L,442,1954,55.95,20.66,18.45,4.94,54.29,154258,87069,31629,7445,28115,21216,6597,8629,1796,4194,1956,51.81,31.09,40.67,8.47,19.77,198,44.80,426,96.38,56.44,20.50,4.83,18.23,96.72
2011-01-01,-,107,1963,61.00,21.41,11.38,6.21,55.22,37343,22399,7972,2593,4379,107,1,1,6,99,1988,100.00,0.93,0.93,5.61,92.52,1,0.93,107,100.00,59.98,21.35,6.94,11.73,100.00
2006-01-01,-,372,1954,54.92,20.38,21.28,3.43,53.96,129828,70202,27248,4937,27441,744,292,123,38,291,1952,0.00,39.25,16.53,5.11,39.11,208,55.91,353,94.89,54.07,20.99,3.80,21.14,93.78
2012-01-01,V,470,1963,65.10,18.96,11.84,4.10,56.51,164030,106038,30910,8114,18968,8930,2308,3807,1906,909,1961,41.52,25.85,42.63,21.34,10.18,147,31.28,466,99.15,64.65,18.84,4.95,11.56,99.27
2015-01-01,SD,376,1969,66.27,16.30,13.17,4.26,55.05,131224,86456,21969,5559,17240,18340,7170,6979,1436,2755,1974,75.62,39.09,38.05,7.83,15.02,177,47.07,375,99.73,65.88,16.74,4.24,13.14,99.86
2013-01-01,L,502,1963,64.38,19.15,11.95,4.52,56.26,175198,113341,33587,7866,20404,12048,9694,76,23,2255,1960,55.17,80.46,0.63,0.19,18.72,494,98.41,497,99.00,64.69,19.17,4.49,11.65,97.59
2024-01-01,V,430,1975,58.64,18.49,15.21,7.66,53.24,150070,88312,26492,13026,22240,10320,3892,3053,1556,1819,1977,29.17,37.71,29.58,15.08,17.63,204,47.44,430,100.00,58.85,17.65,8.68,14.82,100.00
2009-01-01,M,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,34629,29581,0,7,5041,1959,57.92,85.42,0.00,0.02,14.56,357,100.00,357,100.00,51.12,28.99,2.16,17.72,100.00
2015-01-01,V,376,1969,66.27,16.30,13.17,4.26,55.05,131224,86456,21969,5559,17240,7896,4652,1599,776,869,1969,46.18,58.92,20.25,9.83,11.01,255,67.82,375,99.73,65.88,16.74,4.24,13.14,99.86
2009-01-01,MP,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,6783,1190,3304,706,1583,1964,57.89,17.54,48.71,10.41,23.34,88,24.65,357,100.00,51.12,28.99,2.16,17.72,100.00
2015-01-01,-,84,1969,63.84,16.74,12.51,6.92,55.08,29316,18425,5305,1966,3620,84,0,0,0,84,1964,0.00,0.00,0.00,0.00,100.00,0,0.00,84,100.00,62.85,18.10,6.71,12.35,100.00
2014-01-01,V,394,1964,62.23,18.66,13.26,5.85,56.43,137506,86940,25545,7369,17652,7540,2068,3163,1458,851,1963,46.44,27.43,41.95,19.34,11.29,128,32.49,392,99.49,63.23,18.58,5.36,12.84,97.01
2006-01-01,KD,442,1955,56.01,20.93,19.41,3.66,53.60,154258,84021,33038,6095,31104,14019,4611,4899,1118,3391,1951,64.85,32.89,34.95,7.97,24.19,227,51.36,423,95.70,54.47,21.42,3.95,20.16,95.85
2015-01-01,L,376,1969,66.27,16.30,13.17,4.26,55.05,131224,86456,21969,5559,17240,7144,3934,1324,608,1278,1969,65.12,55.07,18.53,8.51,17.89,261,69.41,375,99.73,65.88,16.74,4.24,13.14,99.86
2010-01-01,-,213,1959,52.17,29.24,17.41,1.18,53.04,74337,37386,22939,1130,12882,213,170,19,2,22,1944,100.00,79.81,8.92,0.94,10.33,170,79.81,213,100.00,50.29,30.86,1.52,17.33,100.00
2024-01-01,L,430,1975,58.64,18.49,15.21,7.66,53.24,150070,88312,26492,13026,22240,6880,5457,27,0,1396,1975,42.93,79.32,0.39,0.00,20.29,428,99.53,430,100.00,58.85,17.65,8.68,14.82,100.00
2011-01-01,MP,444,1963,62.07,21.70,12.33,3.91,54.53,154956,94486,34561,6875,19034,11100,4078,4498,969,1555,1965,46.26,36.74,40.52,8.73,14.01,196,44.14,441,99.32,60.98,22.30,4.44,12.28,98.85
2012-01-01,SD,470,1963,65.10,18.96,11.84,4.10,56.51,164030,106038,30910,8114,18968,9049,4486,3349,981,233,1969,84.42,49.57,37.01,10.84,2.57,247,52.55,466,99.15,64.65,18.84,4.95,11.56,99.27
2020-01-01,M,440,1973,21.17,6.53,68.56,3.74,51.78,153560,33299,10502,4844,104915,30800,5053,3285,1316,21146,1973,44.78,16.41,10.67,4.27,68.66,224,50.91,432,98.18,21.68,6.84,3.15,68.32,98.45
2019-01-01,SD,471,1973,64.15,16.75,9.80,9.30,52.83,164379,103600,27506,16469,16804,29202,12015,9632,5919,1636,1976,70.71,41.14,32.98,20.27,5.60,210,44.59,470,99.79,63.03,16.73,10.02,10.22,99.79
2024-01-01,-,430,1975,58.64,18.49,15.21,7.66,53.24,150070,88312,26492,13026,22240,839,395,189,90,165,1964,46.05,47.08,22.53,10.73,19.67,201,46.74,430,100.00,58.85,17.65,8.68,14.82,100.00
2002-01-01,V,90,1954,64.43,16.96,10.93,7.68,54.57,31410,20135,5544,2299,3432,2700,1689,440,61,510,1953,50.00,62.56,16.30,2.26,18.89,69,76.67,88,97.78,64.10,17.65,7.32,10.93,98.53
2016-01-01,MP,434,1969,63.53,17.53,12.65,6.30,54.60,151466,99271,25182,8622,18391,10850,9500,261,71,1018,1968,46.10,87.56,2.41,0.65,9.38,420,96.77,433,99.77,65.54,16.63,5.69,12.14,99.82
2018-01-01,L,532,1971,64.06,16.51,13.66,5.76,54.02,185668,116485,30841,11690,26652,10158,5525,2019,897,1717,1969,57.20,54.39,19.88,8.83,16.90,359,67.48,525,98.68,62.74,16.61,6.30,14.35,98.68
2011-01-01,C,444,1963,62.07,21.70,12.33,3.91,54.53,154956,94486,34561,6875,19034,10212,7955,222,5,2030,1964,59.94,77.90,2.17,0.05,19.88,436,98.20,441,99.32,60.98,22.30,4.44,12.28,98.85
2003-01-01,KD,507,1954,62.18,18.30,14.87,4.64,54.73,176943,109424,32059,9764,25696,16731,6376,5572,2194,2589,1951,68.08,38.11,33.30,13.11,15.47,267,52.66,495,97.63,61.84,18.12,5.52,14.52,96.95
2014-01-01,MP,394,1964,62.23,18.66,13.26,5.85,56.43,137506,86940,25545,7369,17652,9850,3887,3273,1234,1456,1965,51.18,39.46,33.23,12.53,14.78,189,47.97,392,99.49,63.23,18.58,5.36,12.84,97.01
2004-01-01,MP,536,1954,58.64,20.14,16.92,4.30,54.40,187064,112148,34681,8987,31248,9112,4851,1912,689,1660,1956,46.08,53.24,20.98,7.56,18.22,370,69.03,526,98.13,59.95,18.54,4.80,16.70,98.78
